DATUM;1(DA1);2(DA2);3(DB1A);4(DB1B);5(DC1);6(DC2);7(DD2A);8(DD2B);9(DD1);10(DE1);11(DE2);12(DE3);13(DF1);14(DF2);15(DF3);16(TAFG1);17(TAFG2)
2019-12-10 00:00:00;14;5;0;0;9;3;0;0;0;0;15;5;2;10;2;0;0
2019-12-10 00:15:00;10;2;0;0;16;3;0;0;0;0;9;2;3;19;3;0;0
2019-12-10 00:30:00;8;6;0;0;10;4;3;2;0;1;6;6;3;12;3;0;0
2019-12-10 00:45:00;5;3;1;0;13;4;1;1;0;0;4;3;3;17;3;0;0
2019-12-10 01:00:00;5;1;0;0;10;4;1;1;2;0;5;1;4;14;4;0;0
2019-12-10 01:15:00;7;3;0;0;9;3;1;1;1;1;8;3;3;12;3;0;0
2019-12-10 01:30:00;5;0;0;0;6;1;0;0;0;0;5;0;1;7;1;0;0
2019-12-10 01:45:00;13;3;0;0;6;1;1;1;1;0;10;3;1;7;1;0;0
2019-12-10 02:00:00;3;4;0;0;6;1;1;1;1;0;3;3;1;7;2;0;0
2019-12-10 02:15:00;5;4;0;0;6;3;1;1;0;0;5;4;3;8;4;0;0
2019-12-10 02:30:00;5;0;0;0;3;1;0;0;0;0;4;0;1;3;1;0;0
2019-12-10 02:45:00;11;1;0;0;7;2;1;2;0;0;9;1;3;8;3;0;0
2019-12-10 03:00:00;8;2;1;0;8;2;2;2;1;0;8;2;2;10;2;0;0
2019-12-10 03:15:00;11;4;1;0;9;2;0;0;0;0;10;4;2;10;2;0;0
2019-12-10 03:30:00;9;3;1;0;6;1;0;0;0;0;9;3;1;7;1;0;0
2019-12-10 03:45:00;11;5;1;1;6;1;0;0;0;2;12;5;1;8;1;0;0
2019-12-10 04:00:00;9;2;0;0;13;3;1;1;1;0;7;2;3;14;3;0;0
2019-12-10 04:15:00;22;1;1;2;8;4;0;0;0;0;19;1;4;12;4;0;0
2019-12-10 04:30:00;28;6;0;0;14;5;2;2;2;1;29;6;3;15;4;0;0
2019-12-10 04:45:00;30;12;0;2;20;7;3;3;5;3;30;10;7;26;7;0;0
2019-12-10 05:00:00;29;15;0;1;40;9;1;1;1;1;24;15;10;48;9;0;0
2019-12-10 05:15:00;40;21;1;0;47;23;3;3;3;4;34;25;18;66;19;0;0
2019-12-10 05:30:00;62;31;1;0;61;20;3;3;3;0;54;29;21;80;21;0;0
2019-12-10 05:45:00;88;63;4;1;69;33;6;6;4;6;82;66;32;94;32;0;0
2019-12-10 06:00:00;73;44;5;0;61;40;1;1;1;2;66;44;38;95;40;0;0
2019-12-10 06:15:00;84;83;3;0;87;54;4;7;1;3;75;80;55;124;55;0;0
2019-12-10 06:30:00;131;129;1;0;88;63;9;9;1;2;110;133;60;136;61;0;0
2019-12-10 06:45:00;139;169;2;0;119;79;6;8;5;4;121;174;76;174;74;0;10
2019-12-10 07:00:00;133;153;0;3;117;80;8;9;9;4;122;153;73;162;72;0;0
2019-12-10 07:15:00;143;187;2;2;142;124;8;10;5;1;127;187;126;216;124;0;3
2019-12-10 07:30:00;163;194;0;1;134;77;12;11;8;0;147;195;75;178;74;0;0
2019-12-10 07:45:00;172;269;0;0;129;106;18;20;8;6;147;275;105;210;103;0;3
2019-12-10 08:00:00;132;206;2;2;90;59;15;15;4;3;121;207;60;134;59;0;0
2019-12-10 08:15:00;167;228;1;0;123;74;20;20;8;1;148;233;73;172;73;0;2
2019-12-10 08:30:00;147;239;0;3;116;80;13;13;10;8;132;243;74;168;75;0;1
2019-12-10 08:45:00;138;197;1;3;98;75;17;17;4;7;115;199;72;163;78;0;1
2019-12-10 09:00:00;120;171;0;0;86;63;13;13;5;3;103;175;67;130;65;0;3
2019-12-10 09:15:00;131;150;2;0;124;93;13;13;7;5;111;152;92;191;92;0;0
2019-12-10 09:30:00;123;130;3;1;117;81;11;11;4;3;109;131;84;184;82;0;0
2019-12-10 09:45:00;134;130;3;7;105;70;19;18;11;5;114;144;73;159;70;0;0
2019-12-10 10:00:00;102;100;3;1;110;89;17;17;8;6;99;100;94;177;89;0;0
2019-12-10 10:15:00;121;123;3;1;125;89;17;16;6;2;114;126;90;192;87;0;0
2019-12-10 10:30:00;120;123;4;4;114;96;18;18;8;5;99;129;98;190;102;0;2
2019-12-10 10:45:00;145;147;2;2;139;104;21;23;6;1;123;157;102;216;99;0;0
2019-12-10 11:00:00;107;127;2;1;141;82;17;17;15;6;98;131;87;201;87;0;0
2019-12-10 11:15:00;123;144;4;4;145;100;19;20;12;3;114;150;107;216;110;0;2
2019-12-10 11:30:00;116;126;6;3;157;106;25;25;17;0;112;136;111;224;109;0;0
2019-12-10 11:45:00;117;112;5;3;139;105;21;23;11;4;104;121;111;216;112;0;2
2019-12-10 12:00:00;113;129;2;6;140;117;24;24;21;2;106;149;117;225;116;2;21
2019-12-10 12:15:00;135;143;1;10;143;109;18;19;12;9;124;155;111;223;108;0;0
2019-12-10 12:30:00;112;131;2;1;129;102;20;19;7;4;110;137;99;214;102;3;3
2019-12-10 12:45:00;136;128;0;2;158;95;26;25;14;2;123;134;98;227;96;0;0
2019-12-10 13:00:00;113;139;4;1;153;111;25;25;11;3;99;151;109;233;108;1;0
2019-12-10 13:15:00;124;136;1;2;167;133;23;24;10;4;112;143;132;252;134;2;0
2019-12-10 13:30:00;138;146;0;2;157;98;18;18;11;6;126;147;96;236;100;6;0
2019-12-10 13:45:00;129;127;0;1;152;93;15;16;7;3;111;132;104;217;100;0;1
2019-12-10 14:00:00;124;132;4;0;145;112;19;21;7;4;118;134;104;225;106;0;5
2019-12-10 14:15:00;132;131;3;0;144;125;17;17;10;4;116;134;135;238;135;0;0
2019-12-10 14:30:00;148;141;7;0;129;92;22;22;15;0;130;152;89;197;88;1;0
2019-12-10 14:45:00;131;131;2;1;165;115;20;21;11;3;118;134;120;243;118;3;2
2019-12-10 15:00:00;133;130;0;3;171;101;25;25;9;2;128;134;100;238;101;0;0
2019-12-10 15:15:00;149;146;3;1;155;109;20;20;11;4;139;147;117;230;119;0;0
2019-12-10 15:30:00;135;135;5;1;210;139;24;23;12;1;135;131;142;293;143;1;0
2019-12-10 15:45:00;159;158;1;0;172;142;32;32;18;5;156;164;145;264;147;1;2
2019-12-10 16:00:00;142;139;2;0;195;131;25;25;14;0;128;138;131;270;131;0;10
2019-12-10 16:15:00;163;166;1;0;222;139;35;34;18;1;149;170;155;296;159;5;0
2019-12-10 16:30:00;164;149;3;0;240;153;52;53;31;2;158;153;163;312;164;1;6
2019-12-10 16:45:00;159;164;1;1;244;172;34;33;19;5;144;170;174;340;180;0;4
2019-12-10 17:00:00;153;152;1;0;223;156;41;41;15;5;139;160;174;309;174;0;2
2019-12-10 17:15:00;133;136;4;1;236;178;32;32;15;4;122;140;182;331;180;4;0
2019-12-10 17:30:00;128;105;1;3;237;160;28;28;11;4;115;109;166;321;166;3;0
2019-12-10 17:45:00;129;130;2;4;215;115;21;22;11;6;108;136;130;284;127;0;0
2019-12-10 18:00:00;99;91;0;3;203;129;28;28;11;4;96;98;133;281;132;2;3
2019-12-10 18:15:00;107;102;2;1;196;130;10;10;1;6;98;97;137;284;137;0;0
2019-12-10 18:30:00;103;96;1;0;157;97;12;12;6;1;96;98;106;233;106;6;1
2019-12-10 18:45:00;75;69;0;3;169;73;8;8;3;5;74;68;78;213;79;0;3
2019-12-10 19:00:00;64;62;2;2;121;45;10;11;5;3;57;66;49;154;49;0;6
2019-12-10 19:15:00;67;45;0;0;106;56;9;8;2;1;63;49;56;151;57;1;0
2019-12-10 19:30:00;55;51;0;0;96;43;9;8;3;2;54;55;45;131;45;0;0
2019-12-10 19:45:00;77;39;0;0;88;33;2;2;1;0;72;42;36;111;36;1;0
2019-12-10 20:00:00;48;20;1;0;85;25;2;2;3;0;42;25;25;107;25;0;0
2019-12-10 20:15:00;60;30;0;0;69;27;5;5;3;0;58;34;25;87;27;0;1
2019-12-10 20:30:00;33;21;0;0;76;24;6;6;0;0;33;20;22;97;22;0;0
2019-12-10 20:45:00;45;31;0;0;48;22;4;5;1;1;44;32;22;70;24;0;0
2019-12-10 21:00:00;43;27;0;0;45;21;7;6;1;0;39;30;23;66;22;0;0
2019-12-10 21:15:00;45;31;0;2;41;21;12;14;7;1;41;32;21;58;22;0;0
2019-12-10 21:30:00;35;15;0;1;48;18;8;8;4;0;33;20;18;65;18;0;0
2019-12-10 21:45:00;39;19;0;0;33;17;3;3;0;0;37;19;14;47;14;0;0
2019-12-10 22:00:00;49;17;0;0;30;11;6;6;1;0;48;18;11;41;11;0;0
2019-12-10 22:15:00;40;28;0;0;40;17;3;3;1;0;35;29;16;52;16;0;0
2019-12-10 22:30:00;38;21;0;0;31;19;3;3;3;1;36;22;18;48;18;0;2
2019-12-10 22:45:00;40;18;0;0;25;7;1;1;1;0;39;15;7;29;7;0;0
2019-12-10 23:00:00;27;13;0;1;25;13;0;0;0;0;24;16;14;37;15;0;0
2019-12-10 23:15:00;20;9;0;0;21;5;0;0;0;0;20;9;5;25;5;0;0
2019-12-10 23:30:00;15;18;1;0;12;9;1;1;1;0;16;18;10;21;9;0;0
