DATUM;1(DA1);2(DA2);3(DB1A);4(DB1B);5(DC1);6(DC2);7(DD2A);8(DD2B);9(DD1);10(DE1);11(DE2);12(DE3);13(DF1);14(DF2);15(DF3);16(TAFG1);17(TAFG2)
2020-04-02 00:00:00;3;1;0;0;3;2;0;0;0;0;2;2;2;5;2;0;0
2020-04-02 00:15:00;10;1;0;0;5;2;1;1;0;0;10;1;2;6;2;0;0
2020-04-02 00:30:00;3;2;0;0;10;0;0;0;0;0;3;2;0;10;0;0;0
2020-04-02 00:45:00;3;0;0;0;9;3;0;0;0;0;3;0;2;11;2;0;0
2020-04-02 01:00:00;2;3;0;0;4;1;0;0;0;0;2;3;1;5;1;0;0
2020-04-02 01:15:00;7;2;0;0;6;3;0;0;0;0;7;2;4;9;4;0;0
2020-04-02 01:30:00;4;1;0;0;4;1;0;0;0;0;4;1;1;5;1;0;0
2020-04-02 01:45:00;7;2;1;0;0;2;1;1;0;0;6;1;2;3;2;0;0
2020-04-02 02:00:00;4;0;0;0;1;0;0;0;0;0;4;0;0;1;0;0;0
2020-04-02 02:15:00;8;1;0;0;1;3;0;0;0;1;8;1;3;4;3;0;0
2020-04-02 02:30:00;7;0;0;0;3;0;0;0;0;0;7;0;0;3;0;0;0
2020-04-02 02:45:00;9;0;0;0;4;0;1;1;0;0;7;0;0;4;0;0;0
2020-04-02 03:00:00;5;1;0;0;6;1;0;0;0;0;5;1;0;6;1;0;0
2020-04-02 03:15:00;5;2;0;0;7;2;1;1;0;1;5;2;2;8;2;0;0
2020-04-02 03:30:00;5;1;0;0;5;0;1;1;0;0;5;1;0;5;1;0;0
2020-04-02 03:45:00;11;0;1;0;7;4;0;0;0;0;10;0;4;9;4;0;0
2020-04-02 04:00:00;8;2;0;0;5;1;1;1;1;1;7;3;1;6;1;0;0
2020-04-02 04:15:00;19;4;0;0;10;3;0;0;0;0;19;4;3;13;3;0;0
2020-04-02 04:30:00;17;4;0;4;9;2;2;2;1;0;15;4;1;8;2;0;0
2020-04-02 04:45:00;20;4;2;0;15;2;1;1;2;0;20;4;2;17;2;0;0
2020-04-02 05:00:00;21;7;0;0;21;7;0;0;0;2;20;8;7;25;7;0;0
2020-04-02 05:15:00;24;14;0;0;17;4;0;0;0;1;22;14;5;22;5;0;0
2020-04-02 05:30:00;38;14;0;0;47;16;1;1;0;0;40;14;16;58;15;0;0
2020-04-02 05:45:00;64;39;2;4;38;13;4;3;3;6;60;39;12;46;12;0;0
2020-04-02 06:00:00;39;31;1;1;33;18;0;2;0;4;37;31;20;50;20;0;0
2020-04-02 06:15:00;57;33;1;0;54;24;1;3;2;1;52;32;24;76;24;0;0
