DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DC4);10(DD1);11(DD2);12(DD3);13(DD4)
2019-09-26 00:00:00;10;2;3;2;1;5;13;4;4;13;10;1;2
2019-09-26 00:15:00;4;4;4;0;0;9;5;7;4;6;4;0;4
2019-09-26 00:30:00;10;6;0;5;2;5;5;5;4;4;3;2;0
2019-09-26 00:45:00;5;2;2;3;4;12;14;3;2;4;3;1;2
2019-09-26 01:00:00;4;3;0;3;3;7;6;1;0;8;6;1;0
2019-09-26 01:15:00;10;4;1;0;3;4;6;2;0;3;2;2;1
2019-09-26 01:30:00;6;0;1;0;3;4;4;1;1;5;2;0;1
2019-09-26 01:45:00;6;4;1;2;3;7;6;2;1;1;0;0;1
2019-09-26 02:00:00;6;1;1;1;2;5;6;1;0;0;2;2;4
2019-09-26 02:15:00;9;3;1;0;1;7;9;2;0;2;4;1;1
2019-09-26 02:30:00;3;2;0;3;1;7;8;3;3;3;3;1;0
2019-09-26 02:45:00;7;1;0;1;2;9;9;2;1;4;3;2;0
2019-09-26 03:00:00;7;3;0;1;0;4;7;3;2;1;3;4;1
2019-09-26 03:15:00;8;3;0;3;1;5;5;3;3;5;3;0;0
2019-09-26 03:30:00;5;1;0;0;2;9;1;0;0;1;1;0;0
2019-09-26 03:45:00;7;3;0;2;2;17;4;2;2;6;3;0;0
2019-09-26 04:00:00;4;1;0;0;1;10;8;3;0;0;1;1;0
2019-09-26 04:15:00;6;4;3;3;3;16;14;2;2;3;2;0;3
2019-09-26 04:30:00;7;3;0;5;6;19;18;7;4;4;1;0;0
2019-09-26 04:45:00;19;10;1;6;6;24;18;2;1;4;4;1;3
2019-09-26 05:00:00;23;11;3;6;11;19;31;10;5;2;2;0;3
2019-09-26 05:15:00;28;24;4;13;12;28;32;11;6;6;5;4;5
2019-09-26 05:30:00;30;27;11;15;22;38;38;19;10;5;6;1;12
2019-09-26 05:45:00;37;32;7;29;27;55;45;17;14;12;5;3;8
2019-09-26 06:00:00;40;31;9;25;20;58;66;23;12;10;9;4;10
2019-09-26 06:15:00;56;61;15;35;29;60;74;26;16;14;6;1;12
2019-09-26 06:30:00;48;52;11;65;32;72;86;46;39;32;12;5;13
2019-09-26 06:45:00;62;75;19;77;35;88;111;65;41;42;22;7;17
2019-09-26 07:00:00;68;69;22;61;40;88;94;58;41;42;20;7;18
2019-09-26 07:15:00;90;103;25;65;41;71;87;67;47;45;19;5;22
2019-09-26 07:30:00;80;103;30;95;42;88;97;67;57;56;31;14;23
2019-09-26 07:45:00;54;55;28;117;54;86;100;96;66;64;29;18;19
2019-09-26 08:00:00;62;58;23;105;29;81;93;81;72;73;28;16;24
2019-09-26 08:15:00;61;61;26;116;30;77;109;77;60;74;34;14;22
2019-09-26 08:30:00;56;52;21;92;26;98;116;94;68;76;45;15;18
2019-09-26 08:45:00;71;67;19;95;29;99;120;73;59;63;43;19;17
2019-09-26 09:00:00;76;66;15;94;29;84;99;59;49;55;36;10;16
2019-09-26 09:15:00;87;71;24;74;35;63;71;59;46;51;47;22;23
2019-09-26 09:30:00;91;84;16;80;21;80;66;54;36;52;49;16;17
2019-09-26 09:45:00;80;94;29;88;30;79;72;60;50;60;48;17;29
2019-09-26 10:00:00;90;84;24;61;33;64;70;56;38;58;51;19;23
2019-09-26 10:15:00;89;68;26;59;38;59;75;56;37;70;65;25;20
2019-09-26 10:30:00;91;81;30;75;33;82;73;55;47;73;61;24;28
2019-09-26 10:45:00;78;66;25;88;32;77;86;50;43;80;70;29;25
2019-09-26 11:00:00;63;59;16;68;35;75;79;65;39;69;60;25;16
2019-09-26 11:15:00;68;61;28;72;32;80;86;60;50;91;70;25;21
2019-09-26 11:30:00;83;62;21;70;29;93;101;59;43;81;73;33;18
2019-09-26 11:45:00;77;68;19;77;32;77;81;54;44;88;66;29;20
2019-09-26 12:00:00;80;63;30;72;29;75;90;66;46;91;74;33;24
2019-09-26 12:15:00;81;75;24;61;29;79;84;62;40;92;69;40;19
2019-09-26 12:30:00;95;74;31;64;29;87;85;69;45;86;77;30;32
2019-09-26 12:45:00;65;62;21;69;34;85;75;62;47;79;69;37;20
2019-09-26 13:00:00;77;62;17;72;30;71;75;63;49;90;67;31;16
2019-09-26 13:15:00;70;74;24;77;26;82;101;61;37;87;78;35;24
2019-09-26 13:30:00;88;79;22;54;40;92;95;58;46;75;62;25;18
2019-09-26 13:45:00;78;56;24;57;25;82;90;49;45;70;61;21;19
2019-09-26 14:00:00;71;54;19;75;29;97;91;54;43;80;65;31;18
2019-09-26 14:15:00;75;66;23;83;35;88;107;59;47;82;63;26;22
2019-09-26 14:30:00;75;70;25;76;34;85;75;64;44;74;66;27;22
2019-09-26 14:45:00;79;70;31;83;34;89;97;60;58;92;66;26;22
2019-09-26 15:00:00;89;88;28;67;35;81;81;61;43;86;64;38;25
2019-09-26 15:15:00;80;73;32;68;39;89;108;73;65;93;68;27;31
2019-09-26 15:30:00;72;77;31;87;36;105;83;68;48;94;72;34;28
2019-09-26 15:45:00;73;86;32;60;29;91;106;62;47;97;68;29;31
2019-09-26 16:00:00;86;99;28;74;29;89;106;58;40;102;87;30;23
2019-09-26 16:15:00;91;99;29;80;41;108;116;69;51;104;74;32;26
2019-09-26 16:30:00;97;100;39;92;30;107;99;60;47;127;112;30;35
2019-09-26 16:45:00;95;102;39;81;27;113;119;63;50;116;104;30;24
2019-09-26 17:00:00;93;98;34;57;23;97;101;71;45;100;102;29;32
2019-09-26 17:15:00;91;85;37;67;35;107;105;70;51;118;114;31;30
2019-09-26 17:30:00;94;76;28;73;30;97;91;58;39;134;104;45;24
2019-09-26 17:45:00;77;87;40;67;32;78;66;44;39;121;85;29;33
2019-09-26 18:00:00;101;104;32;82;25;77;65;56;39;105;84;29;16
2019-09-26 18:15:00;91;83;28;68;23;69;55;63;55;118;82;29;16
2019-09-26 18:30:00;72;53;22;50;27;69;56;44;45;126;91;36;8
2019-09-26 18:45:00;66;62;20;46;22;67;62;47;44;102;92;33;13
2019-09-26 19:00:00;63;47;19;30;27;58;49;37;23;76;72;24;15
2019-09-26 19:15:00;44;34;16;27;19;42;34;32;24;85;62;19;18
2019-09-26 19:30:00;41;30;18;37;27;42;40;26;15;65;51;23;17
2019-09-26 19:45:00;31;18;11;21;18;35;37;20;17;59;56;19;12
2019-09-26 20:00:00;37;14;18;17;21;46;40;25;14;43;41;9;17
2019-09-26 20:15:00;32;19;7;19;10;38;46;19;14;40;26;10;7
2019-09-26 20:30:00;27;17;8;18;15;41;37;18;13;26;27;14;8
2019-09-26 20:45:00;29;14;4;15;19;32;30;15;13;25;10;3;4
2019-09-26 21:00:00;26;15;9;8;14;32;34;13;7;16;16;7;10
2019-09-26 21:15:00;26;15;7;11;10;35;28;12;11;26;13;6;6
2019-09-26 21:30:00;23;15;6;15;9;33;30;10;5;15;13;7;6
2019-09-26 21:45:00;16;8;7;9;11;32;26;7;6;19;11;9;7
2019-09-26 22:00:00;26;17;11;6;8;64;55;22;17;22;10;7;10
2019-09-26 22:15:00;20;15;4;12;4;60;51;21;16;18;14;12;5
2019-09-26 22:30:00;20;9;2;11;8;26;24;16;15;19;13;8;3
2019-09-26 22:45:00;16;7;5;6;6;21;29;13;9;12;11;2;5
2019-09-26 23:00:00;14;6;5;4;6;25;25;10;13;18;11;5;5
2019-09-26 23:15:00;12;4;3;8;10;19;16;8;6;15;9;5;3
2019-09-26 23:30:00;9;2;0;6;4;10;16;5;6;16;10;2;0
2019-09-26 23:45:00;15;4;3;5;4;22;18;2;1;5;5;5;3
