DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DC4);10(DD1);11(DD2);12(DD3);13(DD4)
2020-04-26 00:00:00;3;2;0;0;0;4;5;3;2;4;4;0;1
2020-04-26 00:15:00;3;4;0;0;3;10;8;3;4;1;0;1;0
2020-04-26 00:30:00;2;1;1;0;1;2;2;5;4;2;3;1;1
2020-04-26 00:45:00;4;0;0;1;3;3;1;0;0;1;2;0;0
2020-04-26 01:00:00;1;0;1;1;1;3;3;0;0;2;2;0;1
2020-04-26 01:15:00;0;2;0;1;1;0;0;1;1;0;1;0;0
2020-04-26 01:30:00;1;0;1;0;0;2;1;0;0;0;1;0;1
2020-04-26 01:45:00;0;0;0;0;2;0;0;0;0;1;1;1;0
2020-04-26 02:00:00;0;1;2;0;0;3;3;2;1;0;1;0;2
2020-04-26 02:15:00;0;0;0;0;0;1;1;0;0;2;2;0;0
2020-04-26 02:30:00;0;0;0;0;0;2;2;1;1;0;0;0;0
2020-04-26 02:45:00;1;0;0;0;0;0;1;0;0;0;0;0;0
2020-04-26 03:00:00;0;0;0;0;0;1;1;1;0;1;1;0;0
2020-04-26 03:15:00;1;0;0;0;0;2;0;0;0;0;0;0;0
2020-04-26 03:30:00;2;1;0;0;0;1;1;0;0;0;0;0;0
2020-04-26 03:45:00;0;0;0;0;0;1;0;0;0;0;0;0;0
2020-04-26 04:00:00;2;0;0;1;0;1;0;0;0;0;0;0;0
2020-04-26 04:15:00;1;0;0;0;1;0;0;0;0;0;0;0;0
2020-04-26 04:30:00;0;0;0;0;0;3;1;0;0;0;0;0;0
2020-04-26 04:45:00;0;3;0;0;0;2;3;1;0;0;1;1;0
2020-04-26 05:00:00;5;0;0;0;1;4;1;0;0;0;0;0;0
2020-04-26 05:15:00;5;2;1;4;1;4;7;3;1;0;0;0;1
2020-04-26 05:30:00;7;1;1;1;1;0;0;0;0;0;0;0;1
2020-04-26 05:45:00;5;2;1;1;2;5;2;1;1;2;2;0;1
2020-04-26 06:00:00;0;1;2;0;2;4;3;0;0;1;1;0;2
2020-04-26 06:15:00;4;0;0;0;1;6;7;3;1;2;2;1;0
2020-04-26 06:30:00;4;0;0;2;0;0;1;0;0;0;0;0;0
2020-04-26 06:45:00;2;1;1;2;1;6;5;0;0;1;1;0;1
2020-04-26 07:00:00;3;0;0;3;2;4;4;2;1;2;2;0;0
2020-04-26 07:15:00;2;0;0;3;1;4;4;2;0;1;2;0;0
2020-04-26 07:30:00;2;0;0;5;0;3;3;0;0;1;5;0;0
2020-04-26 07:45:00;6;0;0;4;2;3;4;1;0;3;4;1;0
2020-04-26 08:00:00;4;0;1;8;2;4;4;1;1;0;8;2;1
2020-04-26 08:15:00;3;1;0;2;8;3;2;2;1;0;4;1;0
2020-04-26 08:30:00;3;0;0;5;1;5;4;3;2;4;5;0;0
2020-04-26 08:45:00;6;2;1;9;4;10;4;5;5;5;4;1;1
2020-04-26 09:00:00;6;2;2;13;7;4;3;3;1;4;5;3;2
2020-04-26 09:15:00;8;3;1;11;7;11;5;5;1;4;12;2;1
2020-04-26 09:30:00;6;2;6;8;7;21;13;4;4;8;9;4;6
2020-04-26 09:45:00;11;2;3;13;7;15;10;7;4;6;9;3;3
2020-04-26 10:00:00;16;5;5;7;13;13;10;10;5;10;8;3;5
2020-04-26 10:15:00;11;8;0;12;8;25;14;6;4;7;16;6;0
2020-04-26 10:30:00;16;3;3;10;10;20;13;12;8;9;12;2;3
2020-04-26 10:45:00;23;8;7;10;16;33;27;8;2;10;10;3;5
2020-04-26 11:00:00;8;6;4;14;15;19;17;5;3;10;7;4;4
2020-04-26 11:15:00;15;4;2;9;15;28;12;6;4;2;6;3;2
2020-04-26 11:30:00;17;3;4;13;20;23;19;8;5;6;5;3;4
2020-04-26 11:45:00;20;6;4;14;10;25;20;7;4;9;10;1;4
2020-04-26 12:00:00;15;5;5;15;10;18;10;6;6;6;12;7;5
2020-04-26 12:15:00;18;6;4;13;13;30;22;8;3;4;17;5;4
2020-04-26 12:30:00;18;5;8;18;14;25;19;11;8;7;5;3;8
2020-04-26 12:45:00;17;7;4;7;11;26;23;8;8;10;6;2;5
2020-04-26 13:00:00;14;7;3;13;12;25;20;10;11;13;10;5;3
2020-04-26 13:15:00;25;14;7;10;14;29;19;13;11;13;8;3;7
2020-04-26 13:30:00;24;13;3;10;18;22;13;5;7;10;11;2;3
2020-04-26 13:45:00;21;2;5;22;15;27;13;8;7;9;8;5;5
2020-04-26 14:00:00;26;9;3;11;7;34;20;7;5;14;11;4;4
2020-04-26 14:15:00;24;9;4;16;17;44;31;7;10;14;6;4;4
2020-04-26 14:30:00;18;8;3;16;15;36;30;9;5;9;13;9;3
2020-04-26 14:45:00;20;8;9;17;24;32;22;8;14;22;11;8;9
2020-04-26 15:00:00;21;9;5;14;11;33;25;9;12;18;11;4;6
2020-04-26 15:15:00;22;11;4;16;14;36;27;16;12;21;14;2;6
2020-04-26 15:30:00;19;5;5;16;14;36;34;8;6;13;15;10;6
2020-04-26 15:45:00;23;11;7;17;17;33;19;14;15;21;11;8;7
2020-04-26 16:00:00;20;8;10;14;11;37;28;5;4;13;9;1;10
2020-04-26 16:15:00;30;8;4;9;14;27;21;10;8;17;10;2;4
2020-04-26 16:30:00;22;9;7;9;16;33;23;11;10;19;15;2;7
2020-04-26 16:45:00;19;3;11;8;12;38;24;13;14;19;9;7;11
2020-04-26 17:00:00;25;10;4;15;11;41;30;5;10;17;11;9;4
2020-04-26 17:15:00;32;18;6;14;8;36;21;16;14;17;15;5;7
2020-04-26 17:30:00;21;11;8;11;12;34;22;8;10;13;13;10;7
2020-04-26 17:45:00;26;17;6;19;10;40;29;20;16;29;14;4;6
2020-04-26 18:00:00;32;13;6;14;14;36;25;13;9;16;12;11;7
2020-04-26 18:15:00;18;7;6;4;19;35;27;14;9;15;11;9;6
2020-04-26 18:30:00;28;10;6;8;12;27;19;5;9;20;9;4;6
2020-04-26 18:45:00;25;10;5;11;18;32;21;15;14;19;13;8;6
2020-04-26 19:00:00;29;10;8;11;12;34;18;4;13;19;13;6;8
2020-04-26 19:15:00;25;8;7;14;10;31;20;0;12;24;19;6;7
2020-04-26 19:30:00;25;14;7;10;16;36;17;15;13;20;19;8;8
2020-04-26 19:45:00;21;7;3;13;13;27;21;13;13;25;21;8;3
2020-04-26 20:00:00;14;6;7;14;10;22;15;12;7;13;10;1;7
2020-04-26 20:15:00;12;5;2;7;10;18;12;10;10;19;9;4;2
2020-04-26 20:30:00;13;8;2;5;6;21;11;3;7;16;12;1;2
2020-04-26 20:45:00;10;2;0;6;7;18;14;6;7;10;9;5;0
2020-04-26 21:00:00;8;7;1;3;9;19;5;7;9;11;6;2;1
2020-04-26 21:15:00;9;2;2;5;6;17;2;4;3;7;8;1;2
2020-04-26 21:30:00;8;4;2;4;6;11;9;8;8;10;7;2;2
2020-04-26 21:45:00;9;5;2;2;7;16;9;7;7;9;4;2;2
2020-04-26 22:00:00;6;2;2;2;5;13;5;5;3;3;3;2;2
2020-04-26 22:15:00;4;3;3;4;1;15;8;3;4;7;1;0;3
2020-04-26 22:30:00;4;0;0;0;4;8;6;4;5;9;3;1;0
2020-04-26 22:45:00;5;2;1;0;3;9;6;3;4;7;6;0;1
2020-04-26 23:00:00;7;3;0;1;3;4;2;2;2;3;1;0;0
2020-04-26 23:15:00;1;2;0;2;3;4;4;2;1;2;2;1;0
2020-04-26 23:30:00;1;0;0;0;2;2;1;0;0;3;1;0;0
2020-04-26 23:45:00;1;0;0;3;1;1;1;0;2;4;3;0;0
