DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DC4);10(DD1);11(DD2);12(DD3);13(DD4)
2020-12-25 00:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 00:15:00;1;0;0;0;0;1;1;0;0;0;0;0;0
2020-12-25 00:30:00;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 00:45:00;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 01:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 01:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 01:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 01:45:00;0;0;0;0;0;1;1;1;1;0;0;0;0
2020-12-25 02:00:00;0;0;0;0;0;1;1;0;0;0;1;0;0
2020-12-25 02:15:00;0;0;0;0;0;0;0;0;0;0;1;0;0
2020-12-25 02:30:00;0;0;0;0;1;0;0;1;0;0;0;0;0
2020-12-25 02:45:00;0;0;0;0;0;0;0;0;0;0;1;0;0
2020-12-25 03:00:00;0;0;0;0;0;0;2;0;0;0;0;0;0
2020-12-25 03:15:00;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 03:30:00;1;0;0;0;0;0;1;1;0;0;0;0;0
2020-12-25 03:45:00;0;0;0;0;0;0;0;0;0;1;1;0;0
2020-12-25 04:00:00;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-25 04:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 04:30:00;0;1;0;0;1;0;2;0;0;0;0;0;0
2020-12-25 04:45:00;0;1;0;0;0;1;1;0;0;0;1;0;0
2020-12-25 05:00:00;3;0;0;0;1;1;0;0;0;0;0;0;0
2020-12-25 05:15:00;2;2;0;1;3;3;2;1;1;0;1;0;0
2020-12-25 05:30:00;4;1;1;1;4;4;1;0;0;0;0;0;1
2020-12-25 05:45:00;4;3;2;1;3;3;3;0;0;0;0;1;2
2020-12-25 06:00:00;2;0;0;0;3;4;4;1;0;1;2;0;0
2020-12-25 06:15:00;3;0;0;0;2;4;3;0;0;0;0;0;0
2020-12-25 06:30:00;1;2;0;1;1;4;4;0;0;0;0;0;0
2020-12-25 06:45:00;3;0;3;1;0;2;4;1;1;2;2;0;3
2020-12-25 07:00:00;0;0;1;1;2;2;2;1;0;0;0;0;1
