DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DC4);10(DD1);11(DD2);12(DD3);13(DD4)
2020-02-15 00:00:00;9;5;3;1;6;10;13;9;6;9;11;7;3
2020-02-15 00:15:00;11;6;3;5;6;15;16;13;9;14;6;2;3
2020-02-15 00:30:00;5;1;5;4;5;7;12;5;4;6;2;3;5
2020-02-15 00:45:00;12;2;4;5;3;14;14;7;8;12;5;0;4
2020-02-15 01:00:00;11;5;0;2;3;7;5;5;3;5;8;4;0
2020-02-15 01:15:00;7;4;2;4;3;15;12;2;3;3;7;5;2
2020-02-15 01:30:00;11;3;1;2;2;7;9;1;2;7;11;3;1
2020-02-15 01:45:00;9;1;2;3;1;5;6;5;2;5;6;3;2
2020-02-15 02:00:00;5;4;1;1;4;10;10;6;4;7;4;1;2
2020-02-15 02:15:00;7;1;0;2;1;6;8;4;3;3;2;2;0
2020-02-15 02:30:00;4;2;2;3;1;4;2;3;4;6;3;0;2
2020-02-15 02:45:00;3;0;0;3;2;9;8;2;1;6;6;1;0
2020-02-15 03:00:00;9;1;0;0;0;4;6;1;1;8;2;1;0
2020-02-15 03:15:00;3;0;0;0;0;5;6;1;1;2;0;0;0
2020-02-15 03:30:00;5;0;0;0;1;3;4;2;1;3;4;1;0
2020-02-15 03:45:00;8;1;0;2;2;3;6;2;2;2;2;1;0
2020-02-15 04:00:00;2;0;2;2;2;7;6;4;2;1;2;0;2
2020-02-15 04:15:00;3;1;0;0;2;5;5;2;1;3;2;0;0
2020-02-15 04:30:00;4;3;0;1;2;5;7;4;2;2;1;0;0
2020-02-15 04:45:00;5;1;2;1;6;2;2;1;0;2;2;2;2
2020-02-15 05:00:00;14;0;1;1;2;7;11;4;3;1;0;1;1
2020-02-15 05:15:00;14;5;2;4;6;11;14;2;0;0;2;2;2
2020-02-15 05:30:00;12;3;4;6;7;16;19;8;6;4;2;0;4
2020-02-15 05:45:00;6;2;0;8;5;16;16;10;6;2;4;1;0
2020-02-15 06:00:00;18;6;1;4;3;19;13;5;4;5;3;0;0
2020-02-15 06:15:00;12;6;6;7;7;16;16;6;5;2;4;1;7
2020-02-15 06:30:00;8;3;2;8;7;17;15;19;15;5;3;0;2
2020-02-15 06:45:00;11;3;3;3;7;19;18;13;13;6;5;2;3
2020-02-15 07:00:00;13;11;7;10;13;21;18;8;3;7;5;1;6
2020-02-15 07:15:00;15;8;4;14;7;20;8;17;10;7;9;4;4
2020-02-15 07:30:00;24;15;8;23;16;39;21;21;18;20;18;6;8
2020-02-15 07:45:00;29;14;10;29;14;49;40;31;31;27;18;5;10
2020-02-15 08:00:00;25;14;4;25;25;37;30;14;11;15;20;4;3
2020-02-15 08:15:00;29;14;7;28;29;34;42;23;17;31;21;4;7
2020-02-15 08:30:00;43;11;5;34;17;44;36;28;27;23;18;9;4
2020-02-15 08:45:00;47;28;9;47;35;48;40;30;27;24;26;10;9
2020-02-15 09:00:00;41;15;10;60;21;39;41;37;28;28;25;20;11
2020-02-15 09:15:00;42;31;22;53;28;64;51;54;40;39;37;15;19
2020-02-15 09:30:00;57;32;15;75;33;52;52;62;40;43;37;19;14
