DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DC4);10(DD1);11(DD2);12(DD3);13(DD4)
2020-09-14 00:00:00;8;2;3;2;2;11;9;1;0;5;5;1;3
2020-09-14 00:15:00;7;2;0;1;1;8;9;7;3;4;5;2;0
2020-09-14 00:30:00;4;2;0;1;4;8;7;4;3;4;2;1;0
2020-09-14 00:45:00;2;1;4;5;2;9;7;4;1;3;3;1;4
2020-09-14 01:00:00;4;3;0;1;1;6;7;2;2;4;0;0;0
2020-09-14 01:15:00;7;1;1;1;0;6;5;1;0;1;3;1;1
2020-09-14 01:30:00;5;1;2;0;1;8;7;1;1;3;5;1;2
2020-09-14 01:45:00;5;2;1;1;1;4;4;2;1;1;1;0;1
2020-09-14 02:00:00;3;0;1;0;1;4;2;1;0;3;4;0;1
2020-09-14 02:15:00;1;0;2;2;0;10;9;1;0;0;1;0;2
2020-09-14 02:30:00;7;0;0;0;1;8;3;1;1;2;2;1;0
2020-09-14 02:45:00;8;1;0;1;1;11;7;0;0;7;6;0;0
2020-09-14 03:00:00;2;4;0;3;3;5;4;0;0;2;2;0;0
2020-09-14 03:15:00;5;1;0;2;0;4;4;1;1;1;1;1;0
2020-09-14 03:30:00;5;0;1;0;1;6;5;1;0;0;1;0;1
2020-09-14 03:45:00;5;1;0;2;2;9;8;0;0;0;0;0;0
2020-09-14 04:00:00;9;0;1;1;2;8;8;0;0;0;1;1;1
2020-09-14 04:15:00;9;0;0;2;8;15;9;1;1;1;2;0;0
2020-09-14 04:30:00;5;2;2;1;12;22;11;3;2;3;0;0;1
2020-09-14 04:45:00;13;3;1;5;8;23;19;4;1;3;1;0;1
2020-09-14 05:00:00;21;16;4;5;14;20;21;9;4;2;4;2;4
2020-09-14 05:15:00;18;11;2;15;19;34;26;12;3;1;0;0;2
2020-09-14 05:30:00;36;27;5;17;20;57;42;17;7;5;3;1;4
2020-09-14 05:45:00;30;16;4;23;33;55;56;29;15;12;4;0;4
2020-09-14 06:00:00;32;28;5;21;26;52;47;18;9;11;6;1;5
2020-09-14 06:15:00;42;36;7;25;29;53;54;20;14;10;4;1;7
2020-09-14 06:30:00;52;43;18;53;56;79;62;47;37;29;8;5;17
2020-09-14 06:45:00;60;58;11;78;45;93;135;68;54;49;18;8;10
2020-09-14 07:00:00;63;53;14;46;44;68;74;41;27;35;27;8;13
2020-09-14 07:15:00;73;105;18;35;47;84;117;48;30;42;37;15;12
2020-09-14 07:30:00;64;55;28;61;75;115;105;67;37;49;28;11;22
2020-09-14 07:45:00;65;41;18;88;61;115;121;81;48;48;32;17;17
2020-09-14 08:00:00;50;36;13;68;64;94;117;61;46;57;28;10;14
2020-09-14 08:15:00;55;47;17;57;44;93;95;63;48;47;31;16;10
2020-09-14 08:30:00;53;42;15;57;34;88;95;64;40;46;29;16;14
2020-09-14 08:45:00;68;45;14;62;48;102;95;75;43;55;28;18;10
2020-09-14 09:00:00;58;24;15;48;39;79;95;74;41;58;37;19;15
2020-09-14 09:15:00;79;54;20;71;35;106;81;56;45;64;45;13;17
2020-09-14 09:30:00;69;66;27;56;44;87;84;62;40;61;49;19;27
2020-09-14 09:45:00;80;65;28;82;41;99;90;65;49;60;40;16;19
2020-09-14 10:00:00;87;59;21;70;29;97;84;64;46;79;57;21;20
2020-09-14 10:15:00;75;66;16;65;38;88;91;66;49;90;60;23;15
2020-09-14 10:30:00;73;66;27;64;48;96;86;58;43;74;57;33;24
2020-09-14 10:45:00;73;69;24;80;23;95;82;57;36;103;68;25;21
2020-09-14 11:00:00;73;52;20;65;34;88;83;56;37;91;63;28;20
2020-09-14 11:15:00;71;60;25;76;28;84;94;52;55;100;81;34;25
2020-09-14 11:30:00;87;73;29;73;31;85;86;68;50;91;63;28;28
2020-09-14 11:45:00;82;63;20;76;47;90;93;67;54;88;70;32;20
2020-09-14 12:00:00;79;71;29;65;41;96;101;70;46;102;74;31;20
2020-09-14 12:15:00;86;64;24;71;35;84;87;57;43;108;79;26;19
2020-09-14 12:30:00;87;51;22;56;34;89;90;62;43;90;79;37;22
2020-09-14 12:45:00;68;64;17;61;46;77;91;59;42;75;53;32;16
2020-09-14 13:00:00;60;41;17;52;28;65;55;40;37;62;49;18;17
2020-09-14 13:15:00;79;71;25;63;36;99;93;56;41;100;59;21;25
2020-09-14 13:30:00;69;59;19;56;38;72;71;44;41;87;66;23;18
2020-09-14 13:45:00;64;72;22;40;43;77;82;38;34;71;45;22;21
2020-09-14 14:00:00;74;65;24;63;40;106;88;48;42;70;52;29;24
2020-09-14 14:15:00;69;73;24;50;38;103;87;50;36;93;59;19;21
2020-09-14 14:30:00;89;78;18;66;61;98;99;53;36;69;55;25;17
2020-09-14 14:45:00;82;62;30;56;39;107;97;64;37;77;47;19;26
2020-09-14 15:00:00;77;79;25;67;40;106;93;54;34;88;62;29;25
2020-09-14 15:15:00;75;76;14;63;39;85;98;63;42;93;58;23;15
2020-09-14 15:30:00;89;88;31;63;42;98;93;57;44;96;61;21;21
2020-09-14 15:45:00;83;79;26;72;54;112;102;52;36;76;60;24;24
2020-09-14 16:00:00;92;91;25;62;48;117;90;61;36;102;73;35;26
2020-09-14 16:15:00;93;98;26;71;41;113;83;57;42;87;77;18;24
2020-09-14 16:30:00;100;99;34;70;41;119;93;66;51;114;74;23;33
2020-09-14 16:45:00;95;104;19;64;39;106;119;63;51;116;80;22;18
2020-09-14 17:00:00;106;108;33;69;45;100;90;65;37;109;77;29;33
2020-09-14 17:15:00;89;92;32;80;39;97;91;62;45;138;81;34;32
2020-09-14 17:30:00;73;67;25;77;45;101;86;64;49;123;72;31;17
2020-09-14 17:45:00;70;58;23;60;39;95;67;53;37;100;77;20;24
2020-09-14 18:00:00;66;53;19;49;30;79;56;55;46;115;89;31;19
2020-09-14 18:15:00;70;54;21;39;30;74;60;62;51;101;77;35;21
2020-09-14 18:30:00;56;33;15;45;24;71;51;52;38;110;81;23;15
2020-09-14 18:45:00;61;35;11;37;27;58;53;48;29;96;70;34;11
2020-09-14 19:00:00;48;28;14;31;29;45;36;31;30;84;68;22;14
2020-09-14 19:15:00;44;27;17;23;21;50;40;37;29;93;60;17;15
2020-09-14 19:30:00;38;27;9;21;32;44;39;25;18;72;61;24;9
2020-09-14 19:45:00;38;22;8;18;30;54;16;17;17;55;41;10;6
2020-09-14 20:00:00;30;17;10;19;15;48;29;17;7;52;42;11;10
2020-09-14 20:15:00;24;14;6;9;21;36;26;17;14;38;23;4;5
2020-09-14 20:30:00;27;12;5;10;14;37;26;17;16;24;18;3;5
2020-09-14 20:45:00;24;13;5;14;16;36;26;12;8;15;11;5;5
2020-09-14 21:00:00;25;17;4;4;16;37;30;14;14;28;9;4;4
2020-09-14 21:15:00;23;7;7;4;16;25;16;10;8;18;11;7;7
2020-09-14 21:30:00;15;9;3;9;21;26;31;15;8;12;3;1;4
2020-09-14 21:45:00;14;2;9;7;6;26;16;3;4;14;8;3;8
2020-09-14 22:00:00;14;10;7;4;8;36;25;9;8;8;6;3;7
2020-09-14 22:15:00;22;11;1;8;8;33;23;13;7;16;7;3;1
2020-09-14 22:30:00;8;7;6;4;6;20;15;8;5;10;10;5;6
2020-09-14 22:45:00;12;8;5;4;7;10;11;5;4;5;4;2;5
2020-09-14 23:00:00;15;6;7;5;5;9;9;5;4;10;12;5;6
2020-09-14 23:15:00;10;5;3;4;3;12;12;6;7;12;8;1;3
2020-09-14 23:30:00;8;5;2;4;6;7;6;3;3;4;7;3;2
2020-09-14 23:45:00;6;5;3;1;4;9;9;0;0;2;6;3;3
