DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGC);8(TAFBB);9(TAFBC);10(TAFBD)
2019-10-29 00:00:00;6;3;0;3;10;0;0;0;0;0
2019-10-29 00:15:00;7;5;2;4;1;0;0;0;0;0
2019-10-29 00:30:00;7;5;0;2;2;0;0;0;0;0
2019-10-29 00:45:00;2;4;0;2;4;0;0;0;0;0
2019-10-29 01:00:00;4;1;1;7;4;0;0;0;0;0
2019-10-29 01:15:00;9;5;0;2;3;0;0;0;0;0
2019-10-29 01:30:00;5;3;0;4;5;0;0;0;0;0
2019-10-29 01:45:00;7;4;0;6;3;0;0;0;0;0
2019-10-29 02:00:00;8;5;0;5;8;0;0;0;0;0
2019-10-29 02:15:00;3;5;1;4;1;0;0;0;0;0
2019-10-29 02:30:00;6;2;0;5;5;0;0;0;0;0
2019-10-29 02:45:00;3;3;1;6;2;0;0;0;0;0
2019-10-29 03:00:00;3;2;2;4;2;0;0;0;0;0
2019-10-29 03:15:00;5;3;0;8;10;0;0;0;0;0
2019-10-29 03:30:00;5;3;0;4;2;0;0;0;0;0
2019-10-29 03:45:00;6;3;0;6;5;2;0;0;0;0
2019-10-29 04:00:00;9;4;0;6;3;0;0;0;0;0
2019-10-29 04:15:00;4;5;0;8;3;0;0;0;0;0
2019-10-29 04:30:00;8;4;0;8;7;0;0;0;0;0
2019-10-29 04:45:00;24;13;1;16;11;2;0;0;0;0
2019-10-29 05:00:00;24;17;0;20;15;0;0;0;0;0
2019-10-29 05:15:00;30;20;0;31;28;0;0;0;0;0
2019-10-29 05:30:00;59;35;2;52;30;0;0;0;0;0
2019-10-29 05:45:00;57;27;0;49;35;0;0;0;0;0
2019-10-29 06:00:00;67;35;4;68;66;2;0;0;0;0
2019-10-29 06:15:00;80;49;0;63;67;1;0;0;0;0
2019-10-29 06:30:00;111;51;0;72;68;3;0;0;0;0
2019-10-29 06:45:00;128;91;0;97;80;4;0;0;0;0
2019-10-29 07:00:00;115;66;1;113;98;3;0;0;0;0
2019-10-29 07:15:00;117;72;0;105;81;3;1;0;0;0
2019-10-29 07:30:00;138;74;1;115;96;6;0;0;0;0
2019-10-29 07:45:00;136;85;2;84;83;8;0;0;0;0
2019-10-29 08:00:00;85;88;2;93;63;2;3;0;0;0
2019-10-29 08:15:00;98;80;1;83;70;5;0;0;0;0
2019-10-29 08:30:00;88;84;2;78;66;8;0;0;0;0
2019-10-29 08:45:00;99;70;0;106;61;5;15;0;0;0
2019-10-29 09:00:00;87;71;1;81;76;5;2;0;0;0
2019-10-29 09:15:00;95;69;4;96;74;8;0;0;0;0
2019-10-29 09:30:00;94;53;7;80;68;7;2;0;0;0
2019-10-29 09:45:00;89;61;5;107;98;6;3;0;0;0
2019-10-29 10:00:00;106;57;4;89;69;7;1;0;0;0
2019-10-29 10:15:00;103;87;2;97;61;7;0;0;0;0
2019-10-29 10:30:00;87;62;5;89;81;8;1;0;0;0
2019-10-29 10:45:00;110;74;11;113;76;7;4;0;0;0
2019-10-29 11:00:00;108;73;2;94;73;7;0;0;0;0
2019-10-29 11:15:00;101;77;4;108;66;13;3;0;0;0
2019-10-29 11:30:00;115;78;9;112;66;264;1;0;0;0
2019-10-29 11:45:00;106;82;5;98;73;9;2;0;0;0
2019-10-29 12:00:00;107;60;9;127;88;15;1;0;0;0
2019-10-29 12:15:00;94;66;7;88;58;11;5;0;0;0
2019-10-29 12:30:00;107;66;6;88;75;6;0;0;0;0
2019-10-29 12:45:00;109;67;6;103;72;9;2;0;0;0
2019-10-29 13:00:00;119;65;4;117;89;6;2;0;0;0
2019-10-29 13:15:00;112;79;12;84;71;9;17;0;0;0
2019-10-29 13:30:00;117;72;4;104;67;10;15;0;0;0
2019-10-29 13:45:00;124;80;3;108;84;11;0;0;0;0
2019-10-29 14:00:00;103;70;261;121;89;7;0;0;0;0
2019-10-29 14:15:00;125;75;5;109;99;11;0;0;0;0
2019-10-29 14:30:00;104;60;5;105;97;7;4;0;0;0
2019-10-29 14:45:00;94;56;1;103;101;262;1;0;0;0
2019-10-29 15:00:00;112;79;9;116;87;12;7;0;0;0
2019-10-29 15:15:00;96;74;1;111;100;7;0;0;0;0
2019-10-29 15:30:00;131;71;5;120;84;19;0;0;0;0
2019-10-29 15:45:00;126;80;3;113;104;7;6;0;0;0
2019-10-29 16:00:00;151;68;8;156;109;12;4;0;0;0
2019-10-29 16:15:00;121;92;9;109;97;13;1;0;0;0
2019-10-29 16:30:00;145;88;6;144;113;12;2;0;0;0
2019-10-29 16:45:00;148;77;9;145;111;8;6;0;0;0
2019-10-29 17:00:00;101;53;5;146;115;11;8;0;0;0
2019-10-29 17:15:00;119;58;1;124;95;10;0;0;0;0
2019-10-29 17:30:00;119;51;2;111;86;7;0;0;0;0
2019-10-29 17:45:00;104;59;2;89;87;5;0;0;0;0
2019-10-29 18:00:00;101;37;6;92;98;5;0;0;0;0
2019-10-29 18:15:00;97;45;3;98;67;6;0;0;0;0
2019-10-29 18:30:00;77;37;5;69;46;3;0;0;0;0
2019-10-29 18:45:00;60;35;0;54;36;4;0;0;0;0
2019-10-29 19:00:00;63;24;1;48;36;4;0;0;0;0
2019-10-29 19:15:00;57;28;2;45;21;256;0;0;0;0
2019-10-29 19:30:00;38;17;1;40;26;1;0;0;0;0
2019-10-29 19:45:00;46;17;0;31;16;4;0;0;0;0
2019-10-29 20:00:00;40;13;1;20;17;1;0;0;0;0
2019-10-29 20:15:00;39;13;0;37;30;3;0;0;0;0
2019-10-29 20:30:00;29;10;0;25;19;1;0;0;0;0
2019-10-29 20:45:00;31;13;0;40;11;0;0;0;0;0
2019-10-29 21:00:00;41;12;2;19;19;0;0;0;0;0
2019-10-29 21:15:00;43;19;0;26;15;1;0;0;0;0
2019-10-29 21:30:00;20;15;1;15;15;0;0;0;0;0
2019-10-29 21:45:00;27;13;0;18;12;0;0;0;0;0
2019-10-29 22:00:00;35;13;5;15;14;0;0;0;0;0
2019-10-29 22:15:00;35;17;2;19;12;0;0;0;0;0
2019-10-29 22:30:00;27;18;0;17;6;0;0;0;0;0
2019-10-29 22:45:00;20;6;2;9;13;0;0;0;0;0
2019-10-29 23:00:00;17;10;2;20;5;0;0;0;0;0
2019-10-29 23:15:00;14;8;1;14;13;0;0;0;0;0
2019-10-29 23:30:00;5;6;0;12;8;0;0;0;0;0
2019-10-29 23:45:00;4;4;0;6;4;0;0;0;0;0
