DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(TAFGC)
2019-08-12 00:00:00;7;7;4;2;7;5;0
2019-08-12 00:15:00;4;3;2;1;11;4;0
2019-08-12 00:30:00;7;5;4;1;2;1;0
2019-08-12 00:45:00;9;6;4;0;5;4;0
2019-08-12 01:00:00;3;2;2;1;6;6;0
2019-08-12 01:15:00;2;1;1;1;7;4;0
2019-08-12 01:30:00;3;3;3;2;6;3;0
2019-08-12 01:45:00;3;1;0;0;7;5;0
2019-08-12 02:00:00;3;2;2;1;7;3;0
2019-08-12 02:15:00;8;4;3;1;9;3;0
2019-08-12 02:30:00;2;2;1;1;2;2;0
2019-08-12 02:45:00;3;7;7;2;9;5;0
2019-08-12 03:00:00;3;3;4;1;7;3;0
2019-08-12 03:15:00;3;1;0;4;6;8;0
2019-08-12 03:30:00;9;13;11;0;4;0;0
2019-08-12 03:45:00;6;4;5;1;2;2;0
2019-08-12 04:00:00;2;3;3;3;11;5;0
2019-08-12 04:15:00;6;5;5;2;6;3;0
2019-08-12 04:30:00;3;6;6;2;6;1;0
2019-08-12 04:45:00;9;14;11;9;11;4;0
2019-08-12 05:00:00;17;8;5;6;13;2;0
2019-08-12 05:15:00;26;13;11;7;32;12;0
2019-08-12 05:30:00;44;26;20;10;36;11;0
2019-08-12 05:45:00;44;33;23;13;41;19;0
2019-08-12 06:00:00;40;19;16;15;25;21;0
2019-08-12 06:15:00;47;33;31;14;63;28;0
2019-08-12 06:30:00;58;42;40;23;63;33;0
2019-08-12 06:45:00;75;49;49;21;84;35;0
2019-08-12 07:00:00;64;54;52;41;58;21;1
2019-08-12 07:15:00;68;38;37;37;82;33;0
2019-08-12 07:30:00;85;57;54;37;68;26;2
2019-08-12 07:45:00;89;50;48;39;78;35;4
2019-08-12 08:00:00;71;50;49;42;72;37;0
2019-08-12 08:15:00;69;32;30;29;96;39;0
2019-08-12 08:30:00;65;32;36;39;66;41;2
2019-08-12 08:45:00;71;33;28;43;83;37;1
2019-08-12 09:00:00;57;40;33;23;52;24;0
2019-08-12 09:15:00;102;65;57;40;73;36;0
2019-08-12 09:30:00;97;59;53;30;70;45;1
2019-08-12 09:45:00;81;49;43;38;84;54;0
2019-08-12 10:00:00;88;51;46;36;76;48;0
2019-08-12 10:15:00;92;55;52;34;79;48;0
2019-08-12 10:30:00;79;48;43;46;82;56;0
2019-08-12 10:45:00;83;63;49;38;91;55;0
2019-08-12 11:00:00;78;68;52;40;79;55;1
2019-08-12 11:15:00;89;44;34;39;77;50;2
2019-08-12 11:30:00;74;64;50;37;91;59;1
2019-08-12 11:45:00;72;49;41;127;80;47;2
2019-08-12 12:00:00;85;54;44;79;93;55;4
2019-08-12 12:15:00;94;48;45;42;74;55;4
2019-08-12 12:30:00;63;51;39;31;87;58;3
2019-08-12 12:45:00;85;47;32;26;97;57;0
2019-08-12 13:00:00;82;51;41;45;92;44;2
2019-08-12 13:15:00;82;49;40;68;78;44;0
2019-08-12 13:30:00;81;56;37;27;82;47;1
2019-08-12 13:45:00;97;61;51;33;98;56;3
2019-08-12 14:00:00;94;57;50;45;90;48;0
2019-08-12 14:15:00;68;47;42;93;87;47;1
2019-08-12 14:30:00;83;62;50;78;95;38;0
2019-08-12 14:45:00;97;56;46;42;91;46;0
2019-08-12 15:00:00;83;45;37;37;100;58;0
2019-08-12 15:15:00;90;51;44;36;93;53;3
2019-08-12 15:30:00;75;45;41;60;102;60;0
2019-08-12 15:45:00;107;64;54;47;102;53;1
2019-08-12 16:00:00;105;68;56;52;113;62;0
2019-08-12 16:15:00;87;48;44;80;110;53;1
2019-08-12 16:30:00;82;57;53;62;89;56;2
2019-08-12 16:45:00;93;74;45;47;108;66;2
2019-08-12 17:00:00;86;54;51;74;110;66;2
2019-08-12 17:15:00;85;70;67;39;111;48;3
2019-08-12 17:30:00;90;47;45;47;102;60;2
2019-08-12 17:45:00;70;39;35;24;90;42;3
2019-08-12 18:00:00;69;53;45;37;88;43;2
2019-08-12 18:15:00;65;33;27;19;82;37;0
2019-08-12 18:30:00;45;29;25;16;55;26;0
2019-08-12 18:45:00;44;31;23;15;55;20;0
2019-08-12 19:00:00;43;24;19;11;48;27;0
2019-08-12 19:15:00;38;20;14;14;49;26;0
2019-08-12 19:30:00;31;27;17;12;56;12;0
2019-08-12 19:45:00;28;20;11;8;32;19;1
2019-08-12 20:00:00;22;21;13;16;43;11;0
2019-08-12 20:15:00;37;25;12;9;39;11;0
2019-08-12 20:30:00;20;13;7;5;37;8;0
2019-08-12 20:45:00;20;9;5;4;34;21;0
2019-08-12 21:00:00;18;11;8;9;27;14;0
2019-08-12 21:15:00;27;14;10;7;21;9;0
2019-08-12 21:30:00;13;6;6;2;16;8;0
2019-08-12 21:45:00;12;13;8;2;27;4;0
2019-08-12 22:00:00;11;7;4;9;22;8;0
2019-08-12 22:15:00;18;14;10;9;26;8;0
2019-08-12 22:30:00;8;5;4;2;18;4;0
2019-08-12 22:45:00;8;6;4;4;15;4;0
2019-08-12 23:00:00;11;5;5;4;11;6;0
2019-08-12 23:15:00;14;8;6;3;17;9;0
2019-08-12 23:30:00;10;5;4;1;9;6;0
2019-08-12 23:45:00;3;4;3;1;8;4;0
