DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(TAFGC)
2019-09-22 00:00:00;12;6;4;5;13;5;0
2019-09-22 00:15:00;13;6;4;7;13;4;0
2019-09-22 00:30:00;13;7;5;2;12;6;0
2019-09-22 00:45:00;14;8;7;3;12;8;0
2019-09-22 01:00:00;14;7;4;3;18;9;0
2019-09-22 01:15:00;10;8;4;4;14;11;0
2019-09-22 01:30:00;10;7;4;1;9;2;0
2019-09-22 01:45:00;9;4;4;4;7;5;0
2019-09-22 02:00:00;7;6;4;0;13;1;0
2019-09-22 02:15:00;4;3;1;0;16;6;0
2019-09-22 02:30:00;14;5;3;1;4;1;0
2019-09-22 02:45:00;10;10;4;1;7;3;0
2019-09-22 03:00:00;1;2;2;1;6;5;0
2019-09-22 03:15:00;8;8;4;0;4;8;0
2019-09-22 03:30:00;6;4;3;4;6;6;0
2019-09-22 03:45:00;6;2;0;0;3;3;0
2019-09-22 04:00:00;6;3;3;1;2;2;0
2019-09-22 04:15:00;0;1;1;0;5;0;0
2019-09-22 04:30:00;7;4;1;0;1;6;0
2019-09-22 04:45:00;6;5;4;2;4;4;0
2019-09-22 05:00:00;6;6;4;2;6;8;0
2019-09-22 05:15:00;14;5;3;2;8;4;0
2019-09-22 05:30:00;8;5;2;0;2;1;0
2019-09-22 05:45:00;7;3;1;2;4;0;0
2019-09-22 06:00:00;6;3;1;1;10;3;0
2019-09-22 06:15:00;8;2;2;0;5;0;0
2019-09-22 06:30:00;13;5;2;1;10;1;0
2019-09-22 06:45:00;5;2;0;3;5;3;0
2019-09-22 07:00:00;7;2;2;2;10;7;0
2019-09-22 07:15:00;14;6;4;7;6;2;0
2019-09-22 07:30:00;12;2;1;3;16;4;0
2019-09-22 07:45:00;13;6;4;3;13;7;0
2019-09-22 08:00:00;21;10;8;4;10;7;0
2019-09-22 08:15:00;23;8;5;4;15;6;0
2019-09-22 08:30:00;17;9;6;9;27;8;0
2019-09-22 08:45:00;31;12;11;20;20;9;0
2019-09-22 09:00:00;36;15;12;13;22;10;1
2019-09-22 09:15:00;35;17;13;11;39;17;0
2019-09-22 09:30:00;51;19;13;7;24;15;0
2019-09-22 09:45:00;49;28;17;13;41;18;0
2019-09-22 10:00:00;35;21;13;14;37;30;0
2019-09-22 10:15:00;58;26;14;10;57;30;0
2019-09-22 10:30:00;41;10;9;13;58;24;0
2019-09-22 10:45:00;47;14;5;8;47;29;0
2019-09-22 11:00:00;49;19;13;9;46;18;0
2019-09-22 11:15:00;53;29;22;21;49;23;0
2019-09-22 11:30:00;47;19;20;15;53;27;0
2019-09-22 11:45:00;52;25;21;12;64;36;0
2019-09-22 12:00:00;26;21;20;10;42;22;0
2019-09-22 12:15:00;44;18;13;12;60;33;0
2019-09-22 12:30:00;52;22;14;12;53;24;0
2019-09-22 12:45:00;43;22;17;13;43;31;0
2019-09-22 13:00:00;37;23;17;12;46;40;0
2019-09-22 13:15:00;45;19;16;20;62;27;0
2019-09-22 13:30:00;47;10;10;9;48;29;0
2019-09-22 13:45:00;50;16;13;10;56;41;0
2019-09-22 14:00:00;72;32;25;6;41;30;0
2019-09-22 14:15:00;63;25;24;9;62;34;0
2019-09-22 14:30:00;36;29;27;7;31;22;0
2019-09-22 14:45:00;71;33;24;14;43;34;1
2019-09-22 15:00:00;53;28;15;12;46;18;3
2019-09-22 15:15:00;67;22;17;10;38;18;0
2019-09-22 15:30:00;53;24;18;12;52;27;0
2019-09-22 15:45:00;70;28;27;14;51;29;1
2019-09-22 16:00:00;47;26;24;13;41;26;0
2019-09-22 16:15:00;61;25;19;12;51;20;0
2019-09-22 16:30:00;39;17;15;14;32;20;2
2019-09-22 16:45:00;63;31;25;5;59;20;0
2019-09-22 17:00:00;58;32;25;14;50;25;13
2019-09-22 17:15:00;75;39;26;12;69;20;0
2019-09-22 17:30:00;75;37;30;8;52;16;0
2019-09-22 17:45:00;72;34;28;16;69;25;0
2019-09-22 18:00:00;57;34;30;15;45;21;0
2019-09-22 18:15:00;68;36;28;6;35;28;0
2019-09-22 18:30:00;34;24;18;4;32;16;0
2019-09-22 18:45:00;59;23;17;11;44;15;0
2019-09-22 19:00:00;53;18;12;6;40;13;0
2019-09-22 19:15:00;48;25;21;16;50;23;0
2019-09-22 19:30:00;47;28;26;6;31;10;0
2019-09-22 19:45:00;46;20;14;6;41;18;0
2019-09-22 20:00:00;43;23;18;2;38;18;0
2019-09-22 20:15:00;38;12;9;13;27;10;0
2019-09-22 20:30:00;31;22;19;8;21;12;0
2019-09-22 20:45:00;31;20;13;5;29;13;0
2019-09-22 21:00:00;27;18;11;3;33;11;0
2019-09-22 21:15:00;23;10;5;5;19;8;0
2019-09-22 21:30:00;22;10;7;3;19;6;0
2019-09-22 21:45:00;15;10;9;8;10;8;0
2019-09-22 22:00:00;18;16;11;2;11;2;0
2019-09-22 22:15:00;5;6;3;3;15;12;0
2019-09-22 22:30:00;10;4;4;2;12;7;0
2019-09-22 22:45:00;12;8;7;4;20;7;0
2019-09-22 23:00:00;13;6;4;3;6;2;0
2019-09-22 23:15:00;5;5;4;1;14;7;0
2019-09-22 23:30:00;8;10;7;2;8;5;0
2019-09-22 23:45:00;11;6;3;2;10;5;0
