DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(TAFGC)
2020-08-13 00:00:00;7;4;2;5;6;7;0
2020-08-13 00:15:00;6;3;2;1;6;2;0
2020-08-13 00:30:00;7;6;3;4;4;3;0
2020-08-13 00:45:00;4;5;5;1;4;6;0
2020-08-13 01:00:00;2;2;0;0;7;4;0
2020-08-13 01:15:00;3;3;2;0;4;1;0
2020-08-13 01:30:00;2;1;1;0;2;4;0
2020-08-13 01:45:00;1;3;4;1;4;2;0
2020-08-13 02:00:00;3;2;2;2;6;3;0
2020-08-13 02:15:00;1;3;3;3;5;5;0
2020-08-13 02:30:00;4;5;4;2;7;5;0
2020-08-13 02:45:00;2;1;1;0;6;2;0
2020-08-13 03:00:00;3;1;0;3;3;3;0
2020-08-13 03:15:00;1;1;1;2;5;1;0
2020-08-13 03:30:00;3;2;1;3;5;0;0
2020-08-13 03:45:00;4;8;6;2;6;4;0
2020-08-13 04:00:00;2;2;1;1;5;4;0
2020-08-13 04:15:00;5;9;9;0;8;2;0
2020-08-13 04:30:00;2;4;4;2;4;2;0
2020-08-13 04:45:00;15;8;1;2;15;11;0
2020-08-13 05:00:00;10;9;6;5;13;7;0
2020-08-13 05:15:00;22;17;11;9;30;10;0
2020-08-13 05:30:00;32;21;15;6;35;5;0
2020-08-13 05:45:00;39;30;21;9;40;16;0
2020-08-13 06:00:00;30;19;16;15;40;17;0
2020-08-13 06:15:00;52;38;33;20;58;20;0
2020-08-13 06:30:00;59;32;29;17;67;21;1
2020-08-13 06:45:00;66;47;43;24;78;34;2
2020-08-13 07:00:00;60;44;40;21;61;24;2
2020-08-13 07:15:00;67;41;38;27;73;32;1
2020-08-13 07:30:00;68;37;35;29;65;32;0
2020-08-13 07:45:00;69;60;51;35;79;41;2
2020-08-13 08:00:00;66;56;46;21;65;42;2
2020-08-13 08:15:00;59;41;38;34;14;75;1
2020-08-13 08:30:00;72;40;33;27;36;62;1
2020-08-13 08:45:00;76;33;28;38;75;42;1
2020-08-13 09:00:00;79;48;48;46;74;42;1
2020-08-13 09:15:00;72;55;46;29;72;46;0
2020-08-13 09:30:00;82;51;41;47;55;34;1
2020-08-13 09:45:00;78;61;52;30;78;35;2
2020-08-13 10:00:00;76;47;43;30;73;41;1
2020-08-13 10:15:00;82;59;47;41;82;46;1
2020-08-13 10:30:00;67;36;32;39;97;53;4
2020-08-13 10:45:00;93;54;51;39;79;43;2
2020-08-13 11:00:00;94;53;46;37;85;45;1
2020-08-13 11:15:00;95;53;42;34;88;55;2
2020-08-13 11:30:00;80;52;47;47;99;45;6
2020-08-13 11:45:00;80;57;46;33;83;52;9
2020-08-13 12:00:00;70;61;53;59;90;61;6
2020-08-13 12:15:00;87;44;42;49;97;42;7
2020-08-13 12:30:00;80;54;41;42;67;36;4
2020-08-13 12:45:00;56;41;35;27;84;39;2
2020-08-13 13:00:00;82;57;48;26;81;40;2
2020-08-13 13:15:00;80;49;42;24;82;44;3
2020-08-13 13:30:00;62;44;37;32;77;36;3
2020-08-13 13:45:00;71;61;46;40;76;48;3
2020-08-13 14:00:00;59;35;33;40;84;45;3
2020-08-13 14:15:00;85;67;59;39;93;47;0
2020-08-13 14:30:00;74;44;36;44;73;41;2
2020-08-13 14:45:00;75;49;39;40;81;40;0
2020-08-13 15:00:00;90;48;41;27;78;42;0
2020-08-13 15:15:00;82;51;45;53;102;54;0
2020-08-13 15:30:00;89;40;38;57;87;51;2
2020-08-13 15:45:00;76;55;52;43;79;52;0
2020-08-13 16:00:00;100;51;45;41;113;47;2
2020-08-13 16:15:00;79;47;43;53;92;42;3
2020-08-13 16:30:00;82;61;54;48;95;49;3
2020-08-13 16:45:00;76;53;51;76;77;42;3
2020-08-13 17:00:00;88;45;40;52;92;50;1
2020-08-13 17:15:00;75;48;41;30;94;43;1
2020-08-13 17:30:00;71;41;37;34;77;45;1
2020-08-13 17:45:00;64;46;42;23;64;33;1
2020-08-13 18:00:00;52;38;33;19;79;32;0
2020-08-13 18:15:00;51;35;32;24;58;25;1
2020-08-13 18:30:00;46;17;15;15;67;25;2
2020-08-13 18:45:00;50;32;27;13;57;32;0
2020-08-13 19:00:00;45;34;27;8;60;16;0
2020-08-13 19:15:00;35;17;15;12;58;22;0
2020-08-13 19:30:00;30;15;13;12;49;24;0
2020-08-13 19:45:00;24;14;9;9;33;8;0
2020-08-13 20:00:00;23;11;8;9;36;14;1
2020-08-13 20:15:00;22;9;8;6;30;9;1
2020-08-13 20:30:00;31;12;8;7;26;14;0
2020-08-13 20:45:00;36;22;13;9;30;9;0
2020-08-13 21:00:00;15;12;7;4;16;5;0
2020-08-13 21:15:00;24;21;7;9;22;8;0
2020-08-13 21:30:00;22;14;10;2;17;7;0
2020-08-13 21:45:00;14;13;6;7;23;5;0
2020-08-13 22:00:00;15;11;8;2;21;11;0
2020-08-13 22:15:00;22;12;6;6;25;11;0
2020-08-13 22:30:00;13;5;4;7;13;5;0
2020-08-13 22:45:00;16;13;7;8;14;7;0
2020-08-13 23:00:00;6;6;4;5;10;9;0
2020-08-13 23:15:00;15;12;6;5;12;4;0
2020-08-13 23:30:00;8;6;4;1;9;3;0
2020-08-13 23:45:00;8;4;2;4;7;7;0
