DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(TAFGC)
2020-03-08 00:00:00;7;4;3;2;15;9;0
2020-03-08 00:15:00;14;10;8;1;26;10;0
2020-03-08 00:30:00;8;3;2;3;18;13;0
2020-03-08 00:45:00;17;4;4;4;17;10;0
2020-03-08 01:00:00;9;3;2;1;7;5;0
2020-03-08 01:15:00;8;5;4;0;10;6;0
2020-03-08 01:30:00;8;4;1;1;10;3;0
2020-03-08 01:45:00;9;9;6;2;12;7;0
2020-03-08 02:00:00;4;1;1;0;4;4;0
2020-03-08 02:15:00;11;8;4;2;7;2;0
2020-03-08 02:30:00;4;1;1;1;4;1;0
2020-03-08 02:45:00;7;5;2;3;9;4;0
2020-03-08 03:00:00;3;4;3;2;5;3;0
2020-03-08 03:15:00;4;1;1;1;2;4;0
2020-03-08 03:30:00;7;4;3;0;5;3;0
2020-03-08 03:45:00;6;4;2;0;6;2;0
2020-03-08 04:00:00;9;5;1;0;4;3;0
2020-03-08 04:15:00;9;6;3;1;3;4;0
2020-03-08 04:30:00;7;5;3;1;3;8;0
2020-03-08 04:45:00;12;10;7;1;5;0;0
2020-03-08 05:00:00;16;8;6;0;1;3;0
2020-03-08 05:15:00;14;6;5;2;9;8;0
2020-03-08 05:30:00;8;3;2;1;4;1;0
2020-03-08 05:45:00;8;2;2;2;8;4;0
2020-03-08 06:00:00;5;3;0;1;8;3;0
2020-03-08 06:15:00;3;2;1;6;12;5;0
2020-03-08 06:30:00;8;3;2;3;3;2;0
2020-03-08 06:45:00;6;7;4;1;6;5;0
2020-03-08 07:00:00;6;2;2;3;7;3;0
2020-03-08 07:15:00;13;3;1;4;7;4;0
2020-03-08 07:30:00;13;3;4;3;7;7;0
2020-03-08 07:45:00;17;7;4;5;19;7;0
2020-03-08 08:00:00;10;6;4;5;12;5;0
2020-03-08 08:15:00;19;5;4;5;12;3;0
2020-03-08 08:30:00;14;5;3;8;14;5;0
2020-03-08 08:45:00;34;8;5;8;12;9;0
2020-03-08 09:00:00;26;13;9;7;24;10;0
2020-03-08 09:15:00;31;17;16;10;27;10;0
2020-03-08 09:30:00;35;13;8;8;37;18;0
2020-03-08 09:45:00;48;25;21;11;36;18;0
2020-03-08 10:00:00;38;18;13;7;35;20;0
2020-03-08 10:15:00;42;14;12;11;52;25;0
2020-03-08 10:30:00;29;16;11;12;39;15;0
2020-03-08 10:45:00;44;17;15;17;43;29;0
2020-03-08 11:00:00;36;23;18;6;50;25;0
2020-03-08 11:15:00;57;23;19;15;55;22;0
2020-03-08 11:30:00;47;23;13;9;45;28;0
2020-03-08 11:45:00;55;35;25;9;42;30;0
2020-03-08 12:00:00;37;15;12;15;59;25;0
2020-03-08 12:15:00;56;31;23;12;56;25;0
2020-03-08 12:30:00;64;19;13;13;46;19;1
2020-03-08 12:45:00;56;27;25;15;53;30;5
2020-03-08 13:00:00;60;25;20;19;42;17;0
2020-03-08 13:15:00;53;16;13;17;61;26;0
2020-03-08 13:30:00;50;20;17;12;44;18;0
2020-03-08 13:45:00;58;32;28;15;35;23;0
2020-03-08 14:00:00;41;22;20;15;47;24;0
2020-03-08 14:15:00;68;28;23;18;55;22;0
2020-03-08 14:30:00;52;24;20;13;44;19;2
2020-03-08 14:45:00;55;27;23;17;56;33;0
2020-03-08 15:00:00;37;21;16;13;43;17;0
2020-03-08 15:15:00;66;26;19;16;58;18;1
2020-03-08 15:30:00;48;22;17;11;40;19;0
2020-03-08 15:45:00;51;31;25;11;49;18;0
2020-03-08 16:00:00;58;29;24;13;41;17;0
2020-03-08 16:15:00;44;22;19;8;51;17;0
2020-03-08 16:30:00;57;22;17;10;73;20;0
2020-03-08 16:45:00;48;30;23;14;68;23;0
2020-03-08 17:00:00;25;13;12;7;43;15;0
2020-03-08 17:15:00;41;16;14;5;47;15;0
2020-03-08 17:30:00;47;26;22;17;49;17;0
2020-03-08 17:45:00;62;29;17;8;43;16;0
2020-03-08 18:00:00;50;22;14;11;47;18;0
2020-03-08 18:15:00;61;29;23;8;45;18;0
2020-03-08 18:30:00;45;25;14;10;42;16;0
2020-03-08 18:45:00;47;16;12;9;50;16;0
2020-03-08 19:00:00;40;14;10;3;47;10;0
2020-03-08 19:15:00;44;14;12;6;31;17;0
2020-03-08 19:30:00;30;12;10;6;32;8;0
2020-03-08 19:45:00;42;16;11;13;26;11;0
2020-03-08 20:00:00;35;13;10;8;30;8;0
2020-03-08 20:15:00;30;8;7;1;24;10;0
2020-03-08 20:30:00;33;17;13;5;26;7;0
2020-03-08 20:45:00;30;17;15;8;37;14;0
2020-03-08 21:00:00;24;16;14;6;23;8;0
2020-03-08 21:15:00;28;19;12;3;20;4;0
2020-03-08 21:30:00;24;10;8;2;19;11;0
2020-03-08 21:45:00;17;8;6;2;35;11;0
2020-03-08 22:00:00;18;5;5;3;16;10;0
2020-03-08 22:15:00;10;4;3;6;16;8;0
2020-03-08 22:30:00;11;6;2;2;22;7;0
2020-03-08 22:45:00;10;6;3;2;17;6;0
2020-03-08 23:00:00;2;1;1;5;12;9;0
2020-03-08 23:15:00;12;7;5;4;9;6;0
2020-03-08 23:30:00;7;1;1;1;9;7;0
2020-03-08 23:45:00;12;8;2;4;7;4;0
