DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(TAFGC)
2020-03-24 00:00:00;2;0;0;2;3;3;0
2020-03-24 00:15:00;1;0;0;2;1;0;0
2020-03-24 00:30:00;0;1;1;2;3;0;0
2020-03-24 00:45:00;5;6;3;2;5;4;0
2020-03-24 01:00:00;3;1;0;0;3;0;0
2020-03-24 01:15:00;4;1;1;1;6;1;0
2020-03-24 01:30:00;0;1;1;0;5;5;0
2020-03-24 01:45:00;1;2;1;2;5;2;0
2020-03-24 02:00:00;1;1;1;4;2;1;0
2020-03-24 02:15:00;3;2;2;0;9;7;0
2020-03-24 02:30:00;4;3;3;1;6;3;0
2020-03-24 02:45:00;0;4;5;2;3;3;0
2020-03-24 03:00:00;2;2;1;1;5;3;0
2020-03-24 03:15:00;1;2;1;2;8;3;0
2020-03-24 03:30:00;7;7;2;3;2;1;0
2020-03-24 03:45:00;3;4;3;3;7;3;0
2020-03-24 04:00:00;1;0;0;5;3;3;0
2020-03-24 04:15:00;5;3;3;4;4;4;0
2020-03-24 04:30:00;4;12;8;1;15;2;0
2020-03-24 04:45:00;8;7;4;4;17;9;0
2020-03-24 05:00:00;6;4;2;4;14;8;0
2020-03-24 05:15:00;22;17;11;10;24;10;0
2020-03-24 05:30:00;35;21;20;12;34;17;0
2020-03-24 05:45:00;38;17;14;9;47;17;0
2020-03-24 06:00:00;33;23;19;9;54;14;0
2020-03-24 06:15:00;53;31;28;15;42;14;0
2020-03-24 06:30:00;72;44;35;25;55;32;1
2020-03-24 06:45:00;68;53;51;29;80;31;0
2020-03-24 07:00:00;71;41;34;34;58;16;0
2020-03-24 07:15:00;70;60;51;28;83;23;0
2020-03-24 07:30:00;53;40;33;36;53;23;0
2020-03-24 07:45:00;67;36;34;23;62;23;1
2020-03-24 08:00:00;45;31;24;30;64;20;0
2020-03-24 08:15:00;52;41;38;24;39;27;2
2020-03-24 08:30:00;41;28;25;26;56;21;0
2020-03-24 08:45:00;39;28;23;25;51;25;0
2020-03-24 09:00:00;41;27;20;19;30;16;0
2020-03-24 09:15:00;41;30;26;25;40;26;0
2020-03-24 09:30:00;42;27;21;30;56;23;0
2020-03-24 09:45:00;53;49;41;28;51;19;0
2020-03-24 10:00:00;35;17;16;42;55;19;0
2020-03-24 10:15:00;38;32;25;31;54;19;2
2020-03-24 10:30:00;46;37;29;37;45;24;0
2020-03-24 10:45:00;45;42;33;30;58;34;0
2020-03-24 11:00:00;51;30;25;30;56;31;1
2020-03-24 11:15:00;37;33;27;32;52;29;1
2020-03-24 11:30:00;45;35;31;33;61;28;4
2020-03-24 11:45:00;44;40;34;44;57;25;4
2020-03-24 12:00:00;44;39;30;44;48;29;3
2020-03-24 12:15:00;29;36;30;24;49;18;0
2020-03-24 12:30:00;40;27;24;19;57;38;2
2020-03-24 12:45:00;38;29;27;24;49;29;3
2020-03-24 13:00:00;52;38;27;25;57;21;1
2020-03-24 13:15:00;33;33;26;24;53;25;0
2020-03-24 13:30:00;33;36;30;25;64;31;0
2020-03-24 13:45:00;48;34;32;34;43;32;0
2020-03-24 14:00:00;44;42;36;29;60;31;1
2020-03-24 14:15:00;47;30;27;45;78;40;0
2020-03-24 14:30:00;41;36;30;28;68;26;0
2020-03-24 14:45:00;58;38;34;39;70;35;0
2020-03-24 15:00:00;48;38;37;29;54;36;2
2020-03-24 15:15:00;44;27;25;29;66;34;1
2020-03-24 15:30:00;42;30;26;41;74;24;1
2020-03-24 15:45:00;47;28;22;35;67;35;1
2020-03-24 16:00:00;43;34;28;44;57;24;2
2020-03-24 16:15:00;55;36;31;38;60;24;3
2020-03-24 16:30:00;32;34;31;37;74;44;2
2020-03-24 16:45:00;32;27;26;32;50;22;1
2020-03-24 17:00:00;43;28;23;81;64;18;1
2020-03-24 17:15:00;33;27;24;26;60;25;1
2020-03-24 17:30:00;32;26;16;30;37;12;1
2020-03-24 17:45:00;22;13;11;23;43;12;0
2020-03-24 18:00:00;29;20;18;15;42;12;2
2020-03-24 18:15:00;23;13;8;15;29;19;0
2020-03-24 18:30:00;25;13;9;14;22;5;0
2020-03-24 18:45:00;15;7;9;8;21;10;0
2020-03-24 19:00:00;21;15;8;4;15;2;0
2020-03-24 19:15:00;13;10;8;8;17;2;0
2020-03-24 19:30:00;11;4;3;5;21;2;0
2020-03-24 19:45:00;11;6;5;4;15;6;0
2020-03-24 20:00:00;11;10;7;6;19;9;0
2020-03-24 20:15:00;13;8;7;5;10;3;0
2020-03-24 20:30:00;4;7;6;8;6;4;0
2020-03-24 20:45:00;6;8;6;6;13;6;0
2020-03-24 21:00:00;12;10;4;3;9;3;0
2020-03-24 21:15:00;5;2;2;1;7;3;0
2020-03-24 21:30:00;8;7;3;4;5;3;0
2020-03-24 21:45:00;8;3;2;4;9;7;0
2020-03-24 22:00:00;11;14;6;4;2;2;0
2020-03-24 22:15:00;14;6;4;3;6;0;0
2020-03-24 22:30:00;7;7;5;3;8;3;0
2020-03-24 22:45:00;6;4;2;14;6;2;0
2020-03-24 23:00:00;6;5;4;1;3;0;0
2020-03-24 23:15:00;0;3;3;1;2;3;0
2020-03-24 23:30:00;7;3;2;1;2;0;0
