DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(TAFGC)
2020-05-18 00:00:00;1;3;3;4;4;3;0
2020-05-18 00:15:00;6;4;2;0;4;0;0
2020-05-18 00:30:00;2;2;2;2;6;3;0
2020-05-18 00:45:00;6;6;6;2;8;4;0
2020-05-18 01:00:00;3;2;1;0;5;5;0
2020-05-18 01:15:00;0;1;1;3;5;3;0
2020-05-18 01:30:00;1;0;0;1;10;5;0
2020-05-18 01:45:00;3;3;1;1;1;0;0
2020-05-18 02:00:00;2;3;3;1;3;3;0
2020-05-18 02:15:00;4;4;1;1;7;1;0
2020-05-18 02:30:00;1;2;1;3;4;1;0
2020-05-18 02:45:00;1;3;3;4;4;1;0
2020-05-18 03:00:00;5;5;5;1;4;1;0
2020-05-18 03:15:00;1;1;1;1;1;1;0
2020-05-18 03:30:00;3;4;4;4;5;5;0
2020-05-18 03:45:00;6;6;5;6;2;0;0
2020-05-18 04:00:00;3;3;2;3;5;5;0
2020-05-18 04:15:00;10;9;8;3;2;0;0
2020-05-18 04:30:00;7;5;2;2;15;5;0
2020-05-18 04:45:00;12;6;4;3;13;8;0
2020-05-18 05:00:00;20;9;3;8;13;3;0
2020-05-18 05:15:00;49;26;17;13;31;8;0
2020-05-18 05:30:00;43;21;17;11;50;13;0
2020-05-18 05:45:00;47;34;28;8;47;17;0
2020-05-18 06:00:00;43;21;19;12;36;18;0
2020-05-18 06:15:00;72;36;30;20;53;27;0
2020-05-18 06:30:00;70;44;44;14;75;32;0
2020-05-18 06:45:00;96;52;44;37;89;50;2
2020-05-18 07:00:00;89;61;53;35;65;22;1
2020-05-18 07:15:00;107;61;51;89;87;26;0
2020-05-18 07:30:00;103;60;55;207;97;38;0
2020-05-18 07:45:00;107;60;55;43;63;34;1
2020-05-18 08:00:00;75;56;45;40;84;33;1
2020-05-18 08:15:00;75;53;48;39;76;46;2
2020-05-18 08:30:00;71;48;48;35;77;36;2
2020-05-18 08:45:00;72;56;52;42;82;43;0
2020-05-18 09:00:00;78;48;41;65;77;41;0
2020-05-18 09:15:00;92;64;55;45;98;62;1
2020-05-18 09:30:00;109;60;44;33;99;50;3
2020-05-18 09:45:00;107;108;78;45;81;44;2
2020-05-18 10:00:00;101;59;48;54;76;47;2
2020-05-18 10:15:00;80;55;54;69;112;67;0
2020-05-18 10:30:00;97;57;50;57;103;81;0
2020-05-18 10:45:00;114;83;77;45;102;55;1
2020-05-18 11:00:00;85;52;49;57;102;69;7
2020-05-18 11:15:00;90;69;61;57;93;61;0
2020-05-18 11:30:00;96;63;50;244;92;66;3
2020-05-18 11:45:00;88;57;48;46;87;63;2
2020-05-18 12:00:00;79;51;48;48;90;62;5
2020-05-18 12:15:00;91;55;48;47;97;53;2
2020-05-18 12:30:00;88;61;49;38;99;55;4
2020-05-18 12:45:00;84;54;53;43;96;60;3
2020-05-18 13:00:00;88;64;55;53;84;60;3
2020-05-18 13:15:00;100;58;54;37;109;65;4
2020-05-18 13:30:00;96;53;44;46;109;53;0
2020-05-18 13:45:00;105;66;62;38;117;65;1
2020-05-18 14:00:00;88;59;53;61;79;57;1
2020-05-18 14:15:00;98;64;54;51;114;60;3
2020-05-18 14:30:00;102;62;57;49;124;75;1
2020-05-18 14:45:00;87;51;52;56;120;77;3
2020-05-18 15:00:00;98;67;60;57;120;73;2
2020-05-18 15:15:00;90;51;44;53;89;58;3
2020-05-18 15:30:00;86;57;48;68;123;83;3
2020-05-18 15:45:00;108;63;57;48;108;58;5
2020-05-18 16:00:00;107;61;59;60;126;64;1
2020-05-18 16:15:00;90;54;57;65;124;50;4
2020-05-18 16:30:00;96;67;54;100;130;77;3
2020-05-18 16:45:00;89;61;57;56;110;63;3
2020-05-18 17:00:00;85;42;41;132;116;74;2
2020-05-18 17:15:00;72;53;46;45;109;72;1
2020-05-18 17:30:00;74;54;48;43;112;66;0
2020-05-18 17:45:00;58;45;35;49;87;33;0
2020-05-18 18:00:00;69;40;35;17;87;45;0
2020-05-18 18:15:00;63;35;28;25;59;31;0
2020-05-18 18:30:00;52;23;16;21;60;32;1
2020-05-18 18:45:00;43;26;21;20;59;27;0
2020-05-18 19:00:00;34;25;22;13;60;26;3
2020-05-18 19:15:00;34;17;14;7;39;18;0
2020-05-18 19:30:00;23;15;13;33;33;7;0
2020-05-18 19:45:00;28;19;11;12;39;10;0
2020-05-18 20:00:00;19;15;13;11;36;16;0
2020-05-18 20:15:00;23;13;13;9;33;16;0
2020-05-18 20:30:00;24;10;9;10;26;8;0
2020-05-18 20:45:00;22;16;9;8;18;8;0
2020-05-18 21:00:00;26;16;9;11;18;10;0
2020-05-18 21:15:00;28;15;8;5;18;15;0
2020-05-18 21:30:00;21;12;6;8;15;3;0
2020-05-18 21:45:00;22;19;15;3;21;10;0
2020-05-18 22:00:00;21;14;11;2;18;8;0
2020-05-18 22:15:00;20;15;9;5;18;8;0
2020-05-18 22:30:00;13;8;8;2;12;10;0
2020-05-18 22:45:00;10;5;2;7;9;4;0
2020-05-18 23:00:00;6;4;1;2;4;4;0
2020-05-18 23:15:00;15;8;4;3;6;5;0
2020-05-18 23:30:00;3;4;2;2;5;2;0
2020-05-18 23:45:00;5;3;5;0;4;5;0
