DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(TAFGC)
2020-10-16 00:00:00;8;2;1;0;8;9;0
2020-10-16 00:15:00;5;4;3;3;7;5;0
2020-10-16 00:30:00;1;3;3;4;3;2;0
2020-10-16 00:45:00;7;7;6;2;6;3;0
2020-10-16 01:00:00;4;4;2;1;4;6;0
2020-10-16 01:15:00;4;7;6;0;5;3;0
2020-10-16 01:30:00;1;1;1;0;2;2;0
2020-10-16 01:45:00;3;5;2;1;5;5;0
2020-10-16 02:00:00;4;4;3;1;7;5;0
2020-10-16 02:15:00;1;3;3;1;5;3;0
2020-10-16 02:30:00;2;2;2;0;2;1;0
2020-10-16 02:45:00;4;9;5;1;7;3;0
2020-10-16 03:00:00;1;2;1;4;3;0;0
2020-10-16 03:15:00;7;4;2;2;6;1;0
2020-10-16 03:30:00;5;4;1;4;3;4;0
2020-10-16 03:45:00;7;11;9;2;6;6;0
2020-10-16 04:00:00;5;2;0;4;9;3;0
2020-10-16 04:15:00;5;1;2;5;12;8;0
2020-10-16 04:30:00;6;5;5;1;6;3;0
2020-10-16 04:45:00;14;14;6;0;11;7;0
2020-10-16 05:00:00;30;12;11;8;20;3;0
2020-10-16 05:15:00;35;19;9;13;37;24;0
2020-10-16 05:30:00;27;19;18;10;41;16;0
2020-10-16 05:45:00;55;41;28;10;64;20;0
2020-10-16 06:00:00;44;23;19;10;57;26;0
2020-10-16 06:15:00;78;43;34;16;73;36;0
2020-10-16 06:30:00;72;54;51;12;74;41;0
2020-10-16 06:45:00;101;53;51;35;104;42;4
2020-10-16 07:00:00;88;59;54;39;77;31;1
2020-10-16 07:15:00;122;77;66;38;78;40;0
2020-10-16 07:30:00;117;71;55;44;84;36;0
2020-10-16 07:45:00;104;62;51;32;82;41;1
2020-10-16 08:00:00;75;54;47;36;76;34;1
2020-10-16 08:15:00;39;20;20;16;42;22;0
2020-10-16 08:30:00;
2020-10-16 08:45:00;
2020-10-16 09:00:00;
2020-10-16 09:15:00;
2020-10-16 09:30:00;
2020-10-16 09:45:00;
2020-10-16 10:00:00;
2020-10-16 10:15:00;
2020-10-16 10:30:00;
2020-10-16 10:45:00;
2020-10-16 11:00:00;
2020-10-16 11:15:00;
2020-10-16 11:30:00;
2020-10-16 11:45:00;
2020-10-16 12:00:00;
2020-10-16 12:15:00;
2020-10-16 12:30:00;
2020-10-16 12:45:00;102;80;61;40;106;59;0
2020-10-16 13:00:00;108;85;78;49;111;59;1
2020-10-16 13:15:00;111;78;71;50;101;44;0
2020-10-16 13:30:00;112;71;64;53;109;54;0
2020-10-16 13:45:00;88;66;55;43;103;66;0
2020-10-16 14:00:00;100;69;58;59;112;65;0
2020-10-16 14:15:00;99;71;59;60;114;75;1
2020-10-16 14:30:00;109;73;61;56;115;74;2
2020-10-16 14:45:00;122;75;60;54;106;51;0
2020-10-16 15:00:00;104;85;73;81;113;62;3
2020-10-16 15:15:00;84;51;47;55;107;71;0
2020-10-16 15:30:00;103;55;50;46;108;78;0
2020-10-16 15:45:00;92;61;51;53;99;60;0
2020-10-16 16:00:00;87;67;57;70;101;69;2
2020-10-16 16:15:00;98;66;57;54;109;59;2
2020-10-16 16:30:00;133;92;76;51;116;51;0
2020-10-16 16:45:00;102;70;59;48;90;43;3
2020-10-16 17:00:00;105;69;62;42;90;50;0
2020-10-16 17:15:00;73;57;53;35;100;50;5
2020-10-16 17:30:00;84;49;35;25;78;53;2
2020-10-16 17:45:00;70;44;37;20;60;30;0
2020-10-16 18:00:00;64;49;39;28;67;53;1
2020-10-16 18:15:00;80;45;33;70;73;35;3
2020-10-16 18:30:00;47;31;25;12;57;35;0
2020-10-16 18:45:00;39;30;21;16;53;21;2
2020-10-16 19:00:00;52;33;31;17;54;25;0
2020-10-16 19:15:00;41;27;25;15;60;19;0
2020-10-16 19:30:00;33;17;16;13;54;20;0
2020-10-16 19:45:00;38;26;20;8;50;19;0
2020-10-16 20:00:00;26;14;12;11;37;9;1
2020-10-16 20:15:00;33;15;10;2;37;18;0
2020-10-16 20:30:00;31;21;12;4;34;18;0
2020-10-16 20:45:00;27;24;18;10;28;10;0
2020-10-16 21:00:00;33;22;7;8;21;9;0
2020-10-16 21:15:00;25;23;15;7;27;12;0
2020-10-16 21:30:00;28;20;12;3;16;7;0
2020-10-16 21:45:00;21;15;13;6;28;16;0
2020-10-16 22:00:00;19;16;8;8;29;15;0
2020-10-16 22:15:00;20;15;10;9;39;13;0
2020-10-16 22:30:00;10;7;7;2;29;9;0
2020-10-16 22:45:00;19;14;8;9;17;11;0
2020-10-16 23:00:00;15;9;7;5;15;7;0
2020-10-16 23:15:00;16;15;9;2;21;8;0
2020-10-16 23:30:00;13;7;6;1;7;7;0
2020-10-16 23:45:00;11;10;7;5;17;14;0
