DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DBL1);7(DBL2);8(DC1);9(DC2);10(DC3);11(DC4);12(DC5);13(DC6);14(DC7);15(TAFGA);16(TAFGB);17(TAFBA);18(TAFBB);19(TAFBC);20(TAFBD)
2020-12-03 00:00:00;1;5;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 00:15:00;0;4;0;6;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 00:30:00;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 00:45:00;0;2;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 01:00:00;0;2;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 01:15:00;0;5;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 01:30:00;0;2;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 01:45:00;0;7;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 02:00:00;0;5;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 02:15:00;0;3;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 02:30:00;0;4;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 02:45:00;1;6;0;4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 03:00:00;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 03:15:00;1;2;0;3;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 03:30:00;0;5;1;4;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 03:45:00;0;9;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 04:00:00;0;4;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 04:15:00;0;9;2;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 04:30:00;0;13;1;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 04:45:00;1;22;2;9;3;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0
2020-12-03 05:00:00;3;32;2;14;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 05:15:00;4;48;7;24;10;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0
2020-12-03 05:30:00;8;42;10;31;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-03 05:45:00;10;68;24;38;20;3;0;0;0;2;2;0;2;2;0;0;0;0;0;0
2020-12-03 06:00:00;8;44;17;35;13;0;1;0;1;2;0;0;2;0;0;0;0;0;0;0
2020-12-03 06:15:00;12;96;19;66;13;1;0;2;4;4;1;0;4;1;1;0;9;0;0;0
2020-12-03 06:30:00;18;85;35;44;23;1;3;0;1;4;1;0;4;1;0;0;1;0;0;0
2020-12-03 06:45:00;31;102;49;47;29;0;3;3;1;3;3;0;4;2;1;0;0;6;0;0
2020-12-03 07:00:00;22;95;51;46;31;2;2;1;1;5;2;1;5;1;1;1;0;0;0;0
2020-12-03 07:15:00;22;125;51;51;27;3;2;0;1;4;1;1;4;2;0;0;0;1;0;0
2020-12-03 07:30:00;26;110;44;38;27;3;2;2;0;1;3;0;1;3;0;3;0;7;0;0
2020-12-03 07:45:00;35;100;38;41;34;12;2;2;4;5;5;4;4;5;0;0;0;0;0;0
2020-12-03 08:00:00;18;77;21;40;34;7;1;2;1;4;4;2;4;4;0;0;0;0;0;0
2020-12-03 08:15:00;22;78;31;51;33;6;6;2;4;2;2;2;2;2;0;0;0;3;0;0
2020-12-03 08:30:00;19;89;31;49;33;4;3;2;1;3;4;1;3;4;0;2;0;0;0;0
2020-12-03 08:45:00;18;58;12;39;30;5;5;2;5;9;9;3;9;8;0;0;0;0;0;0
2020-12-03 09:00:00;21;74;26;42;45;3;4;1;1;5;5;0;4;5;0;1;0;1;0;0
2020-12-03 09:15:00;23;70;25;46;40;9;5;3;2;7;5;1;5;6;2;1;7;11;0;0
2020-12-03 09:30:00;28;104;23;43;45;7;5;2;0;7;5;0;8;4;0;1;0;6;0;0
2020-12-03 09:45:00;22;85;24;43;36;9;5;3;3;10;6;2;10;6;0;0;0;1;0;0
2020-12-03 10:00:00;25;102;20;48;44;6;3;3;2;10;6;0;9;6;0;4;0;20;0;0
2020-12-03 10:15:00;18;69;25;39;32;6;3;2;6;13;2;3;12;3;0;2;0;0;0;0
2020-12-03 10:30:00;19;93;21;52;48;3;10;4;2;10;6;0;10;6;0;0;0;0;0;0
2020-12-03 10:45:00;16;77;20;52;41;8;6;4;2;11;7;0;10;8;1;0;5;0;0;0
2020-12-03 11:00:00;15;84;20;53;43;7;3;9;5;13;9;1;13;8;0;0;0;2;0;0
2020-12-03 11:15:00;19;86;28;61;53;4;8;12;6;17;12;2;16;11;0;2;2;0;0;0
