DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DBL1);7(DBL2);8(DC1);9(DC2);10(DC3);11(DC4);12(DC5);13(DC6);14(DC7);15(TAFGA);16(TAFGB);17(TAFBA);18(TAFBB);19(TAFBC);20(TAFBD)
2020-01-16 00:00:00;0;2;0;7;1;0;0;0;2;2;1;2;2;1;0;0;0;0;0;0
2020-01-16 00:15:00;0;1;2;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-16 00:30:00;0;3;0;3;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-01-16 00:45:00;0;6;0;3;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-01-16 01:00:00;0;8;0;4;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-01-16 01:15:00;1;9;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-01-16 01:30:00;0;4;1;4;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-01-16 01:45:00;0;1;0;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2020-01-16 02:00:00;0;7;1;5;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
2020-01-16 02:15:00;0;5;1;3;6;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2020-01-16 02:30:00;0;4;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-16 02:45:00;0;6;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-16 03:00:00;1;5;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-16 03:15:00;0;5;0;5;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2020-01-16 03:30:00;0;6;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-16 03:45:00;0;5;0;2;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2020-01-16 04:00:00;0;4;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-16 04:15:00;0;7;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-16 04:30:00;0;7;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-16 04:45:00;0;21;0;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-16 05:00:00;2;38;4;10;5;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
2020-01-16 05:15:00;5;35;3;20;12;2;0;2;2;2;2;0;2;1;0;0;0;0;0;0
2020-01-16 05:30:00;5;51;13;37;10;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2020-01-16 05:45:00;21;71;17;34;9;0;0;1;0;3;0;0;3;0;0;0;0;0;0;0
2020-01-16 06:00:00;3;69;9;43;23;2;0;0;0;3;2;0;3;1;0;0;0;0;0;0
2020-01-16 06:15:00;16;108;21;53;15;3;3;0;1;2;2;0;2;2;0;0;0;0;0;0
2020-01-16 06:30:00;22;82;27;50;23;1;4;1;1;5;1;1;5;1;0;0;0;0;0;0
2020-01-16 06:45:00;38;88;40;53;31;3;4;1;2;4;2;1;4;2;0;2;0;15;0;0
2020-01-16 07:00:00;32;118;51;45;23;5;5;3;2;6;0;1;5;0;0;1;0;1;0;0
2020-01-16 07:15:00;36;140;50;42;31;2;2;0;2;8;2;1;9;2;0;1;0;3;0;0
2020-01-16 07:30:00;47;120;58;45;19;4;3;3;2;3;3;2;3;3;0;0;0;0;0;0
2020-01-16 07:45:00;45;114;33;40;23;4;6;2;3;3;4;2;3;4;0;0;0;4;0;0
2020-01-16 08:00:00;31;109;48;38;25;3;2;1;4;7;0;4;7;0;0;1;0;0;0;0
2020-01-16 08:15:00;30;97;37;33;33;2;3;1;4;5;4;4;5;4;0;1;0;6;0;0
2020-01-16 08:30:00;28;98;33;40;44;1;4;2;1;9;4;1;8;4;0;0;0;0;0;0
2020-01-16 08:45:00;26;88;27;38;27;2;3;2;2;5;1;2;5;1;0;2;0;15;0;0
2020-01-16 09:00:00;21;75;18;40;26;3;1;7;1;8;6;1;7;7;0;2;0;6;0;0
2020-01-16 09:15:00;23;71;21;28;37;6;5;6;2;6;4;3;6;4;0;0;0;1;0;0
2020-01-16 09:30:00;21;63;23;42;33;5;0;6;4;12;7;2;11;7;0;2;0;9;0;0
2020-01-16 09:45:00;33;70;14;37;39;4;2;6;4;4;5;0;5;5;0;1;0;1;0;0
2020-01-16 10:00:00;25;69;20;43;39;7;4;5;4;7;7;3;7;7;0;2;0;10;0;0
2020-01-16 10:15:00;17;69;24;36;37;6;1;8;3;10;11;2;10;11;0;2;0;22;0;0
2020-01-16 10:30:00;13;87;26;60;32;3;4;6;2;10;5;1;11;4;1;1;4;1;0;0
2020-01-16 10:45:00;25;61;21;47;25;4;2;2;4;11;4;2;11;5;0;1;0;3;0;0
2020-01-16 11:00:00;20;70;20;60;51;6;1;3;1;11;7;1;11;7;3;5;3;12;0;0
2020-01-16 11:15:00;12;89;21;46;54;6;7;5;3;12;12;2;13;11;0;1;0;0;0;0
2020-01-16 11:30:00;15;78;18;39;45;5;4;6;8;14;12;4;13;12;1;6;1;8;0;4
2020-01-16 11:45:00;17;67;17;47;52;3;4;3;3;19;10;1;19;10;3;0;10;0;1;0
2020-01-16 12:00:00;13;70;15;43;43;12;5;7;6;16;11;4;15;12;1;2;2;6;0;0
2020-01-16 12:15:00;11;73;23;56;46;5;5;7;6;16;6;6;16;6;1;0;5;0;0;0
2020-01-16 12:30:00;18;67;24;45;31;3;3;6;4;15;5;3;14;6;1;0;6;0;1;0
2020-01-16 12:45:00;17;67;19;45;38;6;1;5;8;12;4;5;12;3;2;0;2;0;0;0
2020-01-16 13:00:00;14;58;14;49;48;3;3;4;2;11;8;2;13;8;2;3;9;16;0;0
2020-01-16 13:15:00;19;84;24;77;56;6;2;6;4;12;6;3;11;6;0;0;0;0;0;0
2020-01-16 13:30:00;18;95;24;64;38;5;7;7;4;13;8;3;13;8;0;0;0;7;0;0
2020-01-16 13:45:00;20;74;18;50;44;4;6;6;7;12;9;5;13;8;1;1;0;4;0;0
2020-01-16 14:00:00;18;68;23;65;38;2;4;3;1;14;8;1;14;8;1;4;3;24;0;0
2020-01-16 14:15:00;16;84;28;75;42;3;5;4;2;16;8;1;16;7;1;2;4;7;0;0
2020-01-16 14:30:00;13;76;28;73;43;5;3;4;2;21;5;1;20;5;0;3;0;5;0;0
2020-01-16 14:45:00;20;87;23;88;41;5;8;4;0;10;7;0;12;6;5;0;0;1;0;0
2020-01-16 15:00:00;8;95;28;68;36;5;10;7;4;20;6;3;19;7;1;3;17;22;0;10
2020-01-16 15:15:00;14;77;23;71;42;4;4;3;1;20;10;1;18;10;9;1;7;6;0;0
2020-01-16 15:30:00;22;79;25;94;50;5;6;7;2;23;4;1;20;9;2;3;5;10;0;0
2020-01-16 15:45:00;18;91;34;80;44;9;5;9;7;19;9;3;16;10;1;1;2;1;2;1
2020-01-16 16:00:00;20;88;36;109;47;7;9;5;6;25;22;4;26;22;4;1;12;5;0;0
2020-01-16 16:15:00;22;101;35;115;56;3;5;2;5;22;14;4;22;14;0;0;0;7;0;0
2020-01-16 16:30:00;25;86;38;108;50;4;8;6;4;26;17;2;26;14;7;1;0;3;0;0
2020-01-16 16:45:00;23;81;30;102;37;4;4;6;5;29;15;3;30;17;6;1;19;14;4;0
2020-01-16 17:00:00;37;79;21;103;48;8;6;6;9;31;14;5;29;13;0;3;0;11;0;4
2020-01-16 17:15:00;15;76;16;95;35;5;2;7;5;32;24;3;32;22;1;0;9;1;0;0
2020-01-16 17:30:00;19;69;26;94;35;4;5;5;3;23;15;1;24;14;3;0;5;1;0;0
2020-01-16 17:45:00;15;58;14;76;36;3;4;6;4;16;5;2;16;4;0;0;3;0;0;0
2020-01-16 18:00:00;13;80;20;73;30;5;3;3;3;28;11;2;27;13;0;0;7;1;0;2
2020-01-16 18:15:00;22;60;17;65;21;17;6;7;0;21;14;0;19;14;1;0;9;0;0;0
2020-01-16 18:30:00;22;50;9;59;22;14;15;6;2;16;11;0;17;9;0;1;0;0;0;0
2020-01-16 18:45:00;8;45;13;39;20;13;5;9;1;10;8;0;11;8;0;0;0;0;0;0
2020-01-16 19:00:00;4;48;14;51;19;4;0;5;1;10;8;0;10;8;0;0;0;0;0;0
2020-01-16 19:15:00;7;30;7;42;15;4;2;2;1;11;5;1;10;5;0;0;0;0;0;0
2020-01-16 19:30:00;3;33;9;45;10;3;2;4;2;7;3;1;7;3;5;0;7;1;2;0
2020-01-16 19:45:00;0;24;5;31;10;1;1;3;1;5;3;1;6;4;0;0;0;0;0;0
2020-01-16 20:00:00;4;25;3;30;25;2;1;4;3;6;3;1;6;3;0;0;0;0;0;0
2020-01-16 20:15:00;2;20;4;40;16;5;2;2;4;3;3;2;3;3;0;1;0;3;0;0
2020-01-16 20:30:00;2;26;2;33;16;2;1;3;3;0;1;0;0;1;0;0;0;0;0;0
2020-01-16 20:45:00;5;19;5;21;10;3;0;1;1;3;1;0;3;1;0;0;0;0;0;0
2020-01-16 21:00:00;2;29;2;24;9;0;2;1;2;2;2;2;1;2;0;0;0;0;0;0
2020-01-16 21:15:00;5;13;1;27;11;1;0;7;13;5;2;1;5;1;0;0;0;0;0;0
2020-01-16 21:30:00;2;18;3;14;3;1;0;3;5;1;2;2;1;2;0;0;0;0;0;0
2020-01-16 21:45:00;1;12;0;32;5;3;4;5;9;5;5;6;5;5;0;0;0;0;0;0
2020-01-16 22:00:00;2;25;3;24;12;0;1;6;9;5;3;2;4;2;0;0;0;0;0;0
2020-01-16 22:15:00;2;19;2;39;12;0;0;1;2;6;5;2;6;5;0;0;0;0;0;0
2020-01-16 22:30:00;2;6;2;18;12;1;0;5;4;2;8;2;2;7;0;0;0;0;0;0
2020-01-16 22:45:00;1;14;2;13;7;1;1;6;6;0;2;2;1;1;0;0;0;0;0;0
2020-01-16 23:00:00;1;9;1;12;5;2;0;4;3;3;0;0;2;0;0;0;0;0;0;0
2020-01-16 23:15:00;0;19;0;12;2;0;1;4;2;3;2;1;3;1;0;0;0;0;0;0
2020-01-16 23:30:00;0;9;1;8;8;1;0;2;1;7;0;1;7;0;0;0;0;0;0;0
