DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DBL1);7(DBL2);8(DC1);9(DC2);10(DC3);11(DC4);12(DC5);13(DC6);14(DC7);15(TAFGA);16(TAFGB);17(TAFBA);18(TAFBB);19(TAFBC);20(TAFBD)
2020-10-27 00:00:00;0;6;0;2;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-10-27 00:15:00;0;2;0;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-10-27 00:30:00;0;1;0;2;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0
2020-10-27 00:45:00;0;4;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-27 01:00:00;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-27 01:15:00;0;9;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2020-10-27 01:30:00;0;2;0;2;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2020-10-27 01:45:00;1;2;0;4;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2020-10-27 02:00:00;0;5;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-27 02:15:00;0;6;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-27 02:30:00;0;4;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-27 02:45:00;0;8;0;1;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2020-10-27 03:00:00;0;4;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-27 03:15:00;1;5;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-27 03:30:00;0;7;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-27 03:45:00;0;10;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-27 04:00:00;0;4;0;4;8;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2020-10-27 04:15:00;0;6;0;8;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-27 04:30:00;0;8;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-27 04:45:00;2;21;0;7;7;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2020-10-27 05:00:00;1;35;3;23;5;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2020-10-27 05:15:00;4;37;5;33;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-10-27 05:30:00;5;42;13;24;12;1;0;1;0;2;0;0;2;0;0;0;0;0;0;0
2020-10-27 05:45:00;21;75;16;32;13;0;1;0;0;1;2;0;1;2;0;0;0;0;0;0
2020-10-27 06:00:00;6;57;12;44;21;1;0;0;0;3;1;0;3;1;0;0;0;0;0;0
2020-10-27 06:15:00;7;89;19;51;22;3;0;0;0;4;1;0;4;1;0;0;0;0;0;0
2020-10-27 06:30:00;22;106;45;55;32;3;3;2;1;4;2;1;4;2;1;0;2;0;0;0
2020-10-27 06:45:00;32;102;48;54;25;5;6;2;1;3;1;0;5;1;1;2;0;0;0;0
2020-10-27 07:00:00;19;115;46;46;19;1;5;2;1;3;4;1;3;4;0;0;0;0;0;0
2020-10-27 07:15:00;15;68;26;34;19;1;1;0;1;3;0;2;3;0;0;2;0;0;0;0
2020-10-27 07:30:00;29;112;45;37;17;3;2;2;1;2;1;1;2;0;0;0;4;0;0;1
2020-10-27 07:45:00;34;96;49;61;31;4;5;2;2;5;0;0;6;1;0;3;0;8;0;0
2020-10-27 08:00:00;28;81;32;41;27;4;4;2;1;12;3;0;12;3;2;0;0;7;0;0
2020-10-27 08:15:00;21;85;24;44;28;1;4;2;1;7;2;1;6;3;0;0;5;0;0;0
2020-10-27 08:30:00;19;85;28;54;45;9;11;3;2;10;7;1;10;7;0;3;0;2;0;0
2020-10-27 08:45:00;14;76;33;40;44;5;4;7;0;14;4;0;13;4;0;1;0;0;0;0
2020-10-27 09:00:00;7;77;27;41;39;8;2;4;2;6;2;1;7;2;0;0;0;0;0;0
2020-10-27 09:15:00;22;87;26;52;36;4;6;3;0;8;3;0;7;4;0;0;0;1;0;0
2020-10-27 09:30:00;14;101;15;41;42;4;4;2;2;7;2;1;7;2;0;0;0;0;0;0
2020-10-27 09:45:00;24;96;28;48;36;4;7;1;2;9;7;2;8;7;0;0;0;0;0;0
2020-10-27 10:00:00;16;80;20;41;41;5;4;6;2;11;3;2;11;3;1;2;0;9;0;0
2020-10-27 10:15:00;24;88;25;37;55;9;5;4;3;12;9;2;12;7;0;0;0;1;0;0
2020-10-27 10:30:00;16;96;29;48;46;6;7;6;5;10;5;2;10;6;0;0;0;0;0;0
2020-10-27 10:45:00;17;72;25;46;36;8;6;5;1;14;6;1;15;6;0;1;0;0;0;0
2020-10-27 11:00:00;16;76;23;47;46;6;8;7;2;12;3;1;11;3;0;0;0;9;0;0
2020-10-27 11:15:00;15;71;26;50;47;11;10;8;4;9;9;3;11;7;0;0;0;0;0;0
2020-10-27 11:30:00;17;81;15;57;57;11;3;6;6;17;7;4;17;7;1;0;12;2;0;0
2020-10-27 11:45:00;15;74;8;53;36;3;11;6;2;8;8;0;9;8;0;0;0;0;0;0
2020-10-27 12:00:00;20;73;20;66;49;12;7;8;6;13;10;3;13;10;0;0;0;0;0;0
2020-10-27 12:15:00;16;81;14;66;48;8;4;11;7;14;10;6;14;9;0;1;0;0;0;0
2020-10-27 12:30:00;20;90;21;59;40;4;6;3;4;11;9;4;11;9;1;0;0;0;0;0
2020-10-27 12:45:00;14;84;25;54;25;5;4;5;3;14;6;2;12;6;2;1;12;0;0;0
2020-10-27 13:00:00;13;89;23;66;51;2;9;8;4;15;6;1;17;5;3;0;0;1;0;0
2020-10-27 13:15:00;13;90;28;62;48;9;7;3;6;13;11;5;12;11;5;0;33;0;0;0
2020-10-27 13:30:00;15;93;35;61;61;7;5;9;4;12;7;1;11;7;0;2;0;1;0;0
2020-10-27 13:45:00;19;80;29;55;33;7;6;2;2;11;10;2;12;10;0;0;0;1;0;0
2020-10-27 14:00:00;21;86;21;67;43;6;6;6;4;9;6;4;10;7;2;1;4;0;0;0
2020-10-27 14:15:00;21;91;26;69;35;3;9;5;1;10;4;1;10;4;4;2;7;0;0;0
2020-10-27 14:30:00;24;77;21;82;46;4;1;3;4;17;9;2;15;8;1;2;1;31;0;0
2020-10-27 14:45:00;19;78;32;79;45;8;7;4;2;9;7;2;11;7;0;4;0;0;0;0
2020-10-27 15:00:00;19;101;26;70;50;11;11;6;1;19;6;1;19;6;0;3;0;0;0;0
2020-10-27 15:15:00;22;89;37;71;51;11;5;6;3;23;9;1;21;9;1;2;0;8;0;0
2020-10-27 15:30:00;19;69;17;74;56;10;4;6;5;19;10;4;18;11;1;2;1;0;0;0
2020-10-27 15:45:00;17;74;25;90;56;8;13;9;3;25;10;3;24;10;0;0;0;0;0;0
2020-10-27 16:00:00;21;93;34;105;61;7;3;2;6;22;22;7;22;22;0;3;1;1;0;0
2020-10-27 16:15:00;22;102;36;105;47;6;7;6;6;24;11;5;24;12;1;1;0;0;0;0
2020-10-27 16:30:00;13;103;24;102;69;7;10;8;9;31;17;8;31;16;1;2;0;0;0;0
2020-10-27 16:45:00;23;105;38;106;51;8;4;6;1;14;5;1;15;5;0;1;0;0;0;0
2020-10-27 17:00:00;32;98;27;118;49;5;3;6;5;25;15;3;24;14;0;0;0;0;0;0
2020-10-27 17:15:00;14;84;29;84;32;6;5;8;8;23;9;5;22;9;0;0;0;0;0;0
2020-10-27 17:30:00;18;58;29;74;34;7;6;6;3;23;9;2;22;7;0;0;2;0;0;0
2020-10-27 17:45:00;21;71;21;83;32;11;5;7;5;19;10;3;19;10;2;0;20;0;0;0
2020-10-27 18:00:00;11;67;16;61;30;5;7;5;7;20;10;5;22;8;2;0;7;0;0;0
2020-10-27 18:15:00;9;53;11;72;29;7;1;10;6;22;8;2;21;8;1;0;2;0;0;37
2020-10-27 18:30:00;9;37;7;45;20;2;2;4;4;14;2;1;14;3;1;0;6;0;0;0
2020-10-27 18:45:00;4;38;12;42;21;0;3;3;1;9;6;0;10;6;5;1;32;0;0;0
2020-10-27 19:00:00;3;35;10;31;16;1;0;3;3;11;2;3;9;3;0;0;0;0;0;0
2020-10-27 19:15:00;3;18;1;37;7;1;0;3;2;6;1;0;6;1;0;0;8;0;0;0
2020-10-27 19:30:00;2;25;3;28;13;0;0;5;1;3;1;0;3;1;0;0;4;0;0;0
