DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(TAFGC)
2020-02-16 00:00:00;9;3;2;0;0;24;2;23;1;0;0
2020-02-16 00:15:00;13;0;0;0;0;18;1;18;1;0;0
2020-02-16 00:30:00;15;1;2;0;0;18;0;18;0;0;0
2020-02-16 00:45:00;11;1;1;0;0;15;0;15;0;0;0
2020-02-16 01:00:00;7;2;0;0;0;23;0;23;0;0;0
2020-02-16 01:15:00;7;2;2;0;0;10;1;10;0;0;0
2020-02-16 01:30:00;7;2;1;0;0;15;1;15;0;0;0
2020-02-16 01:45:00;6;3;0;0;0;19;2;19;1;0;0
2020-02-16 02:00:00;12;0;0;0;0;14;0;14;0;0;0
2020-02-16 02:15:00;3;0;0;0;0;9;0;9;0;0;0
2020-02-16 02:30:00;6;0;0;0;0;10;1;10;0;0;0
2020-02-16 02:45:00;7;2;2;0;0;5;2;5;0;0;0
2020-02-16 03:00:00;8;2;0;0;0;11;0;11;0;0;0
2020-02-16 03:15:00;10;2;2;0;0;9;2;9;0;0;0
2020-02-16 03:30:00;8;1;1;0;1;8;1;8;0;0;0
2020-02-16 03:45:00;8;3;2;0;0;8;3;8;0;0;0
2020-02-16 04:00:00;7;2;2;0;0;6;1;6;0;0;0
2020-02-16 04:15:00;12;2;2;0;0;6;2;6;0;0;0
2020-02-16 04:30:00;14;1;2;0;0;6;1;6;0;0;0
2020-02-16 04:45:00;8;1;1;0;0;8;0;8;0;0;0
2020-02-16 05:00:00;12;3;1;0;0;6;1;6;0;0;0
2020-02-16 05:15:00;19;2;1;0;0;6;1;6;0;0;0
2020-02-16 05:30:00;16;4;3;0;0;9;2;9;0;0;0
2020-02-16 05:45:00;6;4;4;0;1;7;4;7;0;0;0
2020-02-16 06:00:00;8;4;1;0;0;7;1;7;0;0;0
2020-02-16 06:15:00;5;0;0;0;0;2;0;2;0;0;0
2020-02-16 06:30:00;6;1;1;0;0;4;1;4;0;0;0
2020-02-16 06:45:00;8;2;2;0;0;1;1;1;0;0;0
2020-02-16 07:00:00;8;1;1;0;1;9;0;9;0;0;0
2020-02-16 07:15:00;9;0;0;0;0;2;0;2;0;0;0
2020-02-16 07:30:00;9;1;1;0;0;4;1;4;0;0;0
2020-02-16 07:45:00;21;1;0;0;0;6;0;6;0;0;0
2020-02-16 08:00:00;20;0;0;0;0;11;1;11;1;1;0
2020-02-16 08:15:00;21;1;1;0;0;19;1;19;0;0;0
2020-02-16 08:30:00;31;2;1;0;0;9;1;9;1;0;0
2020-02-16 08:45:00;45;0;0;1;0;8;2;9;1;1;0
2020-02-16 09:00:00;47;1;1;0;0;13;5;13;2;0;0
2020-02-16 09:15:00;49;1;0;0;0;27;2;27;1;2;0
2020-02-16 09:30:00;55;0;0;0;1;35;1;35;0;0;0
2020-02-16 09:45:00;60;3;1;0;0;30;7;30;3;0;1
2020-02-16 10:00:00;43;0;0;0;0;37;9;37;2;3;0
2020-02-16 10:15:00;42;2;1;0;0;49;15;49;3;2;1
2020-02-16 10:30:00;45;0;0;0;1;45;7;45;2;2;0
2020-02-16 10:45:00;49;0;0;1;0;50;4;50;2;0;0
2020-02-16 11:00:00;43;1;0;1;0;40;6;40;1;1;1
2020-02-16 11:15:00;40;4;2;0;1;65;8;65;0;0;0
2020-02-16 11:30:00;50;4;1;0;1;50;8;50;3;3;0
2020-02-16 11:45:00;52;1;1;0;0;69;8;69;3;1;0
2020-02-16 12:00:00;38;0;0;0;0;56;11;56;6;4;0
2020-02-16 12:15:00;47;5;4;0;0;62;12;62;1;4;0
2020-02-16 12:30:00;48;2;1;0;0;60;5;60;16;6;0
2020-02-16 12:45:00;58;3;1;0;0;50;5;50;11;6;0
2020-02-16 13:00:00;72;3;2;0;0;59;3;61;5;0;0
2020-02-16 13:15:00;58;1;0;0;0;57;3;57;7;2;0
2020-02-16 13:30:00;50;1;1;0;0;61;7;61;8;2;0
2020-02-16 13:45:00;61;0;0;0;0;52;6;52;8;3;2
2020-02-16 14:00:00;63;4;4;2;1;55;3;55;7;3;0
2020-02-16 14:15:00;72;6;3;0;0;60;2;60;4;3;0
2020-02-16 14:30:00;62;4;3;1;1;66;5;65;5;1;0
2020-02-16 14:45:00;62;1;0;0;0;91;4;92;7;3;2
2020-02-16 15:00:00;53;1;0;0;0;62;2;60;0;2;0
2020-02-16 15:15:00;54;2;0;0;1;64;3;64;1;2;1
2020-02-16 15:30:00;57;5;4;0;0;49;2;49;0;0;0
2020-02-16 15:45:00;48;2;2;1;0;61;4;61;1;0;0
2020-02-16 16:00:00;48;2;1;0;1;73;3;73;1;1;2
2020-02-16 16:15:00;62;1;1;0;0;56;0;56;1;0;0
2020-02-16 16:30:00;72;1;1;2;2;50;0;50;0;0;0
2020-02-16 16:45:00;68;3;1;1;1;53;4;53;0;1;0
2020-02-16 17:00:00;57;3;2;1;2;59;4;58;1;0;2
2020-02-16 17:15:00;72;8;6;2;0;66;1;66;0;1;1
2020-02-16 17:30:00;86;3;1;1;0;54;6;54;2;0;1
2020-02-16 17:45:00;57;2;0;0;0;54;8;55;2;4;1
2020-02-16 18:00:00;53;4;3;1;1;60;9;59;1;4;0
2020-02-16 18:15:00;80;2;1;0;0;57;3;57;4;1;0
2020-02-16 18:30:00;50;0;0;1;1;54;1;54;3;1;0
2020-02-16 18:45:00;52;0;1;0;0;48;5;48;5;4;0
2020-02-16 19:00:00;40;0;0;0;0;64;6;64;3;3;0
2020-02-16 19:15:00;39;2;1;0;0;52;4;51;2;2;0
2020-02-16 19:30:00;34;0;0;0;0;28;3;29;0;4;0
2020-02-16 19:45:00;38;6;4;0;0;40;5;39;0;3;0
2020-02-16 20:00:00;32;1;1;0;0;40;1;40;5;4;0
2020-02-16 20:15:00;35;1;0;0;0;29;7;29;2;0;0
2020-02-16 20:30:00;26;5;2;0;0;36;3;35;1;1;0
2020-02-16 20:45:00;23;5;3;0;1;25;4;25;1;0;0
2020-02-16 21:00:00;26;1;0;0;0;21;0;21;5;2;0
2020-02-16 21:15:00;23;7;4;0;0;25;2;25;0;0;0
2020-02-16 21:30:00;23;3;2;0;0;14;1;14;5;5;0
2020-02-16 21:45:00;16;0;0;0;0;17;2;17;0;0;0
2020-02-16 22:00:00;15;1;0;0;0;20;0;20;1;2;0
2020-02-16 22:15:00;9;0;1;0;0;18;2;18;4;1;0
2020-02-16 22:30:00;12;0;1;0;0;18;0;18;1;0;0
2020-02-16 22:45:00;8;1;2;0;0;13;0;13;0;1;0
2020-02-16 23:00:00;6;2;2;0;0;14;0;14;1;0;0
2020-02-16 23:15:00;7;1;1;0;0;8;0;8;0;0;0
2020-02-16 23:30:00;8;1;1;0;0;8;1;8;0;0;0
2020-02-16 23:45:00;4;2;2;0;0;3;1;3;0;1;0
