DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(TAFGC)
2020-02-10 00:00:00;5;3;3;0;0;7;2;7;0;4;0
2020-02-10 00:15:00;6;3;3;0;0;5;1;5;2;1;0
2020-02-10 00:30:00;4;1;1;0;0;5;6;5;1;1;0
2020-02-10 00:45:00;2;1;1;0;0;2;2;2;1;3;0
2020-02-10 01:00:00;9;3;4;0;0;6;2;6;0;2;0
2020-02-10 01:15:00;1;1;1;0;0;2;3;2;1;3;0
2020-02-10 01:30:00;6;3;1;0;0;5;3;5;1;6;0
2020-02-10 01:45:00;2;1;0;0;0;5;4;5;1;1;0
2020-02-10 02:00:00;4;2;2;0;0;4;1;4;0;1;0
2020-02-10 02:15:00;2;0;0;0;0;6;2;6;1;2;0
2020-02-10 02:30:00;5;4;2;0;0;5;5;5;4;3;0
2020-02-10 02:45:00;3;3;1;0;0;4;1;4;1;1;0
2020-02-10 03:00:00;3;3;3;0;0;6;1;6;1;3;0
2020-02-10 03:15:00;6;1;2;0;0;0;1;0;2;2;0
2020-02-10 03:30:00;4;2;3;0;0;2;3;2;1;3;0
2020-02-10 03:45:00;9;4;5;0;0;5;8;5;2;2;0
2020-02-10 04:00:00;5;2;1;0;0;5;2;5;4;3;0
2020-02-10 04:15:00;13;1;2;0;0;3;1;3;1;1;0
2020-02-10 04:30:00;10;3;3;0;0;11;4;12;1;4;0
2020-02-10 04:45:00;24;3;0;0;0;8;6;8;1;3;0
2020-02-10 05:00:00;30;6;6;0;0;26;6;26;2;2;0
2020-02-10 05:15:00;41;4;3;0;0;24;7;24;2;1;0
2020-02-10 05:30:00;82;6;5;0;0;44;10;44;2;5;1
2020-02-10 05:45:00;92;8;6;0;0;34;10;34;3;6;3
2020-02-10 06:00:00;82;5;1;0;0;57;6;56;3;8;1
2020-02-10 06:15:00;103;6;1;0;0;45;8;45;6;7;0
2020-02-10 06:30:00;150;5;0;0;0;78;11;79;3;4;0
2020-02-10 06:45:00;189;8;2;0;1;65;19;65;3;3;0
2020-02-10 07:00:00;182;3;2;0;0;48;18;48;5;5;0
2020-02-10 07:15:00;158;1;1;0;1;63;20;63;3;6;0
2020-02-10 07:30:00;183;4;2;0;1;62;12;62;5;5;0
2020-02-10 07:45:00;165;8;3;0;0;57;14;58;3;5;2
2020-02-10 08:00:00;152;2;0;0;1;55;16;54;10;8;0
2020-02-10 08:15:00;131;3;2;0;1;53;22;54;8;9;0
2020-02-10 08:30:00;114;0;0;0;0;52;11;53;7;5;0
2020-02-10 08:45:00;99;3;0;0;0;47;16;47;8;12;4
2020-02-10 09:00:00;94;4;3;0;1;56;13;55;13;5;8
2020-02-10 09:15:00;88;5;3;0;3;57;27;57;19;9;1
2020-02-10 09:30:00;71;4;2;0;0;47;15;47;16;7;2
2020-02-10 09:45:00;75;3;1;0;0;54;22;54;13;3;1
2020-02-10 10:00:00;79;1;1;0;0;54;26;53;25;10;0
2020-02-10 10:15:00;75;3;1;0;0;54;23;55;18;10;0
2020-02-10 10:30:00;68;5;6;0;1;53;17;52;19;6;0
2020-02-10 10:45:00;57;4;4;1;1;56;24;57;17;13;0
2020-02-10 11:00:00;77;2;1;0;2;54;25;53;15;11;0
2020-02-10 11:15:00;66;3;1;0;2;76;18;77;17;9;0
2020-02-10 11:30:00;95;3;1;1;3;69;25;68;14;9;0
2020-02-10 11:45:00;74;0;0;1;2;63;30;63;18;6;0
2020-02-10 12:00:00;71;8;4;0;1;72;27;73;16;19;1
2020-02-10 12:15:00;68;2;1;0;0;69;18;70;23;8;0
2020-02-10 12:30:00;91;3;2;0;3;66;25;66;15;12;0
2020-02-10 12:45:00;76;5;3;2;1;73;20;73;22;6;2
2020-02-10 13:00:00;79;6;2;0;0;79;15;79;24;11;1
2020-02-10 13:15:00;82;2;1;0;1;80;18;82;20;5;1
2020-02-10 13:30:00;88;3;2;1;5;90;19;91;17;8;0
2020-02-10 13:45:00;76;1;2;0;0;74;24;74;14;9;1
2020-02-10 14:00:00;86;0;0;1;0;64;19;65;20;8;3
2020-02-10 14:15:00;93;2;1;0;1;98;23;98;9;3;1
2020-02-10 14:30:00;93;5;1;0;0;117;17;117;15;8;1
2020-02-10 14:45:00;97;5;4;0;3;108;18;107;17;7;2
2020-02-10 15:00:00;109;0;1;0;1;117;11;117;20;10;2
2020-02-10 15:15:00;103;4;3;2;2;109;16;109;8;9;2
2020-02-10 15:30:00;105;1;0;0;2;125;20;124;11;5;14
2020-02-10 15:45:00;111;6;1;1;1;128;22;128;19;10;8
2020-02-10 16:00:00;88;4;2;0;0;153;16;153;24;8;7
2020-02-10 16:15:00;103;1;0;0;0;149;12;149;11;9;0
2020-02-10 16:30:00;90;4;2;0;0;138;9;137;7;4;1
2020-02-10 16:45:00;
2020-02-10 17:00:00;
2020-02-10 17:15:00;3;0;0;0;0;14;3;13;1;1;0
2020-02-10 17:30:00;82;2;2;0;0;135;11;135;6;4;2
2020-02-10 17:45:00;77;2;1;0;0;135;5;135;6;4;0
2020-02-10 18:00:00;75;5;1;0;0;143;5;142;5;3;0
2020-02-10 18:15:00;64;2;2;0;0;99;10;98;3;4;0
2020-02-10 18:30:00;54;2;3;0;0;88;5;88;4;4;0
2020-02-10 18:45:00;40;2;0;0;1;69;8;68;5;2;0
2020-02-10 19:00:00;35;5;3;0;0;79;3;78;2;0;0
2020-02-10 19:15:00;38;3;0;0;1;66;4;66;3;0;0
2020-02-10 19:30:00;43;3;1;0;1;50;8;50;0;2;0
2020-02-10 19:45:00;23;3;2;0;1;51;3;51;0;0;1
2020-02-10 20:00:00;25;2;1;0;0;40;4;40;3;0;0
2020-02-10 20:15:00;25;3;2;0;0;41;5;42;0;0;0
2020-02-10 20:30:00;20;0;0;0;1;38;2;37;1;1;0
2020-02-10 20:45:00;31;4;1;0;0;17;2;17;1;4;4
2020-02-10 21:00:00;23;5;1;1;0;39;3;38;0;1;1
2020-02-10 21:15:00;28;4;3;0;0;18;3;18;1;1;0
2020-02-10 21:30:00;19;9;6;0;0;30;5;30;0;0;1
2020-02-10 21:45:00;16;2;1;0;0;35;1;35;0;0;2
2020-02-10 22:00:00;13;1;0;0;0;29;4;29;1;0;3
2020-02-10 22:15:00;25;4;4;0;1;42;3;41;1;1;0
2020-02-10 22:30:00;14;4;1;0;0;31;3;30;2;3;1
2020-02-10 22:45:00;5;5;2;0;0;21;5;21;4;2;1
2020-02-10 23:00:00;15;4;3;0;0;18;4;18;1;0;0
2020-02-10 23:15:00;9;1;2;0;0;15;2;15;0;0;0
2020-02-10 23:30:00;6;3;2;0;1;8;4;8;0;0;4
2020-02-10 23:45:00;5;2;2;0;0;7;0;7;0;0;0
