DATUM;1(DA1);2(DRES);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFGC);9(TAFBA);10(TAFBC);11(TAFBD);12(TARES)
2019-11-16 00:00:00;8;0;7;4;0;0;0;0;0;0;0;0
2019-11-16 00:15:00;19;0;15;10;0;0;0;0;0;0;0;0
2019-11-16 00:30:00;9;0;10;9;0;0;0;0;0;0;0;0
2019-11-16 00:45:00;8;0;15;9;0;0;0;0;0;0;0;0
2019-11-16 01:00:00;10;0;8;8;0;0;0;0;0;0;0;0
2019-11-16 01:15:00;7;0;5;2;0;0;0;0;0;0;0;0
2019-11-16 01:30:00;12;0;6;5;0;0;0;0;0;0;0;0
2019-11-16 01:45:00;11;0;7;5;0;0;0;0;0;0;0;0
2019-11-16 02:00:00;2;0;6;2;0;0;0;0;0;0;0;0
2019-11-16 02:15:00;4;0;4;1;0;0;0;0;0;0;0;0
2019-11-16 02:30:00;7;0;6;4;0;0;0;0;0;0;0;0
2019-11-16 02:45:00;9;0;1;3;0;0;0;0;0;0;0;0
2019-11-16 03:00:00;8;0;4;2;0;0;0;0;0;0;0;0
2019-11-16 03:15:00;4;0;6;3;0;0;0;0;0;0;0;0
2019-11-16 03:30:00;8;0;2;2;0;0;0;0;0;0;0;0
2019-11-16 03:45:00;6;0;3;3;0;0;0;0;0;0;0;0
2019-11-16 04:00:00;7;0;4;4;0;0;0;0;0;0;0;0
2019-11-16 04:15:00;4;0;2;3;0;0;0;0;0;0;0;0
2019-11-16 04:30:00;3;0;8;5;0;0;0;0;0;0;0;0
2019-11-16 04:45:00;5;0;2;2;0;0;0;0;0;0;0;0
2019-11-16 05:00:00;5;0;3;2;0;0;0;0;0;0;0;0
2019-11-16 05:15:00;7;0;7;6;0;0;0;0;0;0;0;0
2019-11-16 05:30:00;17;0;18;6;0;0;0;0;0;0;0;0
2019-11-16 05:45:00;23;0;12;5;0;0;0;0;0;0;0;0
2019-11-16 06:00:00;21;0;4;8;0;0;3;0;0;0;0;0
2019-11-16 06:15:00;36;0;13;11;0;0;0;0;0;0;0;0
