DATUM;1(DA1);2(DRES);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFGC);9(TAFBA);10(TAFBC);11(TAFBD);12(TARES)
2019-09-21 00:00:00;5;0;12;5;0;0;0;0;0;0;0;0
2019-09-21 00:15:00;9;0;5;3;0;0;0;0;0;0;0;0
2019-09-21 00:30:00;9;0;14;3;0;0;0;0;0;0;0;0
2019-09-21 00:45:00;9;0;6;4;0;0;2;0;0;0;0;0
2019-09-21 01:00:00;12;0;8;6;0;0;0;0;0;0;0;0
2019-09-21 01:15:00;9;0;4;1;0;0;0;0;0;0;0;0
2019-09-21 01:30:00;6;0;3;2;0;0;0;0;0;0;0;0
2019-09-21 01:45:00;4;0;7;5;0;0;0;0;0;0;0;0
2019-09-21 02:00:00;6;0;5;5;0;0;0;0;0;0;0;0
2019-09-21 02:15:00;6;0;2;2;0;0;0;0;0;0;0;0
2019-09-21 02:30:00;2;0;4;2;0;0;0;0;0;0;0;0
2019-09-21 02:45:00;3;0;7;3;0;0;0;0;0;0;0;0
2019-09-21 03:00:00;3;0;1;0;0;0;0;0;0;0;0;0
2019-09-21 03:15:00;2;0;5;2;0;0;0;0;0;0;0;0
2019-09-21 03:30:00;1;0;3;0;0;0;0;0;0;0;0;0
2019-09-21 03:45:00;2;0;4;1;0;0;0;0;0;0;0;0
2019-09-21 04:00:00;6;0;2;1;0;0;0;0;0;0;0;0
2019-09-21 04:15:00;5;0;0;3;0;0;0;0;0;0;0;0
2019-09-21 04:30:00;4;0;5;4;0;0;0;0;0;0;0;0
2019-09-21 04:45:00;8;0;5;4;0;0;0;0;0;0;0;0
2019-09-21 05:00:00;7;0;15;1;0;0;0;0;0;0;0;0
2019-09-21 05:15:00;9;0;20;4;0;0;0;0;0;0;0;0
2019-09-21 05:30:00;11;0;24;6;0;0;0;0;0;0;0;0
2019-09-21 05:45:00;32;0;10;6;0;0;0;0;0;0;0;0
2019-09-21 06:00:00;31;0;16;5;0;0;0;0;0;0;0;0
2019-09-21 06:15:00;21;0;12;4;0;0;0;0;0;0;0;0
2019-09-21 06:30:00;14;0;19;3;0;0;0;0;0;0;0;0
2019-09-21 06:45:00;13;0;16;5;0;0;0;0;0;0;0;0
2019-09-21 07:00:00;24;0;20;7;0;0;0;0;0;0;0;0
2019-09-21 07:15:00;19;0;26;5;0;0;2;0;0;0;0;0
2019-09-21 07:30:00;27;0;38;8;4;0;0;0;0;0;0;0
2019-09-21 07:45:00;26;0;32;9;0;0;0;0;0;0;0;0
2019-09-21 08:00:00;35;0;33;13;0;0;0;0;0;0;0;0
2019-09-21 08:15:00;37;0;50;10;0;4;0;0;0;0;0;0
2019-09-21 08:30:00;36;0;63;13;2;0;1;0;0;0;0;0
2019-09-21 08:45:00;50;0;44;16;2;0;0;0;0;0;0;0
2019-09-21 09:00:00;48;0;67;20;10;0;0;0;0;0;0;0
2019-09-21 09:15:00;43;0;87;23;1;2;0;1;0;0;0;0
2019-09-21 09:30:00;57;0;74;13;6;3;2;0;0;0;0;0
2019-09-21 09:45:00;70;0;97;22;3;0;9;8;0;0;0;0
2019-09-21 10:00:00;51;0;75;25;8;0;2;0;0;0;0;0
2019-09-21 10:15:00;41;0;90;34;1;0;11;0;0;0;0;0
2019-09-21 10:30:00;58;0;84;34;6;0;5;0;6;0;0;0
2019-09-21 10:45:00;65;0;78;32;6;5;3;0;0;0;0;0
2019-09-21 11:00:00;58;0;88;30;7;0;8;2;0;0;0;0
2019-09-21 11:15:00;65;0;100;34;0;0;2;0;1;0;0;0
2019-09-21 11:30:00;70;0;83;27;3;0;9;0;0;0;0;0
2019-09-21 11:45:00;67;0;89;34;9;0;6;15;0;0;0;0
2019-09-21 12:00:00;65;0;70;31;15;0;6;0;0;0;0;0
2019-09-21 12:15:00;67;0;92;39;0;0;3;0;0;0;0;0
2019-09-21 12:30:00;59;0;79;35;4;0;5;0;0;0;0;0
2019-09-21 12:45:00;89;0;79;32;8;0;1;0;0;0;0;0
2019-09-21 13:00:00;62;0;78;26;0;0;2;1;0;0;0;0
2019-09-21 13:15:00;78;0;78;37;2;0;11;3;0;0;0;0
2019-09-21 13:30:00;58;0;62;25;4;1;12;0;0;0;0;0
2019-09-21 13:45:00;69;0;58;27;15;0;0;0;0;0;0;0
