DATUM;1(DA1);2(DRES);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFGC);9(TAFBA);10(TAFBC);11(TAFBD);12(TARES)
2019-09-18 00:00:00;3;0;4;2;0;0;0;0;0;0;0;0
2019-09-18 00:15:00;4;0;0;2;0;0;0;0;0;0;0;0
2019-09-18 00:30:00;2;0;4;2;0;0;0;0;0;0;0;0
2019-09-18 00:45:00;4;0;4;3;0;0;0;0;0;0;0;0
2019-09-18 01:00:00;2;0;3;4;0;0;0;0;0;0;0;0
2019-09-18 01:15:00;3;0;4;1;0;0;0;0;0;0;0;0
2019-09-18 01:30:00;2;0;3;1;0;0;0;0;0;0;0;0
2019-09-18 01:45:00;2;0;1;2;0;0;0;0;0;0;0;0
2019-09-18 02:00:00;3;0;2;1;0;0;0;0;0;0;0;0
2019-09-18 02:15:00;2;0;3;2;0;0;0;0;0;0;0;0
2019-09-18 02:30:00;0;0;3;1;0;0;0;0;0;0;0;0
2019-09-18 02:45:00;1;0;3;0;0;0;0;0;0;0;0;0
2019-09-18 03:00:00;1;0;3;2;0;0;0;0;0;0;0;0
2019-09-18 03:15:00;0;0;2;0;0;0;0;0;0;0;0;0
2019-09-18 03:30:00;7;0;5;2;0;0;0;0;0;0;0;0
2019-09-18 03:45:00;1;0;0;0;0;0;0;0;0;0;0;0
2019-09-18 04:00:00;1;0;3;2;0;0;0;0;0;0;0;0
2019-09-18 04:15:00;3;0;3;5;0;0;0;0;0;0;0;0
2019-09-18 04:30:00;10;0;9;5;0;0;0;0;0;0;0;0
2019-09-18 04:45:00;10;0;15;5;0;0;0;0;0;0;0;0
2019-09-18 05:00:00;17;0;29;8;0;0;0;0;0;0;0;0
2019-09-18 05:15:00;20;0;41;10;0;0;0;0;0;0;0;0
2019-09-18 05:30:00;38;0;64;10;0;0;3;0;0;0;0;0
2019-09-18 05:45:00;45;0;52;11;0;0;2;0;0;0;0;0
2019-09-18 06:00:00;51;0;43;8;1;0;1;0;0;0;0;0
2019-09-18 06:15:00;57;0;71;13;6;0;2;0;0;0;0;0
2019-09-18 06:30:00;62;0;109;15;0;0;3;11;0;0;0;0
2019-09-18 06:45:00;67;0;97;25;7;1;5;11;0;0;0;0
2019-09-18 07:00:00;67;0;123;18;9;1;6;2;0;0;0;0
2019-09-18 07:15:00;61;0;146;22;20;0;5;4;0;0;0;0
2019-09-18 07:30:00;75;0;195;28;24;0;13;3;0;0;0;0
2019-09-18 07:45:00;90;0;156;36;8;11;15;0;2;0;0;0
2019-09-18 08:00:00;77;0;123;21;7;0;7;1;2;0;0;0
2019-09-18 08:15:00;74;0;130;24;12;0;3;4;0;3;0;0
2019-09-18 08:30:00;68;0;95;18;8;0;3;1;0;0;0;0
2019-09-18 08:45:00;64;0;88;23;17;0;5;0;0;0;0;0
2019-09-18 09:00:00;60;0;88;20;2;0;1;0;0;0;0;0
2019-09-18 09:15:00;61;0;77;27;1;2;5;3;0;0;0;0
2019-09-18 09:30:00;60;0;83;25;3;0;0;4;0;0;0;0
2019-09-18 09:45:00;74;0;70;24;9;1;5;0;0;0;0;0
2019-09-18 10:00:00;53;0;83;30;1;1;0;0;0;0;0;0
2019-09-18 10:15:00;57;0;72;24;1;0;1;0;0;0;0;0
2019-09-18 10:30:00;53;0;75;20;2;0;3;0;0;0;0;0
2019-09-18 10:45:00;66;0;70;24;2;0;5;0;0;0;0;0
2019-09-18 11:00:00;55;0;88;25;7;0;2;0;0;0;0;0
2019-09-18 11:15:00;68;0;78;23;3;1;3;0;0;0;0;0
2019-09-18 11:30:00;70;0;66;21;6;0;3;0;0;0;0;0
2019-09-18 11:45:00;52;0;74;28;4;0;0;0;0;0;0;0
2019-09-18 12:00:00;86;0;81;22;3;1;2;0;0;0;0;0
