DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(DA4);11(DA5);12(DC4);13(DC5);14(DA6);15(DC6);16(TA1FBA);17(TA2FBA);18(TA1FBB);19(TA2FBB);20(TA1FBC);21(TA2FBC);22(TA1FBD);23(TA2FBD)
2019-12-31 00:00:00;14;12;2;4;18;9;0;3;6;1;1;0;0;18;21;0;0;0;0;0;0;0;0
2019-12-31 00:15:00;7;11;2;3;21;15;2;4;7;1;1;1;1;11;25;0;0;0;0;0;0;0;0
2019-12-31 00:30:00;8;6;0;3;16;9;1;1;2;1;1;0;0;8;18;0;0;0;0;0;0;0;0
2019-12-31 00:45:00;15;9;2;1;9;10;2;0;6;0;0;2;1;17;15;0;0;0;0;0;0;0;0
2019-12-31 01:00:00;9;5;1;3;13;6;5;5;6;0;0;0;0;9;16;0;0;0;0;0;0;0;0
2019-12-31 01:15:00;5;7;1;1;8;8;2;1;2;0;0;0;1;6;12;0;0;0;0;0;0;0;0
2019-12-31 01:30:00;10;10;1;1;16;6;0;0;2;1;1;1;0;10;20;0;0;0;0;0;0;0;0
2019-12-31 01:45:00;5;6;0;0;10;7;0;2;2;0;0;0;0;7;12;0;0;0;0;0;0;0;0
2019-12-31 02:00:00;4;9;2;0;6;10;2;1;0;0;0;0;0;6;11;0;0;0;0;0;0;0;0
2019-12-31 02:15:00;6;10;0;1;6;5;0;2;2;0;0;0;0;8;8;0;0;0;0;0;0;0;0
2019-12-31 02:30:00;8;3;3;1;7;8;3;6;2;0;0;2;0;8;11;0;0;0;0;0;0;0;0
2019-12-31 02:45:00;4;8;0;0;6;2;0;0;1;0;0;2;2;7;7;0;0;0;0;0;0;0;0
2019-12-31 03:00:00;9;6;1;1;9;6;1;0;1;0;0;1;1;12;12;0;0;0;0;0;0;0;0
2019-12-31 03:15:00;3;3;2;1;6;6;1;2;3;0;0;0;1;4;9;0;0;0;0;0;0;0;0
2019-12-31 03:30:00;7;5;1;1;4;5;0;1;2;1;1;0;0;9;6;0;0;0;0;0;0;0;0
2019-12-31 03:45:00;5;5;0;1;3;3;1;1;1;0;0;0;0;7;3;0;0;0;0;0;0;0;0
2019-12-31 04:00:00;6;1;1;0;2;3;0;1;1;0;0;0;0;6;4;0;0;0;0;0;0;0;0
2019-12-31 04:15:00;5;5;1;1;7;4;2;1;1;0;0;0;0;6;8;0;0;0;0;0;0;0;0
2019-12-31 04:30:00;5;6;1;2;9;7;0;0;2;1;0;2;0;5;10;0;0;0;0;0;0;0;0
2019-12-31 04:45:00;8;5;0;0;5;4;1;1;1;1;0;1;0;9;7;0;0;0;0;0;0;0;0
2019-12-31 05:00:00;12;10;3;0;14;8;3;3;2;3;2;1;1;12;16;0;0;0;0;0;0;0;0
2019-12-31 05:15:00;15;7;1;2;8;8;0;3;3;1;1;0;0;20;12;0;0;0;0;0;0;0;0
2019-12-31 05:30:00;18;27;0;4;15;14;1;4;6;1;1;1;1;22;24;0;0;0;0;0;0;0;0
