DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(DA4);11(DA5);12(DC4);13(DC5);14(DA6);15(DC6);16(TA1FBA);17(TA2FBA);18(TA1FBB);19(TA2FBB);20(TA1FBC);21(TA2FBC);22(TA1FBD);23(TA2FBD)
2020-12-03 00:00:00;8;6;2;1;3;1;0;2;3;0;1;0;0;8;3;0;0;0;0;0;0;0;0
2020-12-03 00:15:00;10;11;1;1;12;12;1;2;0;2;2;3;3;12;16;0;0;0;0;0;0;0;0
2020-12-03 00:30:00;9;8;0;0;7;5;0;4;3;1;1;0;0;11;8;0;0;0;0;0;0;0;0
2020-12-03 00:45:00;7;7;0;1;3;2;0;3;1;0;0;0;0;8;4;0;0;0;0;0;0;0;0
2020-12-03 01:00:00;6;1;0;0;3;3;0;2;1;0;0;0;0;7;5;0;0;0;0;0;0;0;0
2020-12-03 01:15:00;6;7;0;0;3;4;1;0;2;0;0;0;0;9;6;0;0;0;0;0;0;0;0
2020-12-03 01:30:00;4;4;0;1;4;2;0;1;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0
2020-12-03 01:45:00;5;3;0;1;6;4;0;1;1;2;2;2;2;6;8;0;0;0;0;0;0;0;0
2020-12-03 02:00:00;5;3;2;0;6;2;2;1;0;1;1;0;0;5;8;0;0;0;0;0;0;0;0
2020-12-03 02:15:00;4;4;0;0;6;5;0;1;0;0;0;1;1;5;9;0;0;0;0;0;0;0;0
2020-12-03 02:30:00;3;3;1;0;5;1;1;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0
2020-12-03 02:45:00;8;10;2;0;3;5;1;0;1;1;0;0;0;11;5;0;0;0;0;0;0;0;0
2020-12-03 03:00:00;3;5;1;2;5;4;0;1;0;2;0;1;1;3;5;0;0;0;0;0;0;0;0
2020-12-03 03:15:00;4;4;1;0;2;1;0;1;3;0;0;1;1;5;3;0;0;0;0;0;0;0;0
2020-12-03 03:30:00;2;2;0;0;4;5;1;0;2;1;1;0;0;3;5;0;0;0;0;0;0;0;0
2020-12-03 03:45:00;4;6;1;0;5;4;0;1;0;1;0;1;1;5;6;0;0;0;0;0;0;0;0
2020-12-03 04:00:00;9;4;0;1;5;3;0;1;1;1;2;1;1;10;7;0;0;0;0;0;0;0;0
2020-12-03 04:15:00;15;8;0;1;11;10;0;2;4;0;0;1;1;16;15;0;0;0;0;0;0;0;0
2020-12-03 04:30:00;11;11;2;3;11;6;0;2;5;1;1;0;0;14;13;0;0;0;0;0;0;0;0
2020-12-03 04:45:00;25;16;2;9;17;4;2;6;5;3;2;0;0;30;20;0;0;0;0;0;0;0;0
2020-12-03 05:00:00;43;66;2;2;23;19;3;7;4;6;4;1;1;66;35;0;0;0;0;0;0;0;0
2020-12-03 05:15:00;77;87;3;7;32;24;8;15;12;6;8;3;2;106;42;0;0;0;0;0;0;0;0
2020-12-03 05:30:00;70;90;4;7;39;37;8;11;13;7;7;5;3;94;60;0;0;0;0;0;0;0;0
2020-12-03 05:45:00;64;70;2;14;48;57;4;6;10;9;9;4;6;83;72;0;0;0;0;0;0;0;0
2020-12-03 06:00:00;58;72;7;11;74;74;3;7;9;22;9;15;23;67;115;0;0;0;0;0;0;0;0
2020-12-03 06:15:00;76;103;0;20;64;50;5;23;7;11;36;14;14;105;88;0;0;0;0;0;0;0;0
2020-12-03 06:30:00;99;127;7;17;81;68;7;27;16;14;21;17;18;132;101;3;0;0;0;0;0;0;0
2020-12-03 06:45:00;104;132;2;21;72;67;9;22;21;13;12;13;13;150;98;0;1;0;0;0;0;0;0
2020-12-03 07:00:00;117;139;7;23;82;59;14;39;25;15;19;13;17;140;105;0;0;0;0;0;0;0;0
2020-12-03 07:15:00;170;206;1;42;95;74;6;48;41;48;37;21;21;138;124;0;0;0;0;0;0;0;0
2020-12-03 07:30:00;161;199;9;57;113;123;7;64;39;25;22;23;25;148;126;0;0;0;0;0;0;0;0
2020-12-03 07:45:00;149;173;13;60;130;136;20;39;53;32;33;32;30;147;156;1;3;0;1;0;0;0;0
2020-12-03 08:00:00;122;118;9;33;99;84;14;36;31;27;20;19;19;144;115;0;0;0;0;0;0;0;0
2020-12-03 08:15:00;109;108;6;35;95;77;7;27;27;24;29;24;20;141;129;3;0;0;0;0;0;0;0
2020-12-03 08:30:00;110;89;16;29;90;106;10;24;30;15;61;15;14;120;124;0;2;0;0;0;0;0;0
2020-12-03 08:45:00;104;109;8;21;84;83;13;24;30;12;37;8;21;124;128;0;0;0;0;0;0;0;0
