DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(DA4);11(DA5);12(DC4);13(DC5);14(DA6);15(DC6);16(TA1FBA);17(TA2FBA);18(TA1FBB);19(TA2FBB);20(TA1FBC);21(TA2FBC);22(TA1FBD);23(TA2FBD)
2020-09-13 00:00:00;13;10;0;2;30;19;2;3;0;0;0;0;0;20;39;0;0;0;0;0;0;0;0
2020-09-13 00:15:00;38;20;4;4;29;26;6;3;6;3;3;2;2;43;45;0;0;0;0;0;0;0;0
2020-09-13 00:30:00;28;35;2;3;37;24;0;3;5;0;0;1;1;44;46;0;0;0;0;0;0;0;0
2020-09-13 00:45:00;28;24;3;4;33;23;3;4;5;0;0;1;1;35;43;0;0;0;0;0;0;0;0
2020-09-13 01:00:00;21;21;0;1;32;18;1;3;4;0;0;0;0;27;43;0;0;0;0;0;0;0;0
2020-09-13 01:15:00;16;14;3;2;19;17;5;8;3;0;0;0;0;19;26;0;0;0;0;0;0;0;0
2020-09-13 01:30:00;18;18;2;2;17;6;2;2;3;0;0;0;0;25;19;0;0;0;0;0;0;0;0
2020-09-13 01:45:00;18;12;1;4;19;16;1;0;5;0;0;0;0;24;23;0;0;0;0;0;0;0;0
2020-09-13 02:00:00;14;10;0;2;17;11;5;2;2;0;0;0;0;18;19;0;0;0;0;0;0;0;0
2020-09-13 02:15:00;10;9;4;5;16;7;5;2;4;0;0;0;0;11;18;0;0;0;0;0;0;0;0
2020-09-13 02:30:00;22;13;1;1;13;16;2;3;4;0;1;0;0;21;20;0;0;0;0;0;0;0;0
2020-09-13 02:45:00;11;6;0;0;7;8;1;1;0;0;0;0;0;13;9;0;0;0;0;0;0;0;0
2020-09-13 03:00:00;5;7;6;3;11;7;2;2;4;0;0;0;0;8;12;0;0;0;0;0;0;0;0
2020-09-13 03:15:00;13;10;2;1;6;9;2;0;0;0;0;0;0;15;9;0;0;0;0;0;0;0;0
2020-09-13 03:30:00;4;5;1;3;7;5;1;1;1;0;0;0;0;7;9;0;0;0;0;0;0;0;0
2020-09-13 03:45:00;6;5;0;0;3;2;0;0;0;0;0;0;0;6;4;0;0;0;0;0;0;0;0
2020-09-13 04:00:00;2;7;0;1;4;4;3;0;1;0;0;0;0;4;4;0;0;0;0;0;0;0;0
2020-09-13 04:15:00;5;4;1;1;4;4;0;2;1;0;0;1;1;6;6;0;0;0;0;0;0;0;0
2020-09-13 04:30:00;5;5;0;0;6;7;0;1;0;0;2;0;0;8;9;0;0;0;0;0;0;0;0
2020-09-13 04:45:00;3;10;0;0;7;11;1;3;2;0;0;2;2;3;11;0;0;0;0;0;0;0;0
2020-09-13 05:00:00;9;3;0;2;10;8;1;0;2;1;1;0;0;9;15;0;0;0;0;0;0;0;0
2020-09-13 05:15:00;5;4;0;5;3;6;0;0;0;0;0;2;2;6;6;0;0;0;0;0;0;0;0
2020-09-13 05:30:00;21;14;2;0;9;3;2;6;3;3;2;0;0;24;10;0;0;0;0;0;0;0;0
2020-09-13 05:45:00;9;9;1;3;10;9;1;1;0;1;1;3;3;14;12;0;0;0;0;0;0;0;0
2020-09-13 06:00:00;10;8;1;0;13;4;0;1;1;3;2;0;0;16;14;0;0;0;0;0;0;0;0
2020-09-13 06:15:00;14;5;1;3;12;4;3;1;1;0;0;1;1;15;12;0;0;0;0;0;0;0;0
2020-09-13 06:30:00;8;14;0;3;14;4;1;1;0;1;1;1;1;14;14;0;0;0;0;0;0;0;0
2020-09-13 06:45:00;12;6;1;3;13;9;0;2;3;0;0;1;1;13;16;0;0;0;0;0;0;0;0
2020-09-13 07:00:00;28;9;0;3;15;11;0;6;3;2;3;0;0;31;16;0;0;0;0;0;0;0;0
2020-09-13 07:15:00;16;9;4;2;8;6;1;0;3;0;0;1;1;17;12;0;0;0;0;0;0;0;0
2020-09-13 07:30:00;25;25;2;5;9;10;1;9;1;1;2;0;0;36;12;0;0;0;0;0;0;0;0
2020-09-13 07:45:00;16;17;3;10;16;16;4;4;9;3;3;2;3;23;21;0;0;0;0;0;0;0;0
2020-09-13 08:00:00;29;14;1;6;24;15;1;7;4;3;2;2;2;35;27;0;0;0;0;0;0;0;0
2020-09-13 08:15:00;19;25;2;3;27;15;4;13;8;0;1;0;0;26;34;0;0;0;0;0;0;0;0
2020-09-13 08:30:00;25;26;3;11;28;15;4;11;10;1;1;1;2;36;32;0;0;0;0;0;0;0;0
2020-09-13 08:45:00;46;34;2;10;29;20;5;14;6;4;4;3;3;53;35;0;0;0;0;0;0;0;0
2020-09-13 09:00:00;38;43;3;16;33;31;3;12;9;1;1;2;2;58;46;0;0;0;0;0;0;0;0
2020-09-13 09:15:00;51;62;5;17;42;21;3;14;10;2;3;0;0;78;51;0;0;0;0;0;0;0;0
2020-09-13 09:30:00;66;60;0;17;56;38;6;14;7;5;5;6;5;100;80;0;0;0;0;0;0;0;0
