DATUM;1(TAA);3(DA1);4(DA2);5(DC1);6(DC2);7(DC3);8(DC4)
2020-08-07 00:00:00;5;12;7;13;8;0;0
2020-08-07 00:15:00;0;10;5;11;12;3;3
2020-08-07 00:30:00;0;5;12;8;10;0;0
2020-08-07 00:45:00;0;14;5;14;3;0;0
2020-08-07 01:00:00;0;9;6;6;4;0;0
2020-08-07 01:15:00;0;8;3;6;6;0;0
2020-08-07 01:30:00;0;5;2;10;6;0;0
2020-08-07 01:45:00;0;8;2;8;2;0;0
2020-08-07 02:00:00;0;8;1;7;6;0;0
2020-08-07 02:15:00;2;5;0;2;4;0;0
2020-08-07 02:30:00;0;8;2;4;2;0;0
2020-08-07 02:45:00;0;5;1;5;3;0;0
2020-08-07 03:00:00;0;1;0;1;8;0;0
2020-08-07 03:15:00;0;6;2;4;5;0;0
2020-08-07 03:30:00;0;4;2;5;1;0;0
2020-08-07 03:45:00;0;1;2;2;2;0;0
2020-08-07 04:00:00;0;4;1;13;5;0;0
2020-08-07 04:15:00;0;6;0;13;5;0;0
2020-08-07 04:30:00;1;11;3;13;10;0;0
2020-08-07 04:45:00;0;11;3;15;7;0;0
2020-08-07 05:00:00;0;19;13;13;15;0;0
2020-08-07 05:15:00;0;33;9;24;23;0;0
2020-08-07 05:30:00;3;49;54;37;16;1;1
2020-08-07 05:45:00;1;34;43;17;24;2;2
2020-08-07 06:00:00;3;43;42;37;26;5;5
2020-08-07 06:15:00;6;46;54;31;18;3;2
2020-08-07 06:30:00;1;71;94;51;38;7;8
2020-08-07 06:45:00;6;57;74;48;37;3;3
2020-08-07 07:00:00;5;69;90;50;37;3;3
2020-08-07 07:15:00;22;84;89;59;58;5;5
2020-08-07 07:30:00;9;82;90;60;65;6;6
2020-08-07 07:45:00;10;88;91;81;57;4;4
2020-08-07 08:00:00;7;77;91;71;53;5;5
2020-08-07 08:15:00;5;81;85;71;75;3;3
2020-08-07 08:30:00;7;75;80;83;82;3;3
2020-08-07 08:45:00;24;86;95;90;86;4;4
2020-08-07 09:00:00;11;85;100;105;74;4;4
2020-08-07 09:15:00;15;88;89;86;93;3;3
2020-08-07 09:30:00;17;89;85;104;90;5;5
2020-08-07 09:45:00;14;103;120;103;119;2;2
2020-08-07 10:00:00;7;94;88;112;104;4;3
2020-08-07 10:15:00;11;108;104;119;121;2;3
2020-08-07 10:30:00;9;131;119;108;122;5;5
2020-08-07 10:45:00;9;116;118;105;112;3;3
2020-08-07 11:00:00;13;94;92;121;109;3;3
2020-08-07 11:15:00;19;101;115;106;97;3;3
2020-08-07 11:30:00;13;103;91;110;126;7;7
2020-08-07 11:45:00;7;97;89;117;112;2;2
2020-08-07 12:00:00;3;117;96;135;105;2;2
2020-08-07 12:15:00;5;114;105;130;134;3;3
2020-08-07 12:30:00;16;106;96;133;135;6;6
2020-08-07 12:45:00;11;106;99;118;142;4;4
2020-08-07 13:00:00;24;105;104;122;119;3;3
2020-08-07 13:15:00;12;121;111;110;135;3;3
2020-08-07 13:30:00;14;115;112;122;114;6;6
2020-08-07 13:45:00;12;92;103;108;120;2;2
2020-08-07 14:00:00;11;103;100;118;117;4;4
2020-08-07 14:15:00;2;105;97;120;114;2;2
2020-08-07 14:30:00;19;92;103;103;129;6;6
2020-08-07 14:45:00;20;101;118;127;116;2;2
2020-08-07 15:00:00;31;117;110;119;110;3;4
2020-08-07 15:15:00;6;85;90;105;112;2;2
2020-08-07 15:30:00;32;99;93;101;113;5;5
2020-08-07 15:45:00;4;21;22;29;33;0;0
2020-08-07 16:00:00;16;102;111;98;98;4;4
2020-08-07 16:15:00;0;110;93;113;113;3;3
2020-08-07 16:30:00;71;93;83;114;104;5;5
2020-08-07 16:45:00;36;103;86;125;135;4;4
2020-08-07 17:00:00;14;106;115;107;106;4;4
2020-08-07 17:15:00;14;64;69;77;74;1;1
2020-08-07 17:30:00;
2020-08-07 17:45:00;
2020-08-07 18:00:00;17;54;54;44;42;3;3
2020-08-07 18:15:00;13;85;88;115;106;3;3
2020-08-07 18:30:00;11;80;90;90;79;5;5
2020-08-07 18:45:00;52;83;91;81;78;3;3
2020-08-07 19:00:00;9;82;80;94;76;3;3
2020-08-07 19:15:00;13;57;69;82;84;3;3
2020-08-07 19:30:00;16;70;81;66;55;5;5
2020-08-07 19:45:00;14;75;75;61;65;2;2
2020-08-07 20:00:00;36;73;74;64;49;3;3
2020-08-07 20:15:00;4;61;63;80;67;2;2
2020-08-07 20:30:00;1;56;52;70;46;3;3
2020-08-07 20:45:00;3;46;66;80;49;1;1
2020-08-07 21:00:00;4;53;45;65;55;3;3
2020-08-07 21:15:00;6;49;51;66;47;1;1
2020-08-07 21:30:00;0;38;46;55;44;1;1
2020-08-07 21:45:00;14;41;33;65;43;1;1
2020-08-07 22:00:00;31;35;32;60;34;2;2
2020-08-07 22:15:00;3;31;23;49;41;2;2
2020-08-07 22:30:00;0;28;29;56;30;1;1
2020-08-07 22:45:00;0;20;23;40;39;0;0
2020-08-07 23:00:00;3;26;17;54;32;2;2
2020-08-07 23:15:00;0;28;22;43;20;1;1
2020-08-07 23:30:00;0;23;19;39;27;1;1
2020-08-07 23:45:00;0;23;9;36;14;0;0
