DATUM;1(TAA);3(DA1);4(DA2);5(DC1);6(DC2);7(DC3);8(DC4)
2020-06-04 00:00:00;0;11;13;9;5;0;0
2020-06-04 00:15:00;0;10;6;13;8;3;3
2020-06-04 00:30:00;0;10;6;5;7;0;0
2020-06-04 00:45:00;0;6;6;10;6;0;0
2020-06-04 01:00:00;0;4;2;9;6;0;0
2020-06-04 01:15:00;0;9;3;6;8;0;0
2020-06-04 01:30:00;0;4;3;3;4;0;0
2020-06-04 01:45:00;0;6;1;4;2;0;0
2020-06-04 02:00:00;0;0;3;8;4;0;0
2020-06-04 02:15:00;0;3;1;6;2;0;0
2020-06-04 02:30:00;0;2;0;4;2;0;0
2020-06-04 02:45:00;0;5;2;3;0;0;0
2020-06-04 03:00:00;0;2;1;7;3;0;0
2020-06-04 03:15:00;0;4;2;4;3;0;0
2020-06-04 03:30:00;0;4;1;6;2;0;0
2020-06-04 03:45:00;0;4;22;5;2;0;0
2020-06-04 04:00:00;0;8;6;6;1;0;0
2020-06-04 04:15:00;0;10;2;8;6;0;0
2020-06-04 04:30:00;0;8;4;17;6;0;0
2020-06-04 04:45:00;0;22;11;14;6;0;0
2020-06-04 05:00:00;3;46;45;27;16;0;0
2020-06-04 05:15:00;0;70;65;31;14;0;0
2020-06-04 05:30:00;0;57;60;38;33;1;1
2020-06-04 05:45:00;5;52;67;38;37;2;2
2020-06-04 06:00:00;0;17;12;28;23;2;2
2020-06-04 06:15:00;1;6;2;4;0;1;0
2020-06-04 06:30:00;4;95;123;59;55;6;7
2020-06-04 06:45:00;22;84;95;75;63;2;2
2020-06-04 07:00:00;1;84;88;55;59;5;4
2020-06-04 07:15:00;7;103;112;82;76;5;6
2020-06-04 07:30:00;9;108;124;59;65;7;6
2020-06-04 07:45:00;7;89;128;83;84;3;4
2020-06-04 08:00:00;2;79;91;70;56;6;6
2020-06-04 08:30:00;1;85;110;73;68;3;2
2020-06-04 08:45:00;13;89;86;92;103;4;5
2020-06-04 09:00:00;12;95;83;84;72;4;4
2020-06-04 09:15:00;15;85;80;86;70;3;3
2020-06-04 09:30:00;34;103;101;86;82;4;4
2020-06-04 09:45:00;4;115;99;101;115;3;3
2020-06-04 10:00:00;19;107;98;86;100;3;3
2020-06-04 10:15:00;1;107;96;108;82;4;3
2020-06-04 10:30:00;6;105;108;118;107;4;5
2020-06-04 10:45:00;6;86;114;107;108;2;2
2020-06-04 11:00:00;9;117;104;100;108;3;3
2020-06-04 11:15:00;7;94;92;108;97;4;4
2020-06-04 11:30:00;7;103;94;111;118;6;6
2020-06-04 11:45:00;8;97;108;109;129;2;2
2020-06-04 12:00:00;3;96;107;111;118;2;2
2020-06-04 12:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-04 12:30:00;1;110;102;109;125;4;4
2020-06-04 12:45:00;6;95;100;98;98;4;4
2020-06-04 13:00:00;8;93;110;122;113;3;3
2020-06-04 13:15:00;15;107;114;100;117;3;3
2020-06-04 13:30:00;4;127;135;110;113;6;6
2020-06-04 13:45:00;5;129;125;103;95;2;2
2020-06-04 14:00:00;11;101;115;114;113;4;4
2020-06-04 14:15:00;6;106;127;112;132;2;2
2020-06-04 14:30:00;5;111;131;119;145;6;5
2020-06-04 14:45:00;10;103;120;129;134;2;3
2020-06-04 15:00:00;49;108;105;124;140;5;5
2020-06-04 15:15:00;4;94;108;131;146;2;2
2020-06-04 15:30:00;8;103;105;138;145;5;5
2020-06-04 15:45:00;15;119;93;134;179;4;4
2020-06-04 16:00:00;10;112;109;136;165;3;3
2020-06-04 16:15:00;39;131;113;132;149;3;3
2020-06-04 16:30:00;15;112;118;152;167;3;3
2020-06-04 16:45:00;25;118;115;128;155;6;6
2020-06-04 17:00:00;5;120;97;149;181;3;3
2020-06-04 17:15:00;5;105;100;142;148;3;3
2020-06-04 17:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-04 17:45:00;58;106;129;117;151;3;3
2020-06-04 18:00:00;29;97;102;131;142;4;4
2020-06-04 18:15:00;18;95;95;126;109;3;3
2020-06-04 18:30:00;0;78;105;99;98;4;4
2020-06-04 18:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-04 19:00:00;11;81;74;78;70;3;3
2020-06-04 19:15:00;8;65;75;87;83;3;2
2020-06-04 19:30:00;3;55;65;72;71;4;5
2020-06-04 19:45:00;0;56;31;68;66;3;3
2020-06-04 20:00:00;9;60;59;61;75;3;3
2020-06-04 20:15:00;3;50;28;58;65;2;2
2020-06-04 20:30:00;0;41;45;50;39;3;3
2020-06-04 20:45:00;0;31;44;51;33;1;1
2020-06-04 21:00:00;0;73;78;45;45;3;3
2020-06-04 21:15:00;3;52;59;32;33;1;1
2020-06-04 21:30:00;1;27;29;37;23;1;1
2020-06-04 21:45:00;1;15;22;55;56;1;1
2020-06-04 22:00:00;0;27;28;67;60;2;2
2020-06-04 22:15:00;0;25;17;55;36;2;2
2020-06-04 22:30:00;0;23;23;31;26;2;2
2020-06-04 22:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-04 23:00:00;0;19;14;20;10;2;2
2020-06-04 23:15:00;0;23;11;12;18;0;0
2020-06-04 23:30:00;0;16;17;18;9;1;1
2020-06-04 23:45:00;0;11;6;12;6;0;0
