DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFBA);12(TAFBB);13(TAFBC);14(TAFBD)
2019-11-30 00:00:00;25;19;8;4;7;34;31;15;1;5;0;0;0;0
2019-11-30 00:15:00;32;30;7;9;12;42;37;12;3;3;0;0;0;0
2019-11-30 00:30:00;24;20;6;4;9;23;23;13;7;7;0;0;0;0
2019-11-30 00:45:00;27;18;6;3;7;27;27;4;2;2;0;0;0;0
2019-11-30 01:00:00;17;19;4;6;5;19;21;7;2;3;0;0;0;0
2019-11-30 01:15:00;16;11;4;3;2;25;25;11;5;6;0;0;0;0
2019-11-30 01:30:00;16;10;4;9;5;18;21;9;9;6;0;0;0;0
2019-11-30 01:45:00;17;9;1;1;2;29;31;10;2;2;0;0;0;0
2019-11-30 02:00:00;9;14;4;3;4;20;26;4;1;1;0;0;0;0
2019-11-30 02:15:00;17;8;3;2;2;20;25;8;1;3;0;0;0;0
2019-11-30 02:30:00;9;7;1;1;1;17;17;2;0;0;0;0;0;0
2019-11-30 02:45:00;9;12;3;2;3;9;14;6;0;0;0;0;0;0
2019-11-30 03:00:00;12;9;2;1;1;11;11;4;1;0;0;0;0;0
2019-11-30 03:15:00;7;6;2;2;6;13;16;6;2;2;0;0;0;0
2019-11-30 03:30:00;6;11;3;0;0;10;13;6;0;2;0;0;0;0
2019-11-30 03:45:00;7;6;2;3;1;17;17;2;0;2;0;0;0;0
2019-11-30 04:00:00;6;5;0;1;4;15;13;3;0;1;0;0;0;0
2019-11-30 04:15:00;9;3;0;0;5;15;9;4;0;1;0;0;0;0
2019-11-30 04:30:00;12;4;0;4;3;9;12;4;0;0;0;0;0;0
2019-11-30 04:45:00;11;7;0;1;0;5;9;3;1;2;0;0;0;0
2019-11-30 05:00:00;21;21;0;4;4;12;15;13;0;2;0;0;0;0
2019-11-30 05:15:00;20;13;3;7;5;17;20;8;2;0;0;0;0;0
2019-11-30 05:30:00;23;18;3;4;5;28;25;12;1;3;0;0;0;0
2019-11-30 05:45:00;18;15;1;8;4;47;40;17;5;9;0;0;0;0
2019-11-30 06:00:00;14;12;3;5;3;47;49;21;3;0;0;0;0;0
2019-11-30 06:15:00;30;18;3;10;10;49;46;28;6;5;0;0;0;0
2019-11-30 06:30:00;21;21;2;7;4;31;29;20;2;2;0;0;0;0
2019-11-30 06:45:00;30;21;4;20;12;38;30;20;9;5;0;0;0;0
2019-11-30 07:00:00;20;15;4;15;11;21;26;14;8;4;0;0;0;0
2019-11-30 07:15:00;33;27;5;19;10;31;24;23;13;5;0;0;0;0
