DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(DRES1);12(DRES2);13(DRES3);14(DRES4);15(TARDB);16(TAFGA);17(TAFBA);18(TAFBB);19(TAFBD)
2019-10-20 00:00:00;22;26;17;0;23;22;8;17;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 00:15:00;34;48;25;1;40;39;12;21;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 00:30:00;28;32;24;4;35;33;11;20;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 00:45:00;27;38;19;2;29;32;4;14;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 01:00:00;17;29;17;1;26;32;6;16;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 01:15:00;13;22;14;3;30;26;4;10;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 01:30:00;10;14;12;1;19;28;5;9;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 01:45:00;10;26;15;2;33;34;9;19;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 02:00:00;13;19;9;1;20;28;5;13;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 02:15:00;13;16;10;2;15;19;5;9;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 02:30:00;8;14;11;0;21;22;5;9;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 02:45:00;12;19;13;0;13;16;5;9;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 03:00:00;6;9;6;2;12;16;4;7;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 03:15:00;10;13;4;0;7;10;2;5;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 03:30:00;5;7;5;3;9;11;2;6;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 03:45:00;3;5;6;1;12;15;1;5;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 04:00:00;3;6;6;0;8;16;2;7;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 04:15:00;4;8;6;0;5;5;7;7;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 04:30:00;6;11;5;1;4;7;4;6;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 04:45:00;2;5;7;3;9;15;2;3;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 05:00:00;2;4;7;3;7;14;3;5;2;0;0;0;0;0;0;0;0;0;0
2019-10-20 05:15:00;10;13;11;3;11;16;7;11;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 05:30:00;13;18;9;2;18;22;6;14;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 05:45:00;13;15;13;1;17;30;6;9;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 06:00:00;7;7;6;3;11;18;5;8;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 06:15:00;12;13;10;3;16;23;1;11;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 06:30:00;13;14;5;1;10;11;3;7;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 06:45:00;12;13;17;0;16;28;8;14;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 07:00:00;9;17;16;3;16;20;5;15;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 07:15:00;18;15;15;2;20;27;7;14;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 07:30:00;20;18;15;2;24;34;4;13;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 07:45:00;39;33;12;1;33;42;7;13;4;0;0;0;0;0;0;0;0;0;0
2019-10-20 08:00:00;33;25;15;1;30;44;8;15;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 08:15:00;40;37;30;3;27;52;19;31;1;0;0;0;0;0;0;0;0;0;0
2019-10-20 08:30:00;39;32;24;5;32;40;13;21;0;0;0;0;0;0;0;3;0;0;0
2019-10-20 08:45:00;72;64;32;9;56;65;20;34;1;0;0;0;0;0;0;10;0;0;0
2019-10-20 09:00:00;59;53;30;12;63;67;17;28;0;1;0;0;0;0;0;0;0;0;0
2019-10-20 09:15:00;87;83;39;11;60;66;18;40;0;0;0;0;0;0;0;1;0;0;0
2019-10-20 09:30:00;78;109;75;12;55;79;35;67;0;0;0;0;0;0;0;11;0;0;0
2019-10-20 09:45:00;84;92;71;22;66;92;40;73;1;0;0;0;0;0;0;9;1;0;0
2019-10-20 10:00:00;69;88;62;18;70;92;41;64;0;0;0;0;0;0;0;5;0;0;0
2019-10-20 10:15:00;85;93;54;29;58;89;26;67;2;0;0;0;0;0;0;13;0;0;0
2019-10-20 10:30:00;74;85;60;21;83;106;23;61;2;1;0;0;0;0;0;18;0;0;0
2019-10-20 10:45:00;83;113;79;29;74;95;36;84;1;0;0;0;0;0;0;9;6;0;0
2019-10-20 11:00:00;64;78;61;21;83;113;30;79;2;0;0;0;0;0;0;15;12;0;0
2019-10-20 11:15:00;80;100;69;24;110;128;31;76;0;0;0;0;0;0;0;44;0;0;0
2019-10-20 11:30:00;86;103;70;22;95;123;37;72;6;0;0;0;0;0;0;11;5;0;0
2019-10-20 11:45:00;82;103;78;28;104;119;38;81;3;0;0;0;0;0;0;10;0;0;0
2019-10-20 12:00:00;88;85;52;19;98;116;22;62;0;0;0;0;0;0;0;5;1;0;0
2019-10-20 12:15:00;81;99;67;21;102;115;32;70;0;1;0;0;0;0;0;8;0;0;0
2019-10-20 12:30:00;77;82;64;22;79;97;30;61;3;0;0;0;0;0;0;11;0;0;0
2019-10-20 12:45:00;92;106;70;21;103;121;35;75;0;0;0;0;0;0;0;1;1;2;0
2019-10-20 13:00:00;76;96;64;16;101;93;35;65;3;2;0;0;0;0;0;26;0;0;0
2019-10-20 13:15:00;97;99;67;23;105;111;26;71;0;1;0;0;0;0;0;25;0;0;0
2019-10-20 13:30:00;107;125;72;17;82;85;42;83;0;0;0;0;0;0;0;2;0;0;0
2019-10-20 13:45:00;85;116;69;25;88;106;46;82;0;0;0;0;0;0;0;37;0;0;0
2019-10-20 14:00:00;79;69;47;25;88;78;26;53;0;0;0;0;0;0;0;4;1;0;0
2019-10-20 14:15:00;87;89;50;23;99;84;26;60;0;0;0;0;0;0;0;1;1;0;0
2019-10-20 14:30:00;93;100;53;13;86;87;28;61;0;0;0;0;0;0;0;24;0;0;0
2019-10-20 14:45:00;95;105;79;20;105;90;39;77;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 15:00:00;79;101;64;14;94;82;27;57;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 15:15:00;100;112;69;9;88;86;28;73;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 15:30:00;78;94;70;14;77;67;32;67;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 15:45:00;97;100;57;11;107;88;31;60;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 16:00:00;69;77;55;8;87;87;20;52;2;0;0;0;0;0;0;0;0;0;0
2019-10-20 16:15:00;79;97;53;12;110;84;33;54;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 16:30:00;79;78;53;6;90;78;28;51;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 16:45:00;100;100;56;9;102;83;36;65;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 17:00:00;98;102;64;10;103;92;34;55;0;0;0;0;0;0;0;3;0;0;0
2019-10-20 17:15:00;92;101;71;8;99;104;25;65;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 17:30:00;106;111;68;7;104;90;29;56;0;0;0;0;0;0;0;0;0;2;0
2019-10-20 17:45:00;112;114;74;18;103;85;30;72;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 18:00:00;82;99;73;8;119;92;30;65;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 18:15:00;108;123;73;8;104;89;26;55;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 18:30:00;76;83;63;10;75;72;23;56;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 18:45:00;93;97;74;16;146;119;34;70;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 19:00:00;65;74;50;15;104;79;16;45;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 19:15:00;77;86;54;13;102;89;24;51;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 19:30:00;55;58;44;17;71;69;20;37;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 19:45:00;80;99;49;14;84;74;17;38;0;0;0;0;0;0;0;1;0;0;0
2019-10-20 20:00:00;55;65;45;9;77;75;20;40;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 20:15:00;35;56;35;12;54;46;17;30;0;0;0;0;0;0;0;6;0;0;0
2019-10-20 20:30:00;36;50;28;5;35;27;11;26;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 20:45:00;47;50;29;11;47;43;15;30;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 21:00:00;29;34;23;6;58;53;10;23;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 21:15:00;38;47;26;1;49;40;15;24;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 21:30:00;22;32;12;2;38;36;10;18;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 21:45:00;27;41;24;3;32;41;7;19;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 22:00:00;19;29;19;1;36;39;4;19;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 22:15:00;22;32;18;3;34;34;11;21;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 22:30:00;14;23;13;2;34;30;2;14;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 22:45:00;14;25;18;0;23;23;8;16;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 23:00:00;15;17;7;0;20;22;1;4;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 23:15:00;15;15;11;4;15;16;8;11;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 23:30:00;12;23;13;2;18;22;5;12;0;0;0;0;0;0;0;0;0;0;0
2019-10-20 23:45:00;18;27;13;0;9;8;4;10;0;0;0;0;0;0;0;0;0;0;0
