DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(DRES1);12(DRES2);13(DRES3);14(DRES4);15(TARDB);16(TAFGA);17(TAFBA);18(TAFBB);19(TAFBD)
2020-08-16 00:00:00;15;13;9;0;22;23;3;9;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 00:15:00;12;30;19;1;25;33;8;17;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 00:30:00;16;20;9;0;25;19;3;7;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 00:45:00;12;17;5;0;22;20;2;7;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 01:00:00;10;21;11;1;13;14;5;13;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 01:15:00;11;17;9;2;7;11;4;8;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 01:30:00;16;25;9;0;10;10;4;8;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 01:45:00;14;19;11;0;13;18;4;12;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 02:00:00;12;12;7;0;8;10;4;8;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 02:15:00;6;8;8;0;10;14;7;8;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 02:30:00;7;10;6;0;8;7;3;5;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 02:45:00;5;9;6;0;8;10;3;7;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 03:00:00;7;15;13;0;6;10;11;15;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 03:15:00;3;5;2;0;6;4;1;3;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 03:30:00;6;7;4;1;8;6;1;3;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 03:45:00;3;7;10;0;6;12;5;10;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 04:00:00;1;1;9;2;6;17;2;8;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 04:15:00;2;7;10;0;6;14;6;6;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 04:30:00;5;6;3;0;8;13;3;4;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 04:45:00;7;7;5;1;5;7;5;6;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 05:00:00;8;5;4;0;7;11;0;6;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 05:15:00;7;7;3;0;14;15;2;4;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 05:30:00;7;11;9;2;15;16;3;8;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 05:45:00;8;15;12;1;8;15;6;12;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 06:00:00;13;8;9;2;10;20;5;12;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 06:15:00;12;14;17;1;19;24;11;14;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 06:30:00;19;19;18;2;14;29;5;14;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 06:45:00;12;18;17;0;17;32;10;18;0;0;0;0;0;0;0;0;5;0;0
2020-08-16 07:00:00;12;16;10;3;19;31;4;13;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 07:15:00;25;27;13;4;21;31;7;14;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 07:30:00;25;21;14;3;14;36;8;15;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 07:45:00;35;23;19;9;17;35;8;18;0;0;0;0;0;0;0;2;0;0;0
2020-08-16 08:00:00;37;34;18;6;20;43;6;25;0;0;0;0;0;0;0;1;0;0;0
2020-08-16 08:15:00;34;36;25;4;40;54;12;26;0;0;0;0;0;0;0;0;0;0;0
2020-08-16 08:30:00;49;42;21;10;32;47;8;23;0;0;0;0;0;0;0;0;0;0;0
