DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DB4);6(DB5);7(DC1);8(DD1);9(DD2);10(DD3);11(DD4);12(DD5);13(TAFGA);14(TAFBA);15(TAFBB);16(TAFGC);17(TAFBC);18(TAFBD)
2020-09-14 00:00:00;2;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
2020-09-14 00:15:00;1;1;2;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0
2020-09-14 00:30:00;3;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-09-14 00:45:00;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-09-14 01:00:00;2;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
2020-09-14 01:15:00;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2020-09-14 01:30:00;1;0;1;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0
2020-09-14 01:45:00;3;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
2020-09-14 02:00:00;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-09-14 02:15:00;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-09-14 02:30:00;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-09-14 02:45:00;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-09-14 03:00:00;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-09-14 03:15:00;2;1;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
2020-09-14 03:30:00;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-09-14 03:45:00;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
2020-09-14 04:00:00;3;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-09-14 04:15:00;3;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-09-14 04:30:00;6;1;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0
2020-09-14 04:45:00;13;3;1;0;0;0;6;2;1;0;0;0;0;0;0;0;0;0
2020-09-14 05:00:00;41;3;3;0;0;0;11;5;3;0;0;0;0;0;0;0;0;0
2020-09-14 05:15:00;43;6;5;0;0;0;21;4;0;0;0;0;0;0;0;0;0;0
2020-09-14 05:30:00;53;4;3;0;0;0;26;1;2;0;0;0;0;0;0;0;0;0
2020-09-14 05:45:00;26;12;7;0;0;0;10;4;2;0;0;0;0;0;0;2;7;4
2020-09-14 06:00:00;33;7;8;0;0;0;17;6;4;0;0;0;0;0;0;1;1;0
2020-09-14 06:15:00;65;7;6;0;0;0;22;3;4;0;0;0;0;0;0;0;0;0
2020-09-14 06:30:00;51;15;7;0;0;0;25;11;7;0;0;0;0;0;0;1;1;0
2020-09-14 06:45:00;62;28;12;0;0;0;34;14;4;0;0;0;0;0;0;0;0;0
2020-09-14 07:00:00;115;24;18;0;0;0;39;13;10;0;0;0;2;0;0;1;3;0
2020-09-14 07:15:00;131;29;20;0;0;0;56;17;12;0;0;0;2;0;0;16;63;0
2020-09-14 07:30:00;126;74;31;0;0;0;62;45;21;0;0;0;6;5;4;10;12;0
2020-09-14 07:45:00;92;52;25;0;0;0;50;35;10;0;0;0;0;0;0;0;0;1
2020-09-14 08:00:00;74;38;35;0;0;0;44;14;7;0;0;0;0;0;0;1;0;0
2020-09-14 08:15:00;84;29;32;0;0;0;41;19;7;0;0;0;0;0;0;0;0;0
2020-09-14 08:30:00;86;46;35;0;0;0;30;14;6;0;0;0;0;0;0;0;0;0
2020-09-14 08:45:00;57;31;25;0;0;0;50;19;12;0;0;0;1;1;0;0;0;0
2020-09-14 09:00:00;67;27;24;0;0;0;33;17;8;0;0;0;0;0;0;0;0;0
2020-09-14 09:15:00;73;44;28;0;0;0;47;19;8;0;0;0;0;0;0;0;0;0
2020-09-14 09:30:00;66;42;27;0;0;0;43;19;12;0;0;0;0;0;0;0;0;0
2020-09-14 09:45:00;78;39;26;0;0;0;53;32;8;0;0;0;0;0;0;0;0;0
2020-09-14 10:00:00;68;54;28;0;0;0;57;18;6;0;0;0;0;0;0;1;1;0
2020-09-14 10:15:00;77;37;21;0;0;0;46;24;4;0;0;0;0;0;0;0;0;0
2020-09-14 10:30:00;63;43;30;0;0;0;57;28;8;0;0;0;0;0;0;0;0;0
2020-09-14 10:45:00;75;43;32;0;0;0;53;23;8;0;0;0;0;0;0;2;0;0
2020-09-14 11:00:00;57;34;20;0;0;0;38;38;6;0;0;0;0;0;0;0;0;0
2020-09-14 11:15:00;47;46;32;0;0;0;57;30;15;0;0;0;2;0;0;0;0;0
2020-09-14 11:30:00;66;39;35;0;0;0;67;19;14;0;0;0;1;0;0;0;0;0
2020-09-14 11:45:00;68;44;33;0;0;0;48;24;10;0;0;0;2;5;0;2;0;3
2020-09-14 12:00:00;66;39;22;0;0;0;61;23;13;0;0;0;1;0;0;1;0;0
2020-09-14 12:15:00;54;40;32;0;0;0;57;22;10;0;0;0;1;6;0;2;20;0
2020-09-14 12:30:00;81;28;32;0;0;0;57;18;11;0;0;0;2;0;2;0;0;0
2020-09-14 12:45:00;66;37;16;0;0;0;47;23;17;0;0;0;0;0;0;0;0;0
