DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DD1);31(DB2);32(TARDD);33(TAFGA);34(TAFGC);35(TAFBA);36(TAFBB);37(TAFBC);38(TAFBD)
2019-08-23 00:00:00;9;1;5;5;12;0;2;5;0;1;1;0;0;0;0
2019-08-23 00:15:00;9;1;2;3;10;2;6;6;0;0;1;0;0;0;0
2019-08-23 00:30:00;8;0;1;5;4;1;6;7;0;0;0;0;0;0;0
2019-08-23 00:45:00;4;2;2;5;9;2;2;5;0;0;0;0;0;0;0
2019-08-23 01:00:00;4;5;2;6;12;1;3;11;0;0;0;0;0;0;0
2019-08-23 01:15:00;5;1;2;4;3;3;4;7;0;0;0;0;0;0;0
2019-08-23 01:30:00;5;3;6;2;8;2;3;5;0;0;0;0;0;0;0
2019-08-23 01:45:00;2;1;13;3;10;1;2;11;0;0;0;0;0;0;0
2019-08-23 02:00:00;6;0;2;2;5;0;1;4;0;0;0;0;0;0;0
2019-08-23 02:15:00;4;1;2;3;3;0;2;4;0;0;2;0;0;0;0
2019-08-23 02:30:00;6;1;5;2;2;1;2;5;0;0;0;0;0;0;0
2019-08-23 02:45:00;5;1;0;2;6;0;0;5;0;0;0;0;0;0;0
2019-08-23 03:00:00;4;0;3;2;5;2;1;4;0;0;0;0;0;0;0
2019-08-23 03:15:00;1;0;2;3;4;1;1;2;0;0;0;0;0;0;0
2019-08-23 03:30:00;8;2;3;1;1;1;3;6;0;0;0;0;0;0;0
2019-08-23 03:45:00;9;7;2;6;4;0;2;12;0;0;0;0;0;0;0
2019-08-23 04:00:00;3;0;2;3;4;0;5;3;0;0;0;0;0;0;0
2019-08-23 04:15:00;8;2;4;0;4;0;3;3;0;0;0;0;0;0;0
2019-08-23 04:30:00;8;5;7;6;9;1;2;14;0;0;0;0;0;0;0
2019-08-23 04:45:00;13;1;6;5;7;1;1;7;0;0;0;0;0;0;0
2019-08-23 05:00:00;27;3;2;7;12;1;6;7;0;0;0;0;0;0;0
2019-08-23 05:15:00;28;2;10;9;12;2;9;14;0;1;1;0;0;0;0
2019-08-23 05:30:00;47;18;9;15;7;1;16;29;0;1;1;0;0;1;0
2019-08-23 05:45:00;84;39;17;24;13;1;19;34;0;0;1;0;0;0;0
2019-08-23 06:00:00;44;23;16;39;23;5;24;38;0;0;1;1;0;0;0
2019-08-23 06:15:00;92;25;14;22;34;2;16;36;0;0;0;0;2;0;0
2019-08-23 06:30:00;96;28;20;55;49;5;45;38;0;0;0;0;0;0;0
2019-08-23 06:45:00;117;37;26;65;40;2;53;38;0;3;0;0;0;0;0
2019-08-23 07:00:00;119;30;25;50;27;5;40;26;0;0;3;0;2;0;0
2019-08-23 07:15:00;112;25;39;45;43;5;32;33;0;0;3;0;0;10;0
2019-08-23 07:30:00;120;28;28;35;40;9;33;39;0;0;19;0;0;33;0
2019-08-23 07:45:00;97;27;26;33;36;4;46;37;0;2;3;3;0;0;0
2019-08-23 08:00:00;111;20;27;27;46;3;46;32;0;9;1;0;0;0;0
2019-08-23 08:15:00;94;15;35;28;44;12;34;40;0;1;0;0;0;0;0
2019-08-23 08:30:00;107;11;39;30;46;2;37;31;0;0;4;0;0;3;0
2019-08-23 08:45:00;109;12;37;37;41;9;49;42;0;0;0;0;0;0;0
2019-08-23 09:00:00;112;11;34;33;52;9;45;47;0;0;1;0;0;0;0
2019-08-23 09:15:00;128;9;29;30;54;4;34;29;0;1;2;0;0;1;0
2019-08-23 09:30:00;103;9;44;43;63;7;44;20;0;2;1;0;0;2;0
2019-08-23 09:45:00;83;53;55;41;83;10;57;26;0;2;0;0;0;0;0
2019-08-23 10:00:00;96;13;43;21;73;11;41;41;0;0;0;0;0;0;0
2019-08-23 10:15:00;95;9;39;36;67;12;52;34;0;0;0;0;0;0;0
2019-08-23 10:30:00;139;16;36;34;72;14;44;45;0;1;3;0;0;10;0
2019-08-23 10:45:00;127;17;35;46;70;15;45;39;0;1;0;0;0;0;0
2019-08-23 11:00:00;120;7;52;48;62;11;35;44;0;3;2;0;0;0;0
2019-08-23 11:15:00;80;6;42;47;82;12;63;47;0;4;2;0;0;0;0
2019-08-23 11:30:00;98;7;45;35;70;16;42;54;0;1;0;0;0;0;0
2019-08-23 11:45:00;106;8;50;43;79;11;57;46;0;1;1;3;0;0;0
2019-08-23 12:00:00;97;8;64;36;99;15;47;53;0;0;1;0;0;0;0
2019-08-23 12:15:00;99;8;66;42;101;12;47;50;0;2;2;0;1;0;0
2019-08-23 12:30:00;107;10;52;49;111;7;69;35;0;0;2;0;0;0;0
2019-08-23 12:45:00;93;8;50;41;107;13;41;41;0;0;5;0;13;0;0
2019-08-23 13:00:00;111;10;53;35;100;12;61;41;0;0;4;0;0;0;0
2019-08-23 13:15:00;99;5;54;46;94;10;55;35;0;1;2;0;0;0;9
2019-08-23 13:30:00;118;13;59;39;108;7;51;47;0;2;3;0;2;38;5
2019-08-23 13:45:00;104;11;58;37;113;10;48;47;0;1;1;0;0;0;0
2019-08-23 14:00:00;103;8;53;41;106;10;61;37;0;3;1;1;0;0;0
2019-08-23 14:15:00;102;6;55;32;114;9;73;38;0;0;9;0;1;0;0
2019-08-23 14:30:00;96;9;69;53;138;15;65;31;0;1;3;1;0;1;0
2019-08-23 14:45:00;94;6;57;40;118;11;50;33;0;4;0;0;1;0;0
2019-08-23 15:00:00;100;7;45;40;114;12;54;33;0;1;1;1;8;3;0
2019-08-23 15:15:00;101;5;42;43;132;18;80;38;0;1;1;1;4;0;0
2019-08-23 15:30:00;96;9;55;40;103;13;62;44;0;0;7;0;0;0;0
2019-08-23 15:45:00;98;10;52;37;103;15;46;32;0;5;2;0;0;0;0
2019-08-23 16:00:00;104;4;53;39;101;9;47;38;0;2;3;0;0;0;0
2019-08-23 16:15:00;109;9;70;21;99;8;49;30;0;0;1;0;0;0;0
2019-08-23 16:30:00;112;8;33;34;112;11;48;37;0;0;1;0;14;1;0
2019-08-23 16:45:00;84;7;44;34;91;9;53;31;0;1;2;0;0;0;0
2019-08-23 17:00:00;115;4;40;30;106;16;55;35;0;4;5;0;0;5;0
2019-08-23 17:15:00;99;9;49;26;84;9;51;35;0;4;3;0;0;0;0
2019-08-23 17:30:00;120;5;41;32;96;8;48;41;0;3;2;6;0;0;0
2019-08-23 17:45:00;102;10;40;33;91;13;38;26;0;0;0;0;0;0;0
2019-08-23 18:00:00;101;3;33;22;90;15;53;28;0;1;0;0;0;0;0
2019-08-23 18:15:00;95;4;28;25;83;11;50;33;0;2;0;12;0;0;0
2019-08-23 18:30:00;85;2;34;26;78;13;38;27;0;2;0;0;0;0;0
2019-08-23 18:45:00;99;2;45;20;70;5;32;31;0;1;1;0;0;0;0
2019-08-23 19:00:00;71;4;24;21;87;6;27;29;0;3;0;0;0;0;0
2019-08-23 19:15:00;64;6;28;21;69;9;39;29;0;0;1;0;0;0;0
2019-08-23 19:30:00;60;1;23;19;68;11;22;27;0;0;0;0;0;0;0
2019-08-23 19:45:00;53;3;18;16;83;5;21;20;0;1;0;0;0;0;0
2019-08-23 20:00:00;58;5;23;9;74;7;25;17;0;0;0;0;0;0;0
2019-08-23 20:15:00;44;3;13;9;80;6;29;18;0;0;0;0;0;0;0
2019-08-23 20:30:00;46;2;17;9;55;5;22;17;0;3;1;0;6;0;0
2019-08-23 20:45:00;44;2;14;7;52;5;22;13;0;2;0;0;0;0;0
2019-08-23 21:00:00;49;4;13;11;45;4;23;24;0;2;0;3;0;0;0
2019-08-23 21:15:00;51;4;12;10;49;4;29;25;0;0;0;0;0;0;1
2019-08-23 21:30:00;45;2;11;7;66;1;18;15;0;0;0;0;0;0;0
2019-08-23 21:45:00;36;0;9;6;42;3;19;10;0;0;1;0;0;0;0
2019-08-23 22:00:00;33;2;10;8;42;4;18;13;0;1;1;0;0;0;0
2019-08-23 22:15:00;19;2;6;14;43;1;9;15;0;0;5;0;0;1;0
2019-08-23 22:30:00;26;0;13;2;41;3;14;9;0;1;0;0;0;0;0
2019-08-23 22:45:00;31;1;6;9;32;2;2;13;0;0;0;0;0;0;0
2019-08-23 23:00:00;17;1;8;8;30;1;6;8;0;0;0;0;0;0;0
2019-08-23 23:15:00;15;3;4;6;25;6;10;11;0;0;0;0;0;0;0
2019-08-23 23:30:00;20;2;3;9;28;1;12;11;0;0;0;0;0;0;0
2019-08-23 23:45:00;24;0;9;6;20;3;15;13;0;0;2;0;0;0;0
