DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DD1);31(DB2);32(TARDD);33(TAFGA);34(TAFGC);35(TAFBA);36(TAFBB);37(TAFBC);38(TAFBD)
2019-12-23 00:00:00;8;2;3;5;9;0;1;7;0;0;0;0;0;0;0
2019-12-23 00:15:00;13;2;3;2;17;0;5;3;0;0;0;0;0;0;0
2019-12-23 00:30:00;6;1;1;6;15;2;7;10;0;0;0;0;0;0;0
2019-12-23 00:45:00;8;1;3;5;16;2;3;7;0;0;0;0;0;0;0
2019-12-23 01:00:00;10;0;0;3;9;0;5;3;0;0;0;0;0;0;0
2019-12-23 01:15:00;9;2;6;1;11;0;4;6;0;0;0;0;0;0;0
2019-12-23 01:30:00;5;0;3;2;7;0;2;2;0;0;0;0;0;0;0
2019-12-23 01:45:00;4;2;6;3;10;1;3;10;0;0;1;0;0;0;0
2019-12-23 02:00:00;4;0;7;2;5;0;0;9;0;0;0;0;0;0;0
2019-12-23 02:15:00;4;0;3;3;2;0;0;4;0;0;0;0;0;0;0
2019-12-23 02:30:00;3;2;3;5;2;0;1;5;0;0;0;0;0;0;0
2019-12-23 02:45:00;6;2;1;3;7;0;4;5;0;0;0;0;0;0;0
2019-12-23 03:00:00;4;1;4;1;8;2;2;6;0;0;0;0;0;0;0
2019-12-23 03:15:00;2;1;6;4;5;1;1;6;0;0;1;0;0;0;0
2019-12-23 03:30:00;7;2;2;4;3;0;5;6;0;0;0;0;0;0;0
2019-12-23 03:45:00;6;5;1;6;2;0;2;11;0;0;0;0;0;0;0
2019-12-23 04:00:00;5;1;2;3;5;1;4;9;0;0;0;0;0;0;0
2019-12-23 04:15:00;5;1;2;4;5;1;2;6;0;0;0;0;0;0;0
2019-12-23 04:30:00;11;3;6;4;3;0;2;10;0;0;0;0;0;0;0
2019-12-23 04:45:00;8;1;3;3;9;0;3;3;0;0;0;0;0;0;0
2019-12-23 05:00:00;15;1;5;5;9;0;1;7;0;0;0;0;0;0;0
2019-12-23 05:15:00;32;2;6;4;6;4;9;8;0;0;0;0;0;0;0
2019-12-23 05:30:00;52;9;16;20;9;1;11;28;0;2;1;0;0;7;0
2019-12-23 05:45:00;62;13;14;31;7;3;12;24;0;0;1;0;0;1;0
2019-12-23 06:00:00;43;8;9;19;11;5;7;20;0;0;0;0;0;0;0
2019-12-23 06:15:00;44;18;11;23;14;0;10;28;0;0;0;0;0;0;0
2019-12-23 06:30:00;62;15;14;24;13;2;21;32;0;0;0;0;0;0;0
2019-12-23 06:45:00;87;15;22;40;24;2;32;29;0;0;0;0;0;0;0
2019-12-23 07:00:00;61;8;26;21;23;2;28;30;0;0;0;0;0;0;0
2019-12-23 07:15:00;96;14;18;24;17;0;30;34;0;0;0;0;3;0;0
2019-12-23 07:30:00;78;16;28;22;29;10;19;27;0;0;0;0;0;0;0
2019-12-23 07:45:00;106;18;32;21;30;8;27;27;0;0;0;0;0;0;0
2019-12-23 08:00:00;111;10;19;20;30;5;42;26;0;1;0;0;0;0;0
2019-12-23 08:15:00;111;10;33;21;39;6;31;36;0;0;0;0;0;0;0
2019-12-23 08:30:00;120;6;32;33;35;12;35;23;0;0;0;0;0;0;0
2019-12-23 08:45:00;146;8;36;29;48;7;41;30;0;0;0;0;0;0;0
2019-12-23 09:00:00;134;6;42;25;49;8;45;35;0;0;2;0;0;0;0
2019-12-23 09:15:00;163;9;42;26;46;12;33;33;0;0;2;0;0;0;0
2019-12-23 09:30:00;173;9;62;48;50;12;52;48;0;0;0;1;0;0;0
2019-12-23 09:45:00;186;10;32;51;73;11;66;40;0;0;0;2;0;0;0
2019-12-23 10:00:00;189;10;57;43;80;13;56;47;0;0;1;0;0;0;0
2019-12-23 10:15:00;168;13;40;60;82;17;66;49;0;0;0;0;0;0;0
2019-12-23 10:30:00;162;11;54;67;90;27;94;45;0;0;0;0;0;0;0
2019-12-23 10:45:00;148;9;65;79;88;17;95;53;0;1;1;0;0;0;0
2019-12-23 11:00:00;151;6;47;90;107;23;82;48;0;0;0;0;0;0;0
2019-12-23 11:15:00;149;10;55;70;101;22;78;45;0;0;0;0;0;0;0
2019-12-23 11:30:00;147;5;60;87;90;22;72;53;0;0;0;0;0;0;0
2019-12-23 11:45:00;142;5;50;62;105;23;76;49;0;0;0;0;0;0;0
2019-12-23 12:00:00;129;9;60;60;107;17;86;53;0;0;2;0;0;1;0
2019-12-23 12:15:00;131;9;42;81;89;15;68;46;0;1;1;1;0;0;0
2019-12-23 12:30:00;115;7;49;51;122;17;65;34;0;0;0;0;0;0;0
2019-12-23 12:45:00;138;4;43;76;100;15;74;38;0;0;0;0;0;0;0
2019-12-23 13:00:00;140;10;53;59;106;17;53;49;0;0;1;0;0;0;0
2019-12-23 13:15:00;144;8;49;63;116;14;65;45;0;4;0;0;0;0;0
2019-12-23 13:30:00;143;6;41;47;105;15;50;59;0;0;0;0;0;0;0
2019-12-23 13:45:00;131;2;51;59;115;11;46;45;0;0;0;0;0;0;0
2019-12-23 14:00:00;129;2;47;54;119;11;54;44;0;0;2;0;1;1;0
2019-12-23 14:15:00;139;7;45;54;142;20;65;41;0;0;1;0;0;0;0
2019-12-23 14:30:00;121;9;51;52;127;10;79;38;0;0;1;0;0;1;0
2019-12-23 14:45:00;133;7;38;42;131;13;69;46;0;0;0;0;13;0;0
2019-12-23 15:00:00;144;7;49;51;109;18;64;43;0;0;0;0;0;0;0
2019-12-23 15:15:00;124;6;50;45;126;12;55;31;0;1;2;0;0;0;0
2019-12-23 15:30:00;138;2;74;57;123;13;57;48;0;0;0;3;9;0;0
2019-12-23 15:45:00;121;6;49;54;108;19;71;46;0;5;0;0;0;0;0
2019-12-23 16:00:00;129;5;57;50;122;14;63;47;0;0;1;0;0;0;0
