DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DD1);31(DB2);32(TARDD);33(TAFGA);34(TAFGC);35(TAFBA);36(TAFBB);37(TAFBC);38(TAFBD)
2020-12-05 00:00:00;9;1;2;2;12;1;1;3;0;1;0;0;0;0;0
2020-12-05 00:15:00;7;1;2;4;11;0;8;5;0;0;0;0;0;0;0
2020-12-05 00:30:00;3;1;3;7;10;2;6;9;0;0;0;0;0;0;0
2020-12-05 00:45:00;5;4;4;5;10;0;1;7;0;0;0;0;0;0;0
2020-12-05 01:00:00;6;1;2;0;7;4;5;3;0;0;0;0;0;0;0
2020-12-05 01:15:00;6;2;5;1;8;1;7;6;0;0;0;0;0;0;0
2020-12-05 01:30:00;5;1;4;2;3;0;2;6;0;0;0;0;0;0;0
2020-12-05 01:45:00;6;0;7;1;4;0;1;4;0;0;0;0;0;0;0
2020-12-05 02:00:00;3;0;7;4;9;2;2;9;0;0;0;0;0;0;0
2020-12-05 02:15:00;3;0;1;0;5;2;3;1;0;0;0;0;0;0;0
2020-12-05 02:30:00;0;0;3;2;0;1;2;6;0;0;0;0;0;0;0
2020-12-05 02:45:00;2;0;4;0;1;0;2;4;0;0;0;0;0;0;0
2020-12-05 03:00:00;4;0;4;2;2;1;0;4;0;0;0;0;0;0;0
2020-12-05 03:15:00;3;0;3;0;1;2;3;3;0;0;0;0;0;0;0
2020-12-05 03:30:00;2;1;2;2;5;3;3;2;0;0;0;0;0;0;0
2020-12-05 03:45:00;3;0;1;0;2;1;0;3;0;0;0;0;0;0;0
2020-12-05 04:00:00;3;0;1;2;2;0;0;3;0;0;0;0;0;0;0
2020-12-05 04:15:00;3;0;3;0;4;0;4;3;0;0;0;0;0;0;0
2020-12-05 04:30:00;10;1;2;1;0;0;3;4;0;0;0;0;0;0;0
2020-12-05 04:45:00;6;1;1;0;5;0;1;2;0;0;0;0;0;0;0
2020-12-05 05:00:00;5;0;2;1;3;0;1;5;0;0;0;0;0;0;0
2020-12-05 05:15:00;11;0;3;2;6;1;8;7;0;0;1;0;0;7;0
2020-12-05 05:30:00;27;0;7;1;9;0;7;6;0;0;0;0;0;0;0
2020-12-05 05:45:00;37;0;16;4;6;3;12;8;0;0;0;0;0;0;0
2020-12-05 06:00:00;15;0;6;6;7;3;12;9;0;0;0;0;0;0;0
2020-12-05 06:15:00;14;2;12;4;18;2;10;12;0;0;0;0;0;0;0
2020-12-05 06:30:00;13;3;8;4;17;1;14;13;0;0;0;0;0;0;0
2020-12-05 06:45:00;29;3;9;5;19;0;15;14;0;0;0;0;0;0;0
2020-12-05 07:00:00;16;3;11;4;12;4;16;9;0;0;0;0;0;0;0
2020-12-05 07:15:00;25;2;11;5;15;1;10;15;0;0;0;0;0;0;0
2020-12-05 07:30:00;48;5;7;11;17;4;21;17;0;0;0;0;0;0;0
2020-12-05 07:45:00;52;3;10;11;18;3;11;13;0;0;0;0;0;0;0
2020-12-05 08:00:00;40;5;16;3;20;6;20;13;0;0;0;0;0;0;0
2020-12-05 08:15:00;61;2;13;9;23;2;17;16;0;0;0;0;0;0;0
2020-12-05 08:30:00;91;4;20;13;27;11;34;24;0;0;0;0;1;0;0
2020-12-05 08:45:00;71;7;14;20;29;8;33;24;0;0;0;0;0;0;0
2020-12-05 09:00:00;74;6;29;18;27;8;37;28;0;0;0;0;0;0;0
2020-12-05 09:15:00;117;6;24;8;42;10;27;26;0;0;0;0;0;0;0
2020-12-05 09:30:00;120;6;26;23;46;14;50;33;0;0;1;0;0;1;0
2020-12-05 09:45:00;124;5;35;27;51;13;36;31;0;0;0;0;0;0;0
2020-12-05 10:00:00;123;11;28;35;68;9;44;31;0;0;0;0;0;0;0
2020-12-05 10:15:00;136;11;36;31;61;18;50;36;0;0;0;0;0;0;0
2020-12-05 10:30:00;125;11;26;35;74;17;50;31;0;0;0;0;0;0;0
2020-12-05 10:45:00;114;9;33;34;64;13;54;38;0;0;0;0;0;0;0
2020-12-05 11:00:00;122;11;34;40;83;15;72;34;0;0;1;0;0;0;0
2020-12-05 11:15:00;124;10;41;45;79;19;44;42;0;0;0;0;0;0;0
2020-12-05 11:30:00;116;8;41;43;84;19;59;39;0;0;2;0;0;1;0
2020-12-05 11:45:00;124;7;44;28;91;14;56;31;0;1;0;1;1;1;0
2020-12-05 12:00:00;110;4;35;45;109;23;52;44;0;0;0;0;0;0;0
2020-12-05 12:15:00;112;9;36;41;110;13;46;33;0;0;0;0;0;0;0
2020-12-05 12:30:00;134;4;33;40;101;8;34;34;0;0;0;0;0;0;0
2020-12-05 12:45:00;123;7;41;42;96;18;51;39;0;0;0;0;0;0;0
2020-12-05 13:00:00;139;4;31;52;105;16;32;32;0;0;4;0;0;0;0
2020-12-05 13:15:00;129;12;42;36;117;20;44;39;0;0;0;0;0;0;0
2020-12-05 13:30:00;138;8;30;47;99;20;44;44;0;0;0;0;0;0;0
2020-12-05 13:45:00;124;6;40;40;103;9;47;36;0;1;0;0;1;0;0
2020-12-05 14:00:00;112;4;35;22;113;12;57;25;0;0;0;0;0;0;0
2020-12-05 14:15:00;130;8;35;35;96;15;47;40;0;0;2;0;0;0;0
2020-12-05 14:30:00;119;4;27;35;105;13;55;37;0;0;1;0;0;0;0
2020-12-05 14:45:00;130;9;33;20;90;6;31;30;0;0;1;0;0;3;0
2020-12-05 15:00:00;116;3;35;36;123;18;45;32;0;0;1;0;0;2;0
2020-12-05 15:15:00;136;5;35;32;105;13;43;32;0;0;0;2;0;0;0
