DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(DC3);10(DC4);11(DD1);12(DD2);13(DD3);14(DE1);15(DE2);16(DE3);17(DF1);18(DF2);19(DG1);20(DG2);21(DG3);22(DG4);23(DH1);24(DH2);25(TAFBA);26(TAFGB);27(TAFGB2);28(TAFBB);29(TAFBB2);30(TAFBC);31(TAFGD);32(TAFGD2);33(TAFBD);34(TAFBD2);35(TAFGE)
2019-08-21 00:00:00;0;0;2;1;0;0;1;1;1;1;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 00:15:00;2;2;0;0;1;1;0;0;0;0;0;0;0;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 00:30:00;3;3;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 00:45:00;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 01:00:00;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 01:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 01:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 01:45:00;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 02:00:00;1;1;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 02:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 02:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 03:00:00;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 03:15:00;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 03:30:00;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 03:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 04:00:00;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 04:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 04:30:00;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 04:45:00;1;1;0;0;0;0;0;0;0;0;0;2;1;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 05:00:00;1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 05:15:00;1;1;0;2;1;1;1;0;1;0;1;1;3;1;2;2;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 05:30:00;2;3;2;3;0;0;0;0;0;0;0;3;6;2;4;4;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 05:45:00;1;1;0;3;1;1;0;0;0;0;2;5;11;0;3;3;4;9;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 06:00:00;2;1;8;6;0;0;0;0;0;0;0;7;3;4;3;3;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 06:15:00;6;6;3;6;0;0;0;0;0;0;3;5;5;0;7;7;5;4;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 06:30:00;7;5;6;0;0;0;0;1;0;1;0;14;16;3;1;1;12;17;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 06:45:00;3;4;9;5;1;1;0;0;0;0;4;19;32;9;4;4;19;32;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 07:00:00;1;2;7;1;1;1;0;0;0;0;2;10;17;6;1;1;9;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 07:15:00;10;10;6;3;4;4;0;0;0;0;3;13;19;10;5;5;10;20;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 07:30:00;3;5;8;5;4;4;0;0;0;0;2;9;16;6;6;6;9;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 07:45:00;2;2;11;3;5;5;2;0;2;0;5;12;23;11;3;3;11;22;1;2;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 08:00:00;5;5;6;5;8;8;2;1;2;1;4;11;19;8;8;8;10;22;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 08:15:00;7;7;8;4;9;9;5;0;5;1;10;17;19;11;5;6;22;19;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 08:30:00;7;8;6;3;16;16;3;2;3;3;5;6;16;10;5;5;12;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 08:45:00;6;7;6;4;15;15;3;0;3;0;10;16;14;9;4;4;17;17;3;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 09:00:00;3;3;4;1;10;10;4;4;5;1;3;5;8;6;2;1;9;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 09:15:00;4;4;13;3;6;7;8;2;8;2;11;8;17;13;4;3;12;19;2;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 09:30:00;4;4;11;3;2;2;5;5;5;5;3;14;23;12;6;5;16;25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 09:45:00;12;13;2;6;7;7;5;4;5;4;3;11;18;13;12;9;11;16;3;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 10:00:00;10;10;10;4;2;3;4;2;4;2;1;5;15;21;7;6;7;16;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 10:15:00;4;5;11;3;1;1;6;4;6;4;2;8;10;12;5;6;6;8;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 10:30:00;13;12;12;3;2;2;2;0;2;0;2;5;13;18;4;4;8;12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 10:45:00;8;9;10;5;9;9;6;2;6;2;3;14;8;16;7;6;12;8;3;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-08-21 11:00:00;10;10;17;3;2;3;4;1;4;1;2;6;10;24;3;4;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
