DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(DC3);10(DC4);11(DD1);12(DD2);13(DD3);14(DE1);15(DE2);16(DE3);17(DF1);18(DF2);19(DG1);20(DG2);21(DG3);22(DG4);23(DH1);24(DH2);25(TAFBA);26(TAFGB);27(TAFGB2);28(TAFBB);29(TAFBB2);30(TAFBC);31(TAFGD);32(TAFGD2);33(TAFBD);34(TAFBD2);35(TAFGE)
2020-03-13 00:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 00:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 00:30:00;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 00:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 01:00:00;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 01:15:00;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 01:30:00;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 01:45:00;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 02:00:00;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 02:30:00;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 02:45:00;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 03:00:00;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 03:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 03:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 03:45:00;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 04:00:00;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 04:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 04:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 04:45:00;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 05:00:00;1;1;1;0;0;0;0;0;0;0;0;1;2;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 05:15:00;0;0;1;1;0;0;0;0;0;0;1;1;2;1;1;1;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 05:30:00;0;0;1;2;0;0;0;0;0;0;0;1;3;1;2;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 05:45:00;1;1;2;5;0;0;0;0;0;0;2;7;10;1;5;5;5;9;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 06:00:00;3;4;4;2;1;1;0;0;0;0;0;4;7;4;3;3;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 06:15:00;2;2;4;5;1;1;0;0;0;0;3;6;7;3;4;5;3;6;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 06:30:00;2;3;7;7;1;1;1;1;1;1;0;7;14;5;7;8;7;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 06:45:00;1;2;15;2;1;1;0;0;0;0;3;14;33;4;3;3;8;36;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 07:00:00;7;8;5;2;1;1;1;0;1;0;1;16;18;5;3;3;16;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 07:15:00;7;10;5;6;2;2;0;0;0;0;4;18;24;7;11;9;14;27;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 07:30:00;11;11;6;3;1;1;1;1;1;1;6;16;16;13;5;5;22;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 07:45:00;7;7;12;3;3;3;1;0;1;0;2;23;33;15;5;4;19;35;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 08:00:00;5;6;11;8;5;4;0;1;0;1;1;11;14;16;8;7;12;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 08:15:00;4;5;9;5;1;1;1;1;1;1;7;11;28;12;10;11;12;30;1;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 08:30:00;6;8;16;1;5;5;2;0;2;0;2;11;19;17;4;4;13;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 08:45:00;6;6;9;4;15;15;0;1;0;1;5;19;11;10;6;7;17;13;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 09:00:00;6;7;10;3;4;3;2;1;2;1;1;11;12;15;3;3;12;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 09:15:00;11;13;10;1;5;6;0;2;0;3;4;10;11;17;4;4;9;12;0;2;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 09:30:00;6;6;13;6;12;12;2;0;2;0;3;15;10;12;13;11;16;10;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 09:45:00;9;10;10;7;3;3;0;0;0;0;4;12;18;15;10;10;9;19;2;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 10:00:00;8;9;11;6;2;2;3;0;3;0;0;11;19;14;7;7;12;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 10:15:00;14;15;11;8;1;1;5;0;2;0;3;10;16;20;10;10;9;14;3;3;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 10:30:00;8;7;16;8;1;1;3;2;3;2;3;14;7;18;11;11;14;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 10:45:00;15;15;8;3;2;2;1;0;1;0;6;17;12;17;9;9;14;11;3;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 11:00:00;12;13;10;5;1;1;3;5;3;5;1;14;16;20;11;12;13;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 11:15:00;7;7;17;5;0;0;3;2;3;1;3;13;15;23;8;10;12;13;1;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-13 11:30:00;9;9;20;10;2;2;4;1;4;1;3;10;13;22;9;10;12;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
