DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2);10(DE1);11(DF1);12(TAFGA)
2019-10-12 00:00:00;5;12;14;1;2;2;10;1;1;0;0;0
2019-10-12 00:15:00;2;9;10;3;6;3;19;4;6;0;0;0
2019-10-12 00:30:00;1;3;5;3;2;1;13;0;1;0;0;0
2019-10-12 00:45:00;5;12;17;3;4;5;15;2;3;0;0;0
2019-10-12 01:00:00;1;4;6;6;8;6;15;0;0;0;0;0
2019-10-12 01:15:00;5;9;12;9;5;1;9;3;5;0;0;0
2019-10-12 01:30:00;0;6;6;1;3;3;15;0;0;1;0;0
2019-10-12 01:45:00;2;7;10;0;3;15;31;1;1;0;0;0
2019-10-12 02:00:00;2;9;8;1;4;10;22;0;0;0;0;0
2019-10-12 02:15:00;2;3;4;2;3;3;9;3;3;0;0;0
2019-10-12 02:30:00;1;3;6;4;5;1;5;3;7;0;0;0
2019-10-12 02:45:00;0;2;1;3;1;1;2;0;2;0;0;0
2019-10-12 03:00:00;1;2;2;0;0;2;4;0;0;0;0;0
2019-10-12 03:15:00;0;4;4;0;0;1;7;0;0;0;0;0
2019-10-12 03:30:00;2;3;3;1;0;4;7;0;0;0;0;0
2019-10-12 03:45:00;2;5;7;0;1;4;7;4;6;0;0;0
2019-10-12 04:00:00;0;0;0;0;0;0;1;0;0;0;0;0
2019-10-12 04:15:00;0;2;2;0;1;1;4;0;0;0;0;0
2019-10-12 04:30:00;2;2;4;1;1;1;4;0;0;0;0;0
2019-10-12 04:45:00;3;7;5;0;0;1;3;0;0;0;0;0
2019-10-12 05:00:00;0;0;0;0;0;1;3;0;0;0;0;0
2019-10-12 05:15:00;1;1;2;0;1;0;2;0;0;0;0;0
2019-10-12 05:30:00;13;5;12;0;1;1;3;1;1;0;0;0
2019-10-12 05:45:00;29;28;32;0;1;3;10;1;1;0;0;0
2019-10-12 06:00:00;22;21;30;0;1;6;11;0;0;0;0;0
2019-10-12 06:15:00;7;8;10;0;1;0;2;0;0;0;0;0
2019-10-12 06:30:00;10;6;8;0;0;0;8;0;0;0;0;0
2019-10-12 06:45:00;6;7;8;0;1;1;8;0;0;0;0;0
2019-10-12 07:00:00;4;7;9;0;1;1;5;1;1;0;0;0
2019-10-12 07:15:00;2;9;10;0;0;2;10;0;0;0;0;0
2019-10-12 07:30:00;19;20;24;0;4;7;15;0;0;0;0;0
2019-10-12 07:45:00;9;17;21;0;1;5;10;1;1;0;0;0
2019-10-12 08:00:00;17;17;27;2;1;6;18;1;4;0;0;0
2019-10-12 08:15:00;21;25;32;0;1;10;24;4;4;1;0;0
2019-10-12 08:30:00;29;38;50;0;5;7;22;2;3;0;0;0
2019-10-12 08:45:00;38;49;58;3;3;9;33;6;7;0;0;0
2019-10-12 09:00:00;46;71;80;2;12;6;32;6;7;0;0;0
2019-10-12 09:15:00;59;79;92;6;13;11;36;8;10;0;0;1
2019-10-12 09:30:00;42;83;94;5;12;19;49;7;11;1;0;2
2019-10-12 09:45:00;58;75;76;7;26;19;49;11;255;0;0;0
2019-10-12 10:00:00;71;91;122;17;28;21;69;17;22;1;0;1
2019-10-12 10:15:00;67;83;91;10;13;19;75;13;24;0;0;3
2019-10-12 10:30:00;63;85;96;18;23;26;59;19;26;0;0;11
