DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2);10(DE1);11(DF1);12(TAFGA)
2020-01-11 00:00:00;3;4;7;2;2;2;14;0;1;0;0;0
2020-01-11 00:15:00;1;7;9;8;9;7;24;1;4;0;0;0
2020-01-11 00:30:00;1;7;9;3;16;15;19;0;6;0;0;0
2020-01-11 00:45:00;3;7;9;2;9;5;11;0;0;0;0;0
2020-01-11 01:00:00;3;7;7;2;7;5;9;1;1;0;0;0
2020-01-11 01:15:00;1;3;7;5;7;3;20;0;0;0;0;0
2020-01-11 01:30:00;0;1;2;2;1;1;7;0;0;0;0;0
2020-01-11 01:45:00;1;4;5;1;2;6;9;0;0;0;0;0
2020-01-11 02:00:00;0;1;1;1;3;1;10;1;1;0;0;0
2020-01-11 02:15:00;1;1;2;0;2;4;5;0;2;0;0;0
2020-01-11 02:30:00;1;4;5;1;1;1;7;1;1;0;0;0
2020-01-11 02:45:00;1;5;6;2;2;2;6;255;4;0;0;0
2020-01-11 03:00:00;0;2;2;1;0;4;5;3;0;0;0;0
2020-01-11 03:15:00;0;3;2;2;4;0;2;1;1;0;0;0
2020-01-11 03:30:00;0;2;3;0;1;0;3;0;0;0;0;0
2020-01-11 03:45:00;2;3;4;2;1;1;3;0;0;0;0;0
2020-01-11 04:00:00;1;1;1;0;0;0;1;0;0;0;0;0
2020-01-11 04:15:00;0;0;0;0;0;1;2;0;0;0;0;0
2020-01-11 04:30:00;3;3;3;1;1;1;3;0;0;0;0;0
2020-01-11 04:45:00;0;2;2;0;0;0;3;0;1;0;0;0
2020-01-11 05:00:00;1;1;1;0;1;0;6;0;1;0;0;0
2020-01-11 05:15:00;2;4;5;1;2;1;6;0;0;1;0;0
2020-01-11 05:30:00;10;7;12;1;1;2;6;0;2;0;0;0
2020-01-11 05:45:00;5;9;9;0;0;0;0;0;0;0;0;0
2020-01-11 06:00:00;7;4;5;0;2;2;4;0;0;0;0;0
2020-01-11 06:15:00;2;6;7;1;2;1;5;0;0;0;0;0
2020-01-11 06:30:00;7;9;11;0;0;1;3;0;1;0;0;0
2020-01-11 06:45:00;3;10;9;0;1;2;7;1;1;0;0;0
2020-01-11 07:00:00;4;2;5;0;0;1;6;0;0;0;0;0
2020-01-11 07:15:00;8;6;7;0;3;3;7;0;0;0;0;0
2020-01-11 07:30:00;11;3;6;1;2;1;6;0;0;0;254;0
2020-01-11 07:45:00;13;17;18;3;2;2;7;0;0;0;0;0
2020-01-11 08:00:00;22;12;18;2;4;3;12;0;1;0;0;0
2020-01-11 08:15:00;14;18;26;3;0;2;12;255;3;0;0;0
2020-01-11 08:30:00;28;30;31;2;3;2;13;260;6;1;0;0
2020-01-11 08:45:00;26;31;34;0;0;5;25;0;3;0;0;0
2020-01-11 09:00:00;34;63;63;5;7;8;22;10;6;0;0;1
2020-01-11 09:15:00;44;61;68;1;14;9;28;260;5;0;0;0
2020-01-11 09:30:00;40;70;85;12;15;12;41;263;12;0;0;1
2020-01-11 09:45:00;74;80;79;7;22;9;39;8;25;0;0;1
2020-01-11 10:00:00;69;70;66;11;25;13;41;16;18;0;0;0
2020-01-11 10:15:00;69;107;93;9;24;15;57;19;26;0;0;0
2020-01-11 10:30:00;73;78;65;15;21;30;64;24;38;2;0;2
2020-01-11 10:45:00;84;93;83;22;30;30;56;40;28;1;0;0
2020-01-11 11:00:00;73;72;75;28;25;34;85;30;38;2;0;1
2020-01-11 11:15:00;100;99;94;21;25;37;81;29;41;3;0;8
2020-01-11 11:30:00;78;69;81;30;27;44;81;39;34;0;0;2
2020-01-11 11:45:00;82;80;77;27;28;46;85;14;29;1;0;1
2020-01-11 12:00:00;72;80;80;42;28;49;80;31;27;0;0;4
2020-01-11 12:15:00;78;75;92;28;24;45;84;18;18;0;0;5
2020-01-11 12:30:00;76;66;73;41;24;52;104;14;20;0;0;0
2020-01-11 12:45:00;79;74;75;29;41;42;106;27;28;1;0;1
2020-01-11 13:00:00;68;73;92;37;29;47;91;25;26;1;0;2
2020-01-11 13:15:00;72;83;89;34;23;41;84;44;30;1;0;1
2020-01-11 13:30:00;87;104;100;33;27;47;107;42;28;0;0;0
2020-01-11 13:45:00;87;93;90;35;26;67;112;22;31;0;0;5
2020-01-11 14:00:00;85;83;74;37;35;53;104;14;39;2;0;2
