DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1)
2020-07-03 00:00:00;0;0;0;0;9
2020-07-03 00:15:00;0;0;0;0;11
2020-07-03 00:30:00;0;0;0;0;13
2020-07-03 00:45:00;0;0;0;0;14
2020-07-03 01:00:00;0;0;0;0;7
2020-07-03 01:15:00;0;0;0;0;6
2020-07-03 01:30:00;0;0;0;0;4
2020-07-03 01:45:00;0;0;0;0;7
2020-07-03 02:00:00;0;0;0;0;3
2020-07-03 02:15:00;0;0;0;0;6
2020-07-03 02:30:00;0;0;0;0;5
2020-07-03 02:45:00;0;0;0;0;6
2020-07-03 03:00:00;0;0;0;0;6
2020-07-03 03:15:00;0;0;0;0;6
2020-07-03 03:30:00;0;0;0;0;8
2020-07-03 03:45:00;0;0;0;0;9
2020-07-03 04:00:00;0;0;0;0;4
2020-07-03 04:15:00;0;0;0;0;9
2020-07-03 04:30:00;0;0;0;0;13
2020-07-03 04:45:00;0;0;0;0;46
2020-07-03 05:00:00;0;0;0;0;106
2020-07-03 05:15:00;0;0;0;0;177
2020-07-03 05:30:00;0;0;0;0;169
2020-07-03 05:45:00;0;0;0;0;130
2020-07-03 06:00:00;0;0;0;0;88
2020-07-03 06:15:00;0;0;0;0;101
2020-07-03 06:30:00;0;0;0;0;132
2020-07-03 06:45:00;0;0;0;0;148
2020-07-03 07:00:00;0;0;0;0;139
2020-07-03 07:15:00;0;0;0;0;138
2020-07-03 07:30:00;0;0;0;0;123
2020-07-03 07:45:00;0;0;0;0;125
2020-07-03 08:00:00;0;0;0;0;116
2020-07-03 08:15:00;0;0;0;0;84
2020-07-03 08:30:00;0;0;0;0;82
2020-07-03 08:45:00;0;0;0;0;71
2020-07-03 09:00:00;0;0;0;0;72
2020-07-03 09:15:00;0;0;0;0;70
2020-07-03 09:30:00;0;0;0;0;103
2020-07-03 09:45:00;0;0;0;0;67
2020-07-03 10:00:00;0;0;0;0;76
2020-07-03 10:15:00;0;0;0;0;99
2020-07-03 10:30:00;0;0;0;0;106
2020-07-03 10:45:00;0;0;0;0;136
2020-07-03 11:00:00;0;0;0;0;96
2020-07-03 11:15:00;0;0;0;0;100
2020-07-03 11:30:00;0;0;0;0;97
2020-07-03 11:45:00;0;0;0;0;116
2020-07-03 12:00:00;0;0;0;0;128
2020-07-03 12:15:00;0;0;0;0;134
2020-07-03 12:30:00;0;0;0;0;117
2020-07-03 12:45:00;0;0;0;0;132
2020-07-03 13:00:00;0;0;0;0;118
2020-07-03 13:15:00;0;0;0;0;136
2020-07-03 13:30:00;0;0;0;0;144
2020-07-03 13:45:00;0;0;0;0;157
2020-07-03 14:00:00;0;0;0;0;134
2020-07-03 14:15:00;0;0;0;0;118
2020-07-03 14:30:00;0;0;0;0;106
2020-07-03 14:45:00;0;0;0;0;112
2020-07-03 15:00:00;0;0;0;0;127
2020-07-03 15:15:00;0;0;0;0;100
2020-07-03 15:30:00;0;0;0;0;117
2020-07-03 15:45:00;0;0;0;0;134
2020-07-03 16:00:00;0;0;0;0;124
2020-07-03 16:15:00;0;0;0;0;90
2020-07-03 16:30:00;0;0;0;0;121
2020-07-03 16:45:00;0;0;0;0;106
2020-07-03 17:00:00;0;0;0;0;103
2020-07-03 17:15:00;0;0;0;0;118
2020-07-03 17:30:00;0;0;0;0;89
2020-07-03 17:45:00;0;0;0;0;103
2020-07-03 18:00:00;0;0;0;0;132
2020-07-03 18:15:00;0;0;0;0;88
2020-07-03 18:30:00;0;0;0;0;82
2020-07-03 18:45:00;0;0;0;0;85
2020-07-03 19:00:00;0;0;0;0;82
2020-07-03 19:15:00;0;0;0;0;67
2020-07-03 19:30:00;0;0;0;0;71
2020-07-03 19:45:00;0;0;0;0;71
2020-07-03 20:00:00;0;0;0;0;93
2020-07-03 20:15:00;0;0;0;0;56
2020-07-03 20:30:00;0;0;0;0;60
2020-07-03 20:45:00;0;0;0;0;47
2020-07-03 21:00:00;0;0;0;0;80
2020-07-03 21:15:00;0;0;0;0;98
2020-07-03 21:30:00;0;0;0;0;90
2020-07-03 21:45:00;0;0;0;0;43
2020-07-03 22:00:00;0;0;0;0;30
2020-07-03 22:15:00;0;0;0;0;30
2020-07-03 22:30:00;0;0;0;0;37
2020-07-03 22:45:00;0;0;0;0;33
2020-07-03 23:00:00;0;0;0;0;26
2020-07-03 23:15:00;0;0;0;0;26
2020-07-03 23:30:00;0;0;0;0;18
2020-07-03 23:45:00;0;0;0;0;21
