DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1)
2020-10-31 00:00:00;7;7;4;8;13
2020-10-31 00:15:00;11;9;0;10;13
2020-10-31 00:30:00;14;16;6;3;16
2020-10-31 00:45:00;6;13;1;4;9
2020-10-31 01:00:00;2;10;1;3;9
2020-10-31 01:15:00;8;11;3;2;6
2020-10-31 01:30:00;5;9;1;7;8
2020-10-31 01:45:00;7;5;5;10;9
2020-10-31 02:00:00;7;12;6;8;11
2020-10-31 02:15:00;10;13;1;1;9
2020-10-31 02:30:00;7;11;1;4;9
2020-10-31 02:45:00;6;9;3;7;7
2020-10-31 03:00:00;3;11;3;4;9
2020-10-31 03:15:00;3;9;3;5;5
2020-10-31 03:30:00;7;17;2;5;10
2020-10-31 03:45:00;4;4;1;4;3
2020-10-31 04:00:00;2;3;1;1;4
2020-10-31 04:15:00;2;10;3;4;9
2020-10-31 04:30:00;3;2;2;5;6
2020-10-31 04:45:00;6;9;2;1;7
2020-10-31 05:00:00;5;5;0;2;14
2020-10-31 05:15:00;6;16;1;6;29
2020-10-31 05:30:00;34;21;8;17;25
2020-10-31 05:45:00;56;15;13;41;18
2020-10-31 06:00:00;65;18;14;37;13
2020-10-31 06:15:00;22;13;8;26;14
2020-10-31 06:30:00;18;10;2;14;20
2020-10-31 06:45:00;8;6;2;6;13
2020-10-31 07:00:00;20;11;2;3;19
2020-10-31 07:15:00;22;13;2;4;16
2020-10-31 07:30:00;18;11;2;7;30
2020-10-31 07:45:00;23;12;3;7;16
2020-10-31 08:00:00;19;12;3;9;21
2020-10-31 08:15:00;36;21;7;9;34
2020-10-31 08:30:00;42;15;3;7;24
2020-10-31 08:45:00;45;13;4;6;28
2020-10-31 09:00:00;63;15;7;12;39
2020-10-31 09:15:00;77;24;6;8;43
2020-10-31 09:30:00;72;22;5;10;52
2020-10-31 09:45:00;93;30;4;11;52
2020-10-31 10:00:00;97;17;4;20;64
2020-10-31 10:15:00;91;18;8;9;70
2020-10-31 10:30:00;97;25;8;10;79
2020-10-31 10:45:00;69;25;7;5;81
2020-10-31 11:00:00;77;22;8;7;92
2020-10-31 11:15:00;83;18;4;11;78
2020-10-31 11:30:00;85;28;12;17;113
2020-10-31 11:45:00;73;21;6;10;88
2020-10-31 12:00:00;77;28;11;12;116
2020-10-31 12:15:00;76;15;7;13;90
2020-10-31 12:30:00;83;27;10;16;103
2020-10-31 12:45:00;75;24;10;6;81
2020-10-31 13:00:00;87;15;6;11;93
2020-10-31 13:15:00;76;15;6;13;105
2020-10-31 13:30:00;71;16;5;11;106
2020-10-31 13:45:00;80;18;9;12;124
2020-10-31 14:00:00;91;18;8;17;112
2020-10-31 14:15:00;85;31;9;9;88
2020-10-31 14:30:00;83;22;9;29;107
2020-10-31 14:45:00;70;23;9;8;90
2020-10-31 15:00:00;84;21;13;12;84
2020-10-31 15:15:00;88;19;6;9;76
2020-10-31 15:30:00;76;23;7;17;100
2020-10-31 15:45:00;63;18;8;8;92
2020-10-31 16:00:00;83;27;16;20;112
2020-10-31 16:15:00;80;16;9;8;81
2020-10-31 16:30:00;85;22;5;11;90
2020-10-31 16:45:00;87;23;6;10;72
2020-10-31 17:00:00;89;27;11;18;100
2020-10-31 17:15:00;57;25;7;14;95
2020-10-31 17:30:00;75;29;3;10;113
2020-10-31 17:45:00;60;26;7;12;81
2020-10-31 18:00:00;63;20;6;12;78
2020-10-31 18:15:00;51;21;6;13;83
2020-10-31 18:30:00;55;17;3;14;82
2020-10-31 18:45:00;50;18;2;10;48
2020-10-31 19:00:00;38;11;1;2;47
2020-10-31 19:15:00;32;9;0;7;54
2020-10-31 19:30:00;41;17;2;11;62
2020-10-31 19:45:00;18;9;4;7;69
2020-10-31 20:00:00;20;11;8;13;66
2020-10-31 20:15:00;25;15;2;5;60
2020-10-31 20:30:00;12;8;2;5;33
2020-10-31 20:45:00;16;17;4;9;38
2020-10-31 21:00:00;19;13;4;6;40
2020-10-31 21:15:00;17;14;3;7;26
2020-10-31 21:30:00;12;6;3;3;26
2020-10-31 21:45:00;10;10;3;9;30
2020-10-31 22:00:00;17;9;1;5;35
2020-10-31 22:15:00;18;10;2;4;33
2020-10-31 22:30:00;13;10;2;8;38
2020-10-31 22:45:00;10;7;0;6;19
2020-10-31 23:00:00;6;6;0;4;15
2020-10-31 23:15:00;11;6;2;5;13
2020-10-31 23:30:00;11;5;2;7;11
2020-10-31 23:45:00;6;8;1;5;14
