DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1)
2020-09-24 00:00:00;10;19;6;10;9
2020-09-24 00:15:00;7;10;0;3;6
2020-09-24 00:30:00;6;13;4;4;10
2020-09-24 00:45:00;9;11;2;5;11
2020-09-24 01:00:00;7;14;4;6;10
2020-09-24 01:15:00;8;18;0;2;9
2020-09-24 01:30:00;4;9;4;4;5
2020-09-24 01:45:00;2;5;1;4;6
2020-09-24 02:00:00;5;14;2;6;6
2020-09-24 02:15:00;4;13;1;7;11
2020-09-24 02:30:00;1;5;2;5;4
2020-09-24 02:45:00;8;20;1;10;6
2020-09-24 03:00:00;5;15;4;4;8
2020-09-24 03:15:00;6;15;1;4;7
2020-09-24 03:30:00;4;16;1;4;9
2020-09-24 03:45:00;3;3;0;1;1
2020-09-24 04:00:00;5;8;3;8;9
2020-09-24 04:15:00;7;17;1;2;12
2020-09-24 04:30:00;4;16;5;7;16
2020-09-24 04:45:00;7;27;4;10;40
2020-09-24 05:00:00;12;20;2;11;112
2020-09-24 05:15:00;17;35;6;16;144
2020-09-24 05:30:00;41;47;12;22;172
2020-09-24 05:45:00;116;48;23;54;128
2020-09-24 06:00:00;108;44;26;49;86
2020-09-24 06:15:00;52;36;5;28;104
2020-09-24 06:30:00;49;46;5;19;130
2020-09-24 06:45:00;69;43;5;14;103
2020-09-24 07:00:00;81;53;8;19;114
2020-09-24 07:15:00;104;51;12;13;126
2020-09-24 07:30:00;97;48;6;13;156
2020-09-24 07:45:00;78;52;11;13;148
2020-09-24 08:00:00;97;48;6;14;110
2020-09-24 08:15:00;79;42;8;19;99
2020-09-24 08:30:00;102;51;14;12;82
2020-09-24 08:45:00;98;52;11;14;81
2020-09-24 09:00:00;105;49;10;14;74
2020-09-24 09:15:00;84;26;7;14;54
2020-09-24 09:30:00;105;42;7;13;73
2020-09-24 09:45:00;94;48;10;18;83
2020-09-24 10:00:00;91;35;4;16;70
2020-09-24 10:15:00;86;35;12;17;89
2020-09-24 10:30:00;94;34;11;10;92
2020-09-24 10:45:00;80;29;10;12;94
2020-09-24 11:00:00;73;33;6;16;104
2020-09-24 11:15:00;90;36;16;14;107
2020-09-24 11:30:00;85;40;10;16;103
2020-09-24 11:45:00;66;33;8;15;105
2020-09-24 12:00:00;95;43;6;22;117
2020-09-24 12:15:00;94;35;11;29;118
2020-09-24 12:30:00;88;43;8;27;97
2020-09-24 12:45:00;64;32;7;19;113
2020-09-24 13:00:00;79;41;16;22;121
2020-09-24 13:15:00;88;40;13;22;147
2020-09-24 13:30:00;93;41;17;19;154
2020-09-24 13:45:00;116;47;20;21;158
2020-09-24 14:00:00;172;52;27;32;98
2020-09-24 14:15:00;207;34;25;63;111
2020-09-24 14:30:00;203;54;30;59;92
2020-09-24 14:45:00;142;56;26;29;96
2020-09-24 15:00:00;157;28;12;37;98
2020-09-24 15:15:00;160;45;12;26;115
2020-09-24 15:30:00;119;38;11;31;119
2020-09-24 15:45:00;125;44;15;24;119
2020-09-24 16:00:00;114;41;11;21;121
2020-09-24 16:15:00;149;29;13;19;106
2020-09-24 16:30:00;141;40;16;29;142
2020-09-24 16:45:00;120;33;19;22;125
2020-09-24 17:00:00;141;31;11;23;127
2020-09-24 17:15:00;121;32;12;25;114
2020-09-24 17:30:00;124;32;8;17;118
2020-09-24 17:45:00;111;30;12;19;131
2020-09-24 18:00:00;110;30;9;16;118
2020-09-24 18:15:00;101;22;9;20;86
2020-09-24 18:30:00;84;25;6;19;82
2020-09-24 18:45:00;90;31;7;14;82
2020-09-24 19:00:00;66;33;6;12;106
2020-09-24 19:15:00;62;27;7;18;60
2020-09-24 19:30:00;47;34;5;9;84
2020-09-24 19:45:00;33;30;4;6;71
2020-09-24 20:00:00;36;22;3;9;76
2020-09-24 20:15:00;36;20;2;8;67
2020-09-24 20:30:00;24;28;6;21;70
2020-09-24 20:45:00;25;28;5;16;77
2020-09-24 21:00:00;29;30;8;14;111
2020-09-24 21:15:00;27;35;13;15;146
2020-09-24 21:30:00;53;36;10;20;90
2020-09-24 21:45:00;103;25;23;36;60
2020-09-24 22:00:00;99;32;20;55;54
2020-09-24 22:15:00;25;19;11;29;24
2020-09-24 22:30:00;14;14;3;10;26
2020-09-24 22:45:00;14;13;6;5;21
2020-09-24 23:00:00;12;17;6;4;23
2020-09-24 23:15:00;14;14;4;5;14
2020-09-24 23:30:00;6;8;7;6;11
2020-09-24 23:45:00;4;13;1;5;21
