DATUM;1(DA2);2(DA3);3(DB1);4(DB2);5(TA1);6(TA2);7(TA3);8(IRA1);9(IRC1);10(IRC2)
2020-07-06 00:00:00;41;2;1;0;3;1;6;0;0;0
2020-07-06 00:15:00;58;0;0;0;2;1;8;0;0;0
2020-07-06 00:30:00;48;3;1;0;3;2;6;0;0;0
2020-07-06 00:45:00;47;0;0;0;2;0;4;0;0;0
2020-07-06 01:00:00;44;0;1;0;2;0;6;0;0;0
2020-07-06 01:15:00;61;3;0;0;1;0;4;0;0;0
2020-07-06 01:30:00;58;2;0;0;1;3;2;0;0;0
2020-07-06 01:45:00;82;0;0;0;1;0;3;0;0;0
2020-07-06 02:00:00;89;0;0;0;1;2;2;0;0;0
2020-07-06 02:15:00;86;3;1;0;2;0;2;0;0;0
2020-07-06 02:30:00;74;0;1;0;0;1;3;0;0;0
2020-07-06 02:45:00;83;1;0;0;1;0;0;0;0;0
2020-07-06 03:00:00;56;0;1;0;1;1;6;0;0;0
2020-07-06 03:15:00;78;2;0;0;1;0;1;0;0;0
2020-07-06 03:30:00;62;2;1;0;0;0;0;0;0;0
2020-07-06 03:45:00;73;2;1;0;2;0;2;0;0;0
2020-07-06 04:00:00;47;2;3;0;0;1;2;0;0;0
2020-07-06 04:15:00;60;3;3;0;2;0;1;0;0;0
2020-07-06 04:30:00;48;4;1;0;0;1;8;0;0;0
2020-07-06 04:45:00;54;7;13;0;2;10;25;0;0;0
2020-07-06 05:00:00;68;12;31;0;1;17;25;0;0;0
2020-07-06 05:15:00;108;53;74;0;4;24;53;4;0;0
2020-07-06 05:30:00;97;61;78;0;5;39;41;1;0;0
2020-07-06 05:45:00;86;32;43;0;9;26;46;3;0;0
2020-07-06 06:00:00;79;20;33;0;10;20;46;0;0;0
2020-07-06 06:15:00;94;46;58;0;8;28;51;0;0;0
2020-07-06 06:30:00;125;60;91;0;11;33;63;0;0;0
2020-07-06 06:45:00;151;45;73;0;11;37;51;0;0;0
2020-07-06 07:00:00;140;44;45;0;17;24;57;0;1;0
2020-07-06 07:15:00;158;48;73;0;10;9;50;8;0;0
2020-07-06 07:30:00;153;52;62;0;13;19;55;0;0;0
2020-07-06 07:45:00;131;47;80;0;18;26;57;0;0;0
2020-07-06 08:00:00;143;38;50;0;10;15;44;4;0;0
2020-07-06 08:15:00;117;35;42;0;21;21;49;0;0;0
2020-07-06 08:30:00;132;32;35;0;12;22;47;0;0;0
2020-07-06 08:45:00;145;33;29;0;16;18;55;0;0;0
2020-07-06 09:00:00;152;25;36;0;21;20;49;0;0;0
2020-07-06 09:15:00;149;15;23;0;15;8;44;0;0;0
2020-07-06 09:30:00;144;29;26;0;15;15;51;0;0;0
2020-07-06 09:45:00;142;22;25;0;15;12;35;0;0;0
