DATUM;1(DA2);2(DA3);3(DB1);4(DB2);5(TA1);6(TA2);7(TA3);8(IRA1);9(IRC1);10(IRC2)
2020-05-24 00:00:00;5;1;2;2;2;0;6;0;0;0
2020-05-24 00:15:00;4;4;5;4;2;1;10;0;0;0
2020-05-24 00:30:00;5;3;3;5;0;5;3;0;0;0
2020-05-24 00:45:00;8;2;2;6;0;2;9;0;0;0
2020-05-24 01:00:00;8;3;2;6;3;4;6;0;0;0
2020-05-24 01:15:00;2;2;3;4;2;0;3;0;0;0
2020-05-24 01:30:00;4;2;1;0;1;1;4;0;0;0
2020-05-24 01:45:00;1;0;0;4;1;3;1;0;0;0
2020-05-24 02:00:00;3;0;1;1;1;0;3;0;0;0
2020-05-24 02:15:00;2;2;1;1;1;2;1;0;0;0
2020-05-24 02:30:00;2;1;0;2;1;1;2;0;0;0
2020-05-24 02:45:00;0;0;1;2;0;1;0;0;0;0
2020-05-24 03:00:00;0;2;0;1;1;2;3;0;0;0
2020-05-24 03:15:00;3;1;0;1;0;0;1;0;0;0
2020-05-24 03:30:00;0;0;0;0;0;0;1;0;0;0
2020-05-24 03:45:00;4;0;0;0;0;0;1;0;0;0
2020-05-24 04:00:00;1;0;2;1;0;0;0;0;0;0
2020-05-24 04:15:00;4;3;2;1;1;0;1;0;0;0
2020-05-24 04:30:00;0;4;1;2;1;0;1;0;0;0
2020-05-24 04:45:00;2;0;1;0;0;0;1;0;0;0
2020-05-24 05:00:00;1;4;5;0;0;0;1;0;0;0
2020-05-24 05:15:00;3;0;0;3;2;0;1;0;0;0
2020-05-24 05:30:00;6;3;2;0;0;0;0;0;0;0
2020-05-24 05:45:00;7;1;5;2;2;0;1;0;0;0
2020-05-24 06:00:00;7;2;1;3;3;0;0;0;0;0
2020-05-24 06:15:00;4;3;0;1;2;0;1;0;0;0
2020-05-24 06:30:00;5;2;0;8;2;0;0;0;0;0
2020-05-24 06:45:00;5;4;1;5;1;0;2;0;0;0
2020-05-24 07:00:00;2;1;2;6;0;0;0;0;0;0
2020-05-24 07:15:00;3;5;3;4;2;0;0;0;0;0
2020-05-24 07:30:00;5;5;2;6;7;0;0;0;0;0
2020-05-24 07:45:00;4;2;1;5;1;1;1;0;0;0
2020-05-24 08:00:00;6;0;2;4;1;0;5;0;0;0
2020-05-24 08:15:00;8;1;2;5;1;0;4;0;0;0
2020-05-24 08:30:00;9;4;2;1;0;0;1;0;0;0
2020-05-24 08:45:00;12;5;4;5;0;0;6;0;0;0
2020-05-24 09:00:00;13;7;5;15;0;0;4;0;0;0
2020-05-24 09:15:00;15;11;13;7;5;0;1;0;0;0
2020-05-24 09:30:00;12;11;7;13;4;0;8;0;0;0
2020-05-24 09:45:00;25;13;6;10;3;0;3;0;0;0
2020-05-24 10:00:00;13;6;5;14;4;0;7;0;0;0
2020-05-24 10:15:00;15;11;8;15;1;0;1;0;0;0
2020-05-24 10:30:00;27;14;6;15;4;0;3;0;0;0
2020-05-24 10:45:00;11;4;7;20;4;0;0;0;0;0
2020-05-24 11:00:00;22;9;5;23;9;0;7;0;0;0
2020-05-24 11:15:00;18;7;10;22;5;0;6;0;0;0
2020-05-24 11:30:00;19;13;11;26;3;0;7;0;0;0
2020-05-24 11:45:00;21;12;13;16;6;0;5;0;0;0
2020-05-24 12:00:00;25;12;7;21;7;0;3;0;0;0
2020-05-24 12:15:00;9;11;6;21;4;0;0;0;0;0
2020-05-24 12:30:00;30;14;3;24;7;0;6;0;0;0
2020-05-24 12:45:00;30;8;3;11;3;2;7;0;0;0
2020-05-24 13:00:00;28;15;13;26;6;0;5;0;0;0
2020-05-24 13:15:00;35;16;13;14;3;3;12;0;0;0
2020-05-24 13:30:00;29;8;13;23;5;3;18;0;0;0
2020-05-24 13:45:00;38;8;11;14;3;2;11;0;0;0
2020-05-24 14:00:00;31;24;18;29;10;0;14;0;0;0
2020-05-24 14:15:00;24;20;14;22;2;1;14;1;0;0
2020-05-24 14:30:00;29;18;12;33;11;0;24;0;0;0
2020-05-24 14:45:00;35;15;11;20;5;1;11;0;0;0
2020-05-24 15:00:00;41;16;9;22;2;0;9;0;0;0
2020-05-24 15:15:00;36;16;13;30;8;0;3;0;0;0
2020-05-24 15:30:00;31;19;15;31;5;0;6;0;0;0
2020-05-24 15:45:00;34;13;14;27;7;0;0;0;0;0
2020-05-24 16:00:00;44;19;7;19;7;0;1;0;0;0
2020-05-24 16:15:00;32;17;8;24;6;0;0;0;0;0
2020-05-24 16:30:00;36;15;15;32;12;0;2;0;0;0
2020-05-24 16:45:00;39;16;21;20;6;0;3;0;0;0
2020-05-24 17:00:00;43;16;14;19;3;0;1;0;0;0
2020-05-24 17:15:00;31;11;14;26;2;0;1;0;0;0
2020-05-24 17:30:00;45;20;13;31;9;0;0;0;0;0
2020-05-24 17:45:00;34;14;15;26;4;0;1;0;0;0
2020-05-24 18:00:00;46;18;19;21;4;0;0;0;0;0
2020-05-24 18:15:00;28;15;13;18;1;0;4;0;0;0
2020-05-24 18:30:00;47;14;13;20;13;0;3;0;0;0
2020-05-24 18:45:00;33;10;9;18;7;0;3;0;0;0
2020-05-24 19:00:00;40;12;16;20;4;0;2;0;0;0
2020-05-24 19:15:00;34;13;7;18;6;0;5;0;0;0
2020-05-24 19:30:00;22;9;8;16;5;0;3;0;0;0
2020-05-24 19:45:00;22;3;11;18;5;0;5;0;0;0
2020-05-24 20:00:00;24;16;17;20;5;0;3;0;0;0
2020-05-24 20:15:00;43;9;8;12;0;0;8;0;0;0
2020-05-24 20:30:00;24;7;8;17;3;0;4;0;0;0
2020-05-24 20:45:00;13;6;6;12;4;2;13;0;0;0
2020-05-24 21:00:00;15;3;11;16;4;0;14;0;0;0
2020-05-24 21:15:00;14;8;2;4;3;4;12;0;0;0
2020-05-24 21:30:00;13;10;9;8;2;5;13;0;0;0
2020-05-24 21:45:00;20;9;9;8;6;2;14;0;0;0
2020-05-24 22:00:00;11;4;7;12;3;4;9;0;0;0
2020-05-24 22:15:00;10;3;2;6;2;5;13;0;0;0
2020-05-24 22:30:00;8;4;6;6;1;3;9;0;0;0
2020-05-24 22:45:00;7;7;1;2;4;3;5;0;0;0
2020-05-24 23:00:00;6;0;0;4;3;0;6;0;0;0
2020-05-24 23:15:00;3;3;0;6;4;1;6;0;0;0
2020-05-24 23:30:00;2;2;5;4;4;1;2;0;0;0
2020-05-24 23:45:00;4;5;4;4;2;0;6;0;0;0
