DATUM;1(DA2);2(DA3);3(DB1);4(DB2);5(TA1);6(TA2);7(TA3);8(IRA1);9(IRC1);10(IRC2)
2020-10-26 00:00:00;1;0;2;0;0;2;1;0;0;0
2020-10-26 00:15:00;0;1;3;6;3;4;2;0;0;0
2020-10-26 00:30:00;3;2;1;2;2;2;3;0;0;0
2020-10-26 00:45:00;2;2;0;2;0;3;1;0;0;0
2020-10-26 01:00:00;4;1;2;2;1;2;2;0;0;0
2020-10-26 01:15:00;3;1;1;0;0;1;0;0;0;0
2020-10-26 01:30:00;0;1;1;2;2;0;0;0;0;0
2020-10-26 01:45:00;1;2;1;1;0;3;1;0;0;0
2020-10-26 02:00:00;0;1;0;0;0;1;3;0;0;0
2020-10-26 02:15:00;1;0;0;1;1;1;0;0;0;0
2020-10-26 02:30:00;0;1;0;0;1;2;1;0;0;0
2020-10-26 02:45:00;0;1;0;1;3;1;0;0;0;0
2020-10-26 03:00:00;0;0;0;2;1;2;1;0;0;0
2020-10-26 03:15:00;4;2;0;1;0;1;0;0;0;0
2020-10-26 03:30:00;1;0;0;2;1;5;1;0;0;0
2020-10-26 03:45:00;4;5;0;1;0;1;0;0;0;0
2020-10-26 04:00:00;2;5;2;0;1;2;1;0;0;0
2020-10-26 04:15:00;3;1;3;1;1;1;2;0;0;0
2020-10-26 04:30:00;5;1;5;5;5;1;0;0;0;0
2020-10-26 04:45:00;8;11;16;4;2;15;8;0;0;0
2020-10-26 05:00:00;20;19;32;13;3;23;23;0;0;0
2020-10-26 05:15:00;33;57;85;40;11;46;42;0;0;0
2020-10-26 05:30:00;66;49;70;47;4;62;58;0;0;2
2020-10-26 05:45:00;59;44;42;61;11;53;41;2;0;1
2020-10-26 06:00:00;51;25;35;55;13;55;32;0;0;1
2020-10-26 06:15:00;49;40;61;41;10;40;35;0;0;1
2020-10-26 06:30:00;54;54;76;61;18;58;45;0;0;1
2020-10-26 06:45:00;90;44;65;49;14;44;53;0;0;1
2020-10-26 07:00:00;94;46;80;51;11;49;109;0;0;2
2020-10-26 07:15:00;114;83;87;59;16;39;64;1;0;4
2020-10-26 07:30:00;137;64;71;64;19;39;61;0;0;1
2020-10-26 07:45:00;118;48;56;102;21;38;92;0;0;2
2020-10-26 08:00:00;103;32;36;56;17;34;59;0;0;0
2020-10-26 08:15:00;98;33;37;49;11;35;53;0;0;1
2020-10-26 08:30:00;94;30;32;54;18;34;56;0;0;2
2020-10-26 08:45:00;116;20;29;41;16;34;40;0;0;0
2020-10-26 09:00:00;101;37;37;32;21;34;49;0;0;2
2020-10-26 09:15:00;88;23;22;31;20;27;26;0;0;1
2020-10-26 09:30:00;108;33;24;41;16;36;60;0;0;1
2020-10-26 09:45:00;100;26;27;33;19;35;57;0;0;0
2020-10-26 10:00:00;96;23;24;40;17;31;47;0;0;1
2020-10-26 10:15:00;100;21;21;36;17;25;59;0;0;1
2020-10-26 10:30:00;80;32;29;44;13;32;54;0;0;2
2020-10-26 10:45:00;92;21;24;43;20;29;55;0;0;1
2020-10-26 11:00:00;57;18;23;38;19;29;67;0;0;1
2020-10-26 11:15:00;94;28;25;47;24;22;67;0;0;1
2020-10-26 11:30:00;65;22;30;58;16;36;71;0;0;2
2020-10-26 11:45:00;70;22;24;57;18;39;61;0;0;0
2020-10-26 12:00:00;88;27;29;55;22;34;73;0;0;1
2020-10-26 12:15:00;53;19;26;58;20;35;54;0;0;0
2020-10-26 12:30:00;61;25;27;49;14;39;68;0;0;1
2020-10-26 12:45:00;76;25;28;64;23;42;52;0;0;0
2020-10-26 13:00:00;80;39;54;63;21;34;73;2;0;0
2020-10-26 13:15:00;92;37;51;91;24;37;67;0;0;0
2020-10-26 13:30:00;96;83;75;78;15;56;126;0;0;1
2020-10-26 13:45:00;113;68;81;85;32;42;64;0;0;0
2020-10-26 14:00:00;182;56;59;149;44;49;59;0;0;1
2020-10-26 14:15:00;162;32;44;178;58;38;62;1;0;1
2020-10-26 14:30:00;161;36;34;115;32;31;62;0;0;1
2020-10-26 14:45:00;139;40;31;80;38;43;55;0;0;0
2020-10-26 15:00:00;139;29;28;94;41;60;54;0;0;1
2020-10-26 15:15:00;133;34;31;142;46;39;46;0;0;0
2020-10-26 15:30:00;122;28;34;117;29;37;44;0;0;1
