DATUM;1(DA1);2(DAL1);3(DAL2);4(DBL1);5(DBL2);6(DBR1);7(DBL3);8(DBL4);9(DCR1);10(DC1);11(TAFGC)
2020-06-01 00:00:00;2;0;0;0;0;0;0;0;0;0;4
2020-06-01 00:15:00;8;2;0;0;0;0;0;0;0;0;6
2020-06-01 00:30:00;4;0;0;0;0;0;0;0;0;0;2
2020-06-01 00:45:00;5;0;0;0;0;0;0;0;0;0;7
2020-06-01 01:00:00;2;0;0;0;0;0;0;0;0;0;2
2020-06-01 01:15:00;7;0;0;0;0;0;0;0;0;0;2
2020-06-01 01:30:00;5;1;0;0;0;0;0;0;0;0;1
2020-06-01 01:45:00;2;0;0;0;0;0;0;0;0;0;4
2020-06-01 02:00:00;1;0;0;0;0;0;0;0;0;0;2
2020-06-01 02:15:00;2;1;0;0;0;0;0;0;0;0;2
2020-06-01 02:30:00;0;0;0;0;0;0;0;0;0;0;3
2020-06-01 02:45:00;1;0;0;0;0;0;0;0;0;0;2
2020-06-01 03:00:00;0;0;0;0;0;0;0;0;0;0;0
2020-06-01 03:15:00;1;0;0;0;0;0;0;0;0;0;4
2020-06-01 03:30:00;0;0;0;0;0;0;0;0;0;0;1
2020-06-01 03:45:00;1;0;0;0;0;0;0;0;0;0;0
2020-06-01 04:00:00;1;0;0;0;0;0;0;0;0;0;1
2020-06-01 04:15:00;0;0;0;0;0;0;0;0;0;0;1
2020-06-01 04:30:00;0;0;0;0;0;0;0;0;0;0;0
2020-06-01 04:45:00;1;0;0;0;0;0;0;0;0;0;0
2020-06-01 05:00:00;1;0;0;0;0;0;0;0;0;0;2
2020-06-01 05:15:00;1;0;1;1;0;1;0;0;0;0;2
2020-06-01 05:30:00;5;0;0;0;0;0;0;0;0;0;3
2020-06-01 05:45:00;2;0;0;0;0;0;0;0;0;0;4
2020-06-01 06:00:00;5;0;0;0;0;0;0;0;0;0;2
2020-06-01 06:15:00;2;0;0;0;0;0;0;0;1;0;2
2020-06-01 06:30:00;6;1;0;0;0;0;0;0;0;0;2
2020-06-01 06:45:00;4;0;0;0;0;0;0;0;0;0;5
2020-06-01 07:00:00;4;0;0;0;1;0;1;1;0;2;3
2020-06-01 07:15:00;5;2;0;0;0;0;0;0;0;0;2
2020-06-01 07:30:00;3;0;0;0;0;0;0;0;0;0;3
2020-06-01 07:45:00;2;0;0;0;0;0;0;0;0;0;3
2020-06-01 08:00:00;1;0;0;0;0;0;0;0;0;1;3
2020-06-01 08:15:00;8;1;0;0;2;0;2;0;0;1;5
2020-06-01 08:30:00;9;0;0;0;0;0;0;0;0;0;4
2020-06-01 08:45:00;5;0;0;0;0;0;0;0;0;0;6
2020-06-01 09:00:00;7;0;0;0;1;0;1;0;0;2;13
2020-06-01 09:15:00;11;0;1;1;2;0;2;0;0;0;10
2020-06-01 09:30:00;7;1;0;0;0;0;0;0;0;1;12
2020-06-01 09:45:00;14;1;0;0;1;0;1;1;0;1;14
2020-06-01 10:00:00;12;3;0;0;1;0;1;0;0;1;15
2020-06-01 10:15:00;11;1;0;0;1;0;0;0;0;0;9
2020-06-01 10:30:00;18;3;0;0;0;0;0;0;0;1;15
2020-06-01 10:45:00;20;0;0;0;1;0;1;0;0;1;9
2020-06-01 11:00:00;14;0;0;0;2;0;2;1;0;1;15
2020-06-01 11:15:00;15;1;0;0;2;0;2;0;2;1;27
2020-06-01 11:30:00;17;2;1;1;1;1;1;1;0;2;17
2020-06-01 11:45:00;22;1;0;0;2;0;2;1;0;1;15
2020-06-01 12:00:00;17;0;0;0;1;1;1;2;0;2;17
2020-06-01 12:15:00;26;3;0;0;1;0;2;0;1;0;21
2020-06-01 12:30:00;19;1;1;1;1;1;1;1;0;1;29
2020-06-01 12:45:00;28;3;0;0;1;1;2;2;1;3;15
2020-06-01 13:00:00;22;1;0;0;0;0;0;0;0;2;26
2020-06-01 13:15:00;29;3;1;1;2;0;2;1;1;0;22
2020-06-01 13:30:00;14;3;0;0;1;0;1;0;0;1;11
2020-06-01 13:45:00;38;3;0;0;2;0;2;1;1;1;21
2020-06-01 14:00:00;18;2;0;0;1;0;1;0;0;2;33
2020-06-01 14:15:00;28;3;0;0;1;0;1;0;0;0;24
2020-06-01 14:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-01 14:45:00;42;6;5;5;2;2;2;1;0;2;19
2020-06-01 15:00:00;26;2;0;0;1;0;1;0;0;1;25
2020-06-01 15:15:00;17;21;0;0;2;0;4;0;4;1;29
2020-06-01 15:30:00;3;19;1;4;0;0;0;0;0;1;16
2020-06-01 15:45:00;18;18;2;3;1;0;1;0;0;1;22
2020-06-01 16:00:00;11;1;1;1;1;1;1;0;0;2;26
2020-06-01 16:15:00;27;1;0;0;3;0;3;0;0;0;21
2020-06-01 16:30:00;13;2;1;1;0;0;1;0;1;1;21
2020-06-01 16:45:00;29;5;0;0;3;1;2;0;0;2;23
2020-06-01 17:00:00;22;4;0;0;1;0;1;0;1;2;21
2020-06-01 17:15:00;34;8;0;0;1;0;1;0;1;1;17
2020-06-01 17:30:00;25;1;1;1;0;1;1;1;1;1;19
2020-06-01 17:45:00;28;1;1;1;1;1;1;0;0;1;23
2020-06-01 18:00:00;29;3;0;0;1;0;1;0;1;2;29
2020-06-01 18:15:00;33;3;0;0;1;0;1;2;1;0;22
2020-06-01 18:30:00;24;2;0;0;0;0;0;0;1;2;19
2020-06-01 18:45:00;26;2;0;0;2;0;2;0;0;1;16
2020-06-01 19:00:00;22;3;0;0;1;0;1;0;0;1;20
2020-06-01 19:15:00;15;1;0;0;1;0;1;0;1;0;19
2020-06-01 19:30:00;20;4;0;0;1;1;1;0;0;3;22
2020-06-01 19:45:00;24;1;0;0;2;0;3;0;1;0;22
2020-06-01 20:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
