DATUM;1(DA1);2(DAL1);3(DAL2);4(DBL1);5(DBL2);6(DBR1);7(DBL3);8(DBL4);9(DCR1);10(DC1);11(TAFGC)
2020-06-11 00:00:00;3;0;0;0;0;0;0;0;0;1;5
2020-06-11 00:15:00;5;1;0;0;0;0;0;0;0;0;11
2020-06-11 00:30:00;5;1;0;0;0;0;0;0;0;0;9
2020-06-11 00:45:00;7;5;0;0;0;0;0;0;0;0;3
2020-06-11 01:00:00;3;0;0;0;0;0;0;0;0;0;6
2020-06-11 01:15:00;4;0;0;0;1;0;1;0;0;0;6
2020-06-11 01:30:00;1;1;0;0;0;0;0;0;0;0;3
2020-06-11 01:45:00;3;1;0;0;0;0;0;0;0;0;5
2020-06-11 02:00:00;2;0;0;0;0;0;0;0;0;0;7
2020-06-11 02:15:00;1;2;0;0;0;0;0;0;0;0;4
2020-06-11 02:30:00;2;0;0;0;0;0;0;0;0;0;1
2020-06-11 02:45:00;4;1;0;0;0;0;0;0;0;0;3
2020-06-11 03:00:00;5;0;0;0;0;0;0;0;0;0;6
2020-06-11 03:15:00;3;2;0;0;0;0;0;0;0;0;5
2020-06-11 03:30:00;1;1;0;0;0;0;0;0;0;0;3
2020-06-11 03:45:00;2;1;0;0;0;0;0;0;1;1;3
2020-06-11 04:00:00;3;1;0;0;0;0;0;0;0;0;2
2020-06-11 04:15:00;4;0;0;0;0;0;0;0;0;0;4
2020-06-11 04:30:00;1;0;0;0;0;0;0;0;0;0;5
2020-06-11 04:45:00;1;1;0;0;0;0;0;0;0;0;5
2020-06-11 05:00:00;4;0;0;0;0;0;0;0;1;1;4
2020-06-11 05:15:00;8;0;0;0;1;0;1;0;0;0;6
2020-06-11 05:30:00;46;10;0;0;7;3;7;3;1;0;7
2020-06-11 05:45:00;72;12;0;0;12;2;12;2;16;0;47
2020-06-11 06:00:00;34;6;0;0;3;1;3;1;10;0;67
2020-06-11 06:15:00;22;3;0;0;4;0;4;0;1;0;31
2020-06-11 06:30:00;6;1;0;0;0;0;0;0;0;0;7
2020-06-11 06:45:00;11;2;0;0;0;0;0;0;0;0;10
