DATUM;1(DA1);2(DAL1);3(DAL2);4(DBL1);5(DBL2);6(DBR1);7(DBL3);8(DBL4);9(DCR1);10(DC1);11(TAFGC)
2020-11-28 00:00:00;4;3;0;0;0;0;0;0;0;0;4
2020-11-28 00:15:00;7;1;0;0;0;0;0;0;0;0;4
2020-11-28 00:30:00;5;2;0;0;1;0;2;0;2;1;7
2020-11-28 00:45:00;6;0;0;0;0;0;0;0;0;0;9
2020-11-28 01:00:00;5;3;0;0;0;0;0;0;0;0;2
2020-11-28 01:15:00;4;4;0;0;0;0;0;0;0;0;7
2020-11-28 01:30:00;3;2;0;0;0;0;0;0;0;0;3
2020-11-28 01:45:00;0;0;0;0;0;0;0;0;0;0;4
2020-11-28 02:00:00;4;2;0;0;0;1;0;1;0;0;4
2020-11-28 02:15:00;4;1;0;0;0;0;0;0;0;0;8
2020-11-28 02:30:00;2;0;0;0;0;0;0;0;0;0;4
2020-11-28 02:45:00;7;2;0;0;0;0;0;0;0;0;3
2020-11-28 03:00:00;6;2;0;0;0;0;0;0;0;0;0
2020-11-28 03:15:00;0;0;0;0;0;0;0;0;0;0;3
2020-11-28 03:30:00;6;0;0;0;0;0;0;0;0;0;2
2020-11-28 03:45:00;0;0;0;0;0;0;0;0;0;0;3
2020-11-28 04:00:00;3;2;0;0;1;0;1;0;1;0;4
2020-11-28 04:15:00;2;0;0;0;0;0;0;0;0;0;4
2020-11-28 04:30:00;2;0;0;0;0;0;0;0;0;0;5
2020-11-28 04:45:00;2;3;0;0;0;0;0;0;0;0;10
2020-11-28 05:00:00;4;0;0;0;0;0;0;0;0;0;10
2020-11-28 05:15:00;12;4;2;2;1;0;1;0;0;0;21
2020-11-28 05:30:00;50;11;3;3;1;0;1;0;2;4;25
2020-11-28 05:45:00;92;29;0;0;10;6;10;6;25;0;47
2020-11-28 06:00:00;48;7;0;0;7;4;7;3;9;1;62
2020-11-28 06:15:00;17;2;0;0;6;0;6;0;2;1;25
2020-11-28 06:30:00;11;2;0;0;0;0;0;0;3;2;21
2020-11-28 06:45:00;13;2;1;1;1;0;2;0;2;2;14
2020-11-28 07:00:00;12;3;0;0;1;0;1;0;0;2;12
2020-11-28 07:15:00;16;2;0;0;1;0;1;0;2;1;11
2020-11-28 07:30:00;14;0;0;0;2;0;2;0;0;1;16
2020-11-28 07:45:00;7;0;0;0;4;0;4;0;0;1;17
2020-11-28 08:00:00;11;1;0;0;2;0;2;0;0;3;14
2020-11-28 08:15:00;18;3;0;0;1;0;1;0;0;0;12
2020-11-28 08:30:00;17;3;0;0;0;0;0;0;0;3;13
2020-11-28 08:45:00;25;5;0;0;2;0;2;0;0;0;14
2020-11-28 09:00:00;38;3;1;1;1;0;1;0;0;2;12
2020-11-28 09:15:00;46;7;0;0;2;0;2;0;1;1;14
2020-11-28 09:30:00;47;3;3;3;1;0;2;1;1;7;28
2020-11-28 09:45:00;56;1;0;0;2;0;2;0;1;0;26
2020-11-28 10:00:00;61;9;1;1;2;0;2;0;2;4;31
2020-11-28 10:15:00;53;6;0;0;2;0;2;0;2;1;38
2020-11-28 10:30:00;64;12;0;0;1;0;1;0;0;3;33
2020-11-28 10:45:00;59;8;0;0;2;0;2;0;1;1;38
2020-11-28 11:00:00;61;5;0;0;2;0;2;0;0;3;43
2020-11-28 11:15:00;55;5;0;0;4;0;4;0;1;2;39
2020-11-28 11:30:00;62;3;0;0;0;0;0;0;0;2;47
2020-11-28 11:45:00;61;6;0;0;2;1;2;1;0;0;40
2020-11-28 12:00:00;66;9;1;1;4;0;4;0;2;2;59
2020-11-28 12:15:00;69;6;0;0;1;0;1;0;1;2;49
2020-11-28 12:30:00;64;4;2;2;4;0;4;0;2;3;56
2020-11-28 12:45:00;64;10;1;1;3;0;3;0;0;1;48
2020-11-28 13:00:00;53;8;1;1;2;2;1;2;0;5;46
2020-11-28 13:15:00;56;4;1;1;3;0;3;0;0;0;51
2020-11-28 13:30:00;52;8;0;1;2;0;2;0;2;2;51
2020-11-28 13:45:00;65;14;0;0;6;0;6;0;3;4;65
2020-11-28 14:00:00;43;8;0;0;2;0;2;0;1;4;51
2020-11-28 14:15:00;74;8;0;0;2;0;2;0;3;0;62
2020-11-28 14:30:00;71;10;1;1;1;0;1;0;4;3;50
2020-11-28 14:45:00;56;7;0;0;6;0;6;0;1;1;55
2020-11-28 15:00:00;67;12;0;0;1;0;1;0;1;4;58
2020-11-28 15:15:00;53;8;0;0;4;1;4;1;0;1;49
2020-11-28 15:30:00;54;8;0;0;0;1;0;1;1;4;49
2020-11-28 15:45:00;38;7;1;1;3;0;3;0;0;1;47
2020-11-28 16:00:00;66;16;0;0;1;0;1;0;0;1;41
2020-11-28 16:15:00;49;4;0;0;3;0;4;0;1;1;61
2020-11-28 16:30:00;60;6;0;0;0;0;0;0;0;1;51
2020-11-28 16:45:00;52;7;1;1;2;0;2;0;0;3;54
2020-11-28 17:00:00;62;8;0;0;2;0;2;0;2;1;54
2020-11-28 17:15:00;50;4;1;1;4;0;4;0;0;0;54
2020-11-28 17:30:00;43;13;0;0;1;0;1;0;0;2;54
2020-11-28 17:45:00;56;10;0;0;3;0;4;0;1;2;52
2020-11-28 18:00:00;34;7;0;0;1;0;1;0;1;3;53
2020-11-28 18:15:00;34;7;0;0;2;0;2;0;0;1;51
2020-11-28 18:30:00;27;4;1;1;1;0;3;0;1;1;55
2020-11-28 18:45:00;25;7;0;0;2;0;3;0;0;1;39
2020-11-28 19:00:00;22;4;0;0;2;0;1;0;0;3;39
2020-11-28 19:15:00;16;1;1;1;3;0;3;0;1;1;43
2020-11-28 19:30:00;17;1;0;0;1;0;1;0;0;1;33
2020-11-28 19:45:00;12;2;1;0;2;0;2;1;0;2;44
2020-11-28 20:00:00;12;1;1;1;1;0;1;0;0;1;33
2020-11-28 20:15:00;20;1;0;0;2;0;2;0;0;0;26
2020-11-28 20:30:00;15;1;0;0;0;0;0;0;0;2;19
2020-11-28 20:45:00;21;0;0;0;1;0;2;0;1;0;16
2020-11-28 21:00:00;7;1;1;1;1;0;1;0;0;1;9
2020-11-28 21:15:00;15;1;1;1;0;0;0;0;0;0;7
2020-11-28 21:30:00;7;1;0;0;1;0;1;0;0;1;6
2020-11-28 21:45:00;10;1;0;0;2;0;2;0;3;0;15
2020-11-28 22:00:00;8;2;0;0;0;0;0;0;0;0;11
2020-11-28 22:15:00;6;1;0;0;0;0;0;0;0;0;2
2020-11-28 22:30:00;9;2;0;0;0;0;0;0;0;0;8
2020-11-28 22:45:00;5;1;1;1;1;0;1;0;1;0;5
2020-11-28 23:00:00;5;1;0;0;0;0;0;0;0;0;2
2020-11-28 23:15:00;4;1;0;0;0;0;0;0;0;0;4
2020-11-28 23:30:00;3;0;0;0;0;1;0;1;0;0;10
2020-11-28 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
