DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(TAAC);22(TARDB);23(TARDD)
2019-11-22 00:00:00;5;1;7;4;2;0;0;0
2019-11-22 00:15:00;4;1;2;9;3;0;0;0
2019-11-22 00:30:00;5;0;1;9;7;0;0;0
2019-11-22 00:45:00;2;0;0;3;1;0;0;0
2019-11-22 01:00:00;1;2;1;4;0;0;0;0
2019-11-22 01:15:00;2;1;1;1;0;0;0;0
2019-11-22 01:30:00;2;0;0;5;0;0;0;0
2019-11-22 01:45:00;2;1;0;2;1;0;0;0
2019-11-22 02:00:00;2;0;0;0;0;0;0;0
2019-11-22 02:15:00;1;0;0;1;0;0;0;0
2019-11-22 02:30:00;1;0;0;1;0;0;0;0
2019-11-22 02:45:00;0;1;1;2;0;0;0;0
2019-11-22 03:00:00;2;1;1;2;0;0;0;0
2019-11-22 03:15:00;1;0;0;0;0;0;0;0
2019-11-22 03:30:00;2;0;0;0;1;0;0;0
2019-11-22 03:45:00;1;1;1;1;1;0;0;0
2019-11-22 04:00:00;7;0;1;0;1;0;0;0
2019-11-22 04:15:00;9;1;1;1;0;0;0;0
2019-11-22 04:30:00;11;1;1;6;0;0;0;0
2019-11-22 04:45:00;3;1;0;2;0;0;0;0
2019-11-22 05:00:00;21;3;1;6;5;0;0;0
2019-11-22 05:15:00;23;6;1;10;0;0;0;0
2019-11-22 05:30:00;64;22;5;32;3;0;0;0
2019-11-22 05:45:00;68;7;5;27;2;0;0;0
2019-11-22 06:00:00;66;9;9;27;3;0;0;0
2019-11-22 06:15:00;77;10;14;30;5;0;0;0
2019-11-22 06:30:00;159;19;11;62;10;10;0;0
2019-11-22 06:45:00;126;16;12;70;14;9;0;0
2019-11-22 07:00:00;173;17;10;68;18;14;0;2
2019-11-22 07:15:00;213;32;26;101;22;68;0;0
2019-11-22 07:30:00;230;21;32;107;47;8;0;0
2019-11-22 07:45:00;150;25;57;119;51;4;0;0
2019-11-22 08:00:00;138;22;31;212;45;7;0;0
2019-11-22 08:15:00;125;31;34;200;30;5;0;0
2019-11-22 08:30:00;135;22;31;190;22;5;0;0
2019-11-22 08:45:00;136;21;45;195;14;0;0;0
2019-11-22 09:00:00;86;13;28;151;19;2;0;0
2019-11-22 09:15:00;104;26;36;156;24;4;0;0
2019-11-22 09:30:00;115;28;31;178;23;2;0;0
2019-11-22 09:45:00;96;11;47;134;18;1;0;0
2019-11-22 10:00:00;83;23;34;153;19;5;0;0
2019-11-22 10:15:00;93;15;34;138;19;1;0;0
2019-11-22 10:30:00;89;23;44;146;22;5;0;0
2019-11-22 10:45:00;97;18;43;152;29;3;0;0
2019-11-22 11:00:00;89;22;45;160;25;1;0;0
2019-11-22 11:15:00;87;15;41;162;16;4;0;1
2019-11-22 11:30:00;102;19;64;184;17;2;0;0
2019-11-22 11:45:00;106;13;71;197;29;5;0;0
2019-11-22 12:00:00;98;25;39;175;25;6;0;0
2019-11-22 12:15:00;106;19;63;191;27;2;0;0
2019-11-22 12:30:00;118;18;53;211;21;6;0;1
2019-11-22 12:45:00;131;16;53;226;25;2;0;0
2019-11-22 13:00:00;134;25;70;230;30;9;0;0
2019-11-22 13:15:00;119;16;69;237;35;0;0;1
