DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(TAAC);22(TARDB);23(TARDD)
2020-08-30 00:00:00;7;1;1;15;2;0;0;0
2020-08-30 00:15:00;5;2;1;17;1;0;0;0
2020-08-30 00:30:00;13;1;2;16;0;0;0;0
2020-08-30 00:45:00;2;0;1;6;1;0;0;0
2020-08-30 01:00:00;14;4;2;16;1;0;0;0
2020-08-30 01:15:00;14;1;1;9;2;0;0;0
2020-08-30 01:30:00;4;1;3;14;3;0;0;0
2020-08-30 01:45:00;4;0;0;3;0;0;0;0
2020-08-30 02:00:00;7;1;2;6;2;0;0;0
2020-08-30 02:15:00;7;2;2;5;0;0;0;0
2020-08-30 02:30:00;2;1;1;4;0;0;0;0
2020-08-30 02:45:00;2;1;1;5;0;0;0;0
2020-08-30 03:00:00;3;1;1;2;0;0;0;0
2020-08-30 03:15:00;6;0;1;5;0;0;0;0
2020-08-30 03:30:00;1;1;0;2;0;0;0;0
2020-08-30 03:45:00;1;1;2;1;0;0;0;0
2020-08-30 04:00:00;2;1;1;7;1;0;0;0
2020-08-30 04:15:00;1;1;0;5;0;0;0;0
2020-08-30 04:30:00;6;1;1;2;0;0;0;0
2020-08-30 04:45:00;2;1;0;3;0;0;0;0
2020-08-30 05:00:00;6;0;0;0;0;0;0;0
2020-08-30 05:15:00;3;1;2;4;0;0;0;0
2020-08-30 05:30:00;1;1;0;8;1;0;0;0
2020-08-30 05:45:00;5;1;0;16;2;0;0;0
2020-08-30 06:00:00;5;2;0;5;0;0;0;0
2020-08-30 06:15:00;6;0;1;3;0;0;0;0
2020-08-30 06:30:00;7;1;4;8;3;0;0;0
2020-08-30 06:45:00;11;2;4;7;0;0;0;0
2020-08-30 07:00:00;6;0;4;6;2;0;0;0
2020-08-30 07:15:00;12;0;3;10;1;0;0;0
2020-08-30 07:30:00;18;1;5;8;3;0;0;0
2020-08-30 07:45:00;14;2;8;11;4;0;0;0
2020-08-30 08:00:00;12;3;6;18;6;0;0;0
2020-08-30 08:15:00;14;2;10;11;6;0;0;0
2020-08-30 08:30:00;21;1;9;17;10;0;0;0
2020-08-30 08:45:00;19;3;7;26;9;0;0;0
2020-08-30 09:00:00;44;2;7;26;6;3;0;0
2020-08-30 09:15:00;21;6;19;18;11;1;0;0
2020-08-30 09:30:00;33;6;19;20;12;0;0;0
2020-08-30 09:45:00;53;6;18;23;14;1;0;0
2020-08-30 10:00:00;37;6;12;38;9;2;0;0
2020-08-30 10:15:00;45;5;16;34;14;0;0;0
2020-08-30 10:30:00;38;5;13;30;6;0;0;0
2020-08-30 10:45:00;60;6;19;41;20;4;0;0
2020-08-30 11:00:00;33;6;29;47;16;0;0;0
2020-08-30 11:15:00;52;6;29;38;18;0;0;0
2020-08-30 11:30:00;44;4;22;42;11;0;0;0
