DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(TAAC);22(TARDB);23(TARDD)
2020-07-19 00:00:00;11;3;1;20;6;0;0;0
2020-07-19 00:15:00;12;2;6;19;7;0;0;0
2020-07-19 00:30:00;13;1;3;16;5;0;0;0
2020-07-19 00:45:00;13;1;2;17;3;0;0;0
2020-07-19 01:00:00;10;2;6;16;5;0;0;0
2020-07-19 01:15:00;5;0;1;11;3;0;0;0
2020-07-19 01:30:00;9;0;2;7;1;0;0;0
2020-07-19 01:45:00;7;4;1;13;7;0;0;0
2020-07-19 02:00:00;6;3;2;8;1;0;0;0
2020-07-19 02:15:00;5;1;1;6;5;0;0;0
2020-07-19 02:30:00;4;0;2;3;1;0;0;0
2020-07-19 02:45:00;4;1;4;3;2;0;0;0
2020-07-19 03:00:00;3;0;2;4;2;0;0;0
2020-07-19 03:15:00;4;0;0;0;1;0;0;0
2020-07-19 03:30:00;3;1;1;2;0;0;0;0
2020-07-19 03:45:00;2;0;0;3;0;0;0;0
2020-07-19 04:00:00;2;0;1;1;1;0;0;0
2020-07-19 04:15:00;1;1;0;3;4;0;0;0
2020-07-19 04:30:00;1;0;0;2;1;0;0;0
2020-07-19 04:45:00;3;0;1;1;1;0;0;0
2020-07-19 05:00:00;6;0;1;0;0;0;0;0
2020-07-19 05:15:00;6;1;5;2;0;0;0;0
2020-07-19 05:30:00;9;0;1;6;0;0;0;0
2020-07-19 05:45:00;13;3;1;16;2;0;0;0
2020-07-19 06:00:00;4;0;3;4;2;0;0;0
2020-07-19 06:15:00;3;0;3;8;0;0;0;0
2020-07-19 06:30:00;15;1;0;3;1;0;0;0
2020-07-19 06:45:00;14;1;5;7;1;0;0;0
2020-07-19 07:00:00;9;3;5;9;3;0;0;0
2020-07-19 07:15:00;12;0;6;5;5;0;0;0
2020-07-19 07:30:00;10;2;13;9;3;1;0;0
2020-07-19 07:45:00;24;4;9;11;5;0;0;0
2020-07-19 08:00:00;15;0;14;15;8;0;0;0
2020-07-19 08:15:00;24;1;9;15;5;0;0;0
2020-07-19 08:30:00;16;2;14;17;2;0;0;0
2020-07-19 08:45:00;27;8;22;28;17;0;0;0
2020-07-19 09:00:00;43;4;27;20;11;6;0;0
2020-07-19 09:15:00;48;7;29;49;9;7;0;0
2020-07-19 09:30:00;43;5;26;50;20;13;0;1
2020-07-19 09:45:00;67;8;33;41;13;11;0;0
2020-07-19 10:00:00;46;8;25;63;26;63;0;1
2020-07-19 10:15:00;55;4;29;41;25;19;0;0
2020-07-19 10:30:00;62;7;30;35;25;11;0;1
2020-07-19 10:45:00;71;13;37;46;24;13;0;1
2020-07-19 11:00:00;57;3;35;61;16;17;2;1
2020-07-19 11:15:00;40;7;26;55;24;37;0;0
2020-07-19 11:30:00;59;5;41;62;32;20;0;0
2020-07-19 11:45:00;73;8;41;68;31;20;0;0
2020-07-19 12:00:00;60;4;26;62;21;9;0;0
2020-07-19 12:15:00;60;5;28;65;27;10;0;0
2020-07-19 12:30:00;53;8;27;47;27;14;1;0
2020-07-19 12:45:00;45;9;32;61;35;16;0;0
2020-07-19 13:00:00;64;6;31;66;22;18;0;0
2020-07-19 13:15:00;43;4;30;67;20;22;0;0
2020-07-19 13:30:00;77;7;37;56;29;59;0;0
2020-07-19 13:45:00;71;8;41;52;27;18;0;1
2020-07-19 14:00:00;67;7;34;62;12;49;5;0
2020-07-19 14:15:00;75;11;38;63;50;15;0;3
2020-07-19 14:30:00;88;7;43;70;30;14;0;0
2020-07-19 14:45:00;85;10;32;70;34;26;0;0
2020-07-19 15:00:00;54;3;26;58;22;11;0;2
2020-07-19 15:15:00;65;2;24;67;36;19;0;1
2020-07-19 15:30:00;70;12;33;50;36;45;0;0
2020-07-19 15:45:00;63;9;35;58;32;47;0;0
2020-07-19 16:00:00;77;12;29;69;35;34;0;0
2020-07-19 16:15:00;82;10;38;62;23;24;0;0
2020-07-19 16:30:00;76;10;37;65;27;23;0;1
2020-07-19 16:45:00;84;10;33;64;34;38;0;0
