DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(TAAC);22(TARDB);23(TARDD)
2020-05-31 00:00:00;5;2;2;12;1;0;0;0
2020-05-31 00:15:00;9;1;4;16;2;0;0;0
2020-05-31 00:30:00;7;2;1;7;0;0;0;0
2020-05-31 00:45:00;4;0;3;8;3;0;0;0
2020-05-31 01:00:00;5;0;0;14;2;0;0;0
2020-05-31 01:15:00;2;2;1;6;1;0;0;0
2020-05-31 01:30:00;2;0;0;1;0;0;0;0
2020-05-31 01:45:00;2;2;0;4;2;0;0;0
2020-05-31 02:00:00;2;0;1;8;2;0;0;0
2020-05-31 02:15:00;1;0;1;4;0;0;0;0
2020-05-31 02:30:00;2;1;0;2;1;0;0;0
2020-05-31 02:45:00;1;0;0;2;0;0;0;0
2020-05-31 03:00:00;1;0;0;3;0;0;0;0
2020-05-31 03:15:00;2;1;0;3;0;0;0;0
2020-05-31 03:30:00;3;0;0;2;0;0;0;0
2020-05-31 03:45:00;0;0;0;1;1;0;0;0
2020-05-31 04:00:00;1;1;1;3;0;0;0;0
2020-05-31 04:15:00;1;0;0;1;0;0;0;0
2020-05-31 04:30:00;1;1;0;3;1;0;0;0
2020-05-31 04:45:00;5;0;0;5;0;0;0;0
2020-05-31 05:00:00;1;0;0;1;0;0;0;0
2020-05-31 05:15:00;1;0;0;3;0;0;0;0
2020-05-31 05:30:00;4;1;1;13;1;0;0;0
2020-05-31 05:45:00;2;1;0;10;2;0;0;0
2020-05-31 06:00:00;1;2;1;3;1;0;0;0
2020-05-31 06:15:00;6;1;1;11;2;0;0;0
2020-05-31 06:30:00;7;0;0;3;0;0;0;0
2020-05-31 06:45:00;16;4;5;17;1;0;0;0
2020-05-31 07:00:00;11;4;7;12;4;0;0;0
2020-05-31 07:15:00;2;0;5;8;3;0;0;0
2020-05-31 07:30:00;5;0;8;6;2;0;0;0
2020-05-31 07:45:00;21;2;5;23;8;0;0;0
2020-05-31 08:00:00;8;1;6;17;2;0;0;0
2020-05-31 08:15:00;21;2;4;25;6;1;0;0
2020-05-31 08:30:00;15;1;5;23;4;2;0;0
2020-05-31 08:45:00;31;5;22;36;10;0;0;0
2020-05-31 09:00:00;24;2;23;25;11;3;2;0
2020-05-31 09:15:00;36;3;24;41;14;5;0;0
2020-05-31 09:30:00;45;6;28;49;11;5;1;0
2020-05-31 09:45:00;49;12;32;64;17;17;0;0
2020-05-31 10:00:00;53;5;20;60;10;2;0;1
2020-05-31 10:15:00;45;9;25;57;23;38;0;0
2020-05-31 10:30:00;49;1;20;69;22;10;0;0
2020-05-31 10:45:00;45;5;29;66;29;9;0;3
2020-05-31 11:00:00;50;7;31;65;24;17;2;0
2020-05-31 11:15:00;62;5;25;76;33;15;0;0
2020-05-31 11:30:00;63;8;28;74;18;29;0;1
2020-05-31 11:45:00;52;2;26;74;24;8;0;0
2020-05-31 12:00:00;52;5;37;85;35;21;0;0
2020-05-31 12:15:00;22;2;9;22;11;9;2;0
2020-05-31 12:30:00;10;2;8;17;11;4;0;0
2020-05-31 12:45:00;57;8;29;87;28;2;0;0
2020-05-31 13:00:00;34;6;18;57;14;6;0;0
2020-05-31 13:15:00;62;9;29;85;38;13;0;0
2020-05-31 13:30:00;62;5;26;90;20;9;0;0
2020-05-31 13:45:00;55;7;29;75;29;20;0;0
2020-05-31 14:00:00;49;2;33;76;29;18;0;0
2020-05-31 14:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-05-31 14:30:00;60;6;46;82;31;7;0;0
2020-05-31 14:45:00;78;6;39;86;28;19;0;0
2020-05-31 15:00:00;64;7;44;83;33;34;0;1
2020-05-31 15:15:00;50;6;46;78;37;26;0;1
2020-05-31 15:30:00;63;7;28;90;41;16;0;0
2020-05-31 15:45:00;57;4;32;74;26;15;0;0
2020-05-31 16:00:00;57;8;35;79;21;13;0;1
2020-05-31 16:15:00;76;13;27;93;46;18;0;0
2020-05-31 16:30:00;62;6;34;86;42;37;0;0
2020-05-31 16:45:00;61;11;25;81;40;43;0;2
2020-05-31 17:00:00;68;13;35;75;51;30;1;1
2020-05-31 17:15:00;73;9;28;76;46;20;0;0
2020-05-31 17:30:00;53;10;19;74;34;36;0;0
2020-05-31 17:45:00;65;9;26;99;37;15;0;0
2020-05-31 18:00:00;60;9;27;72;47;28;0;1
2020-05-31 18:15:00;78;10;22;82;36;21;0;5
2020-05-31 18:30:00;44;3;19;71;48;14;0;0
2020-05-31 18:45:00;51;7;19;71;34;13;0;1
2020-05-31 19:00:00;8;4;2;9;9;0;0;0
2020-05-31 19:15:00;49;8;17;59;23;3;0;0
2020-05-31 19:30:00;48;3;10;64;23;13;0;0
2020-05-31 19:45:00;25;6;3;30;10;12;0;0
2020-05-31 20:00:00;33;5;15;47;14;1;0;0
2020-05-31 20:15:00;31;9;6;57;17;5;0;1
2020-05-31 20:30:00;22;5;9;43;16;4;0;6
2020-05-31 20:45:00;34;3;7;46;10;6;0;0
2020-05-31 21:00:00;33;5;10;45;12;4;0;0
2020-05-31 21:15:00;31;5;10;45;8;0;0;0
2020-05-31 21:30:00;21;2;4;25;9;0;0;0
2020-05-31 21:45:00;25;1;8;35;2;0;0;0
2020-05-31 22:00:00;19;2;5;34;10;0;0;0
2020-05-31 22:15:00;15;1;1;26;1;0;0;0
2020-05-31 22:30:00;13;5;3;26;3;0;0;0
2020-05-31 22:45:00;15;0;5;28;3;0;0;0
2020-05-31 23:00:00;10;2;3;20;3;0;0;0
2020-05-31 23:15:00;7;2;1;16;10;0;0;0
2020-05-31 23:30:00;
2020-05-31 23:45:00;6;1;2;10;3;0;0;0
