DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(TAAC);22(TARDB);23(TARDD)
2020-09-19 00:00:00;7;1;1;12;1;0;0;0
2020-09-19 00:15:00;8;5;4;16;0;0;0;0
2020-09-19 00:30:00;6;0;2;6;2;0;0;0
2020-09-19 00:45:00;5;0;1;14;1;0;0;0
2020-09-19 01:00:00;8;1;2;15;1;0;0;0
2020-09-19 01:15:00;9;0;1;8;1;0;0;0
2020-09-19 01:30:00;2;2;0;7;4;0;0;0
2020-09-19 01:45:00;6;1;1;4;1;0;0;0
2020-09-19 02:00:00;3;0;1;7;1;0;0;0
2020-09-19 02:15:00;2;0;1;6;1;0;0;0
2020-09-19 02:30:00;4;1;0;3;0;0;0;0
2020-09-19 02:45:00;1;1;2;1;0;0;0;0
2020-09-19 03:00:00;6;0;1;1;0;0;0;0
2020-09-19 03:15:00;3;2;2;2;0;0;0;0
2020-09-19 03:30:00;0;0;0;3;0;0;0;0
2020-09-19 03:45:00;4;1;0;1;1;0;0;0
2020-09-19 04:00:00;4;0;0;3;1;0;0;0
2020-09-19 04:15:00;4;0;1;0;1;0;0;0
2020-09-19 04:30:00;2;0;0;2;0;0;0;0
2020-09-19 04:45:00;7;2;1;2;0;0;0;0
2020-09-19 05:00:00;3;0;0;2;0;0;0;0
2020-09-19 05:15:00;12;0;0;7;0;0;0;0
2020-09-19 05:30:00;6;5;2;20;1;0;0;0
2020-09-19 05:45:00;12;5;4;18;2;0;0;0
2020-09-19 06:00:00;11;3;11;10;1;0;0;0
2020-09-19 06:15:00;13;2;5;17;1;0;0;0
2020-09-19 06:30:00;19;4;7;17;1;0;0;0
2020-09-19 06:45:00;24;6;10;12;3;0;0;0
2020-09-19 07:00:00;22;4;8;18;4;0;0;0
2020-09-19 07:15:00;23;5;6;14;5;0;0;0
2020-09-19 07:30:00;43;6;11;28;4;1;0;0
2020-09-19 07:45:00;41;6;14;17;6;1;0;0
2020-09-19 08:00:00;47;8;13;20;8;2;0;0
2020-09-19 08:15:00;39;9;12;34;14;31;0;0
2020-09-19 08:30:00;61;12;24;41;14;4;0;0
2020-09-19 08:45:00;63;13;25;52;19;16;0;2
2020-09-19 09:00:00;73;16;24;57;25;6;0;0
2020-09-19 09:15:00;69;15;42;55;21;2;0;0
2020-09-19 09:30:00;95;17;47;47;17;7;0;0
2020-09-19 09:45:00;105;14;36;76;15;15;0;1
2020-09-19 10:00:00;91;14;37;60;21;14;0;0
2020-09-19 10:15:00;84;20;34;63;16;5;0;0
2020-09-19 10:30:00;84;14;52;75;39;1;0;1
2020-09-19 10:45:00;87;10;52;76;26;18;0;0
2020-09-19 11:00:00;87;22;40;88;22;8;0;0
2020-09-19 11:15:00;100;17;57;89;36;2;0;1
2020-09-19 11:30:00;103;19;48;79;19;9;0;0
2020-09-19 11:45:00;86;10;59;77;23;10;0;0
2020-09-19 12:00:00;75;15;49;88;29;34;0;0
2020-09-19 12:15:00;84;7;43;82;31;6;0;0
2020-09-19 12:30:00;96;18;44;97;27;11;0;2
2020-09-19 12:45:00;92;22;52;88;21;13;0;0
2020-09-19 13:00:00;55;16;43;86;24;4;0;0
2020-09-19 13:15:00;72;13;48;67;25;24;0;0
2020-09-19 13:30:00;67;10;50;99;22;11;2;0
2020-09-19 13:45:00;87;12;70;106;32;12;0;3
2020-09-19 14:00:00;71;12;46;100;30;16;0;1
2020-09-19 14:15:00;74;12;46;81;34;19;0;1
2020-09-19 14:30:00;84;12;50;102;30;35;0;0
2020-09-19 14:45:00;94;11;63;76;27;15;0;0
2020-09-19 15:00:00;75;10;51;103;30;11;0;0
2020-09-19 15:15:00;71;12;48;73;27;36;0;0
2020-09-19 15:30:00;106;13;43;89;28;11;0;0
2020-09-19 15:45:00;68;10;50;69;29;22;0;2
2020-09-19 16:00:00;92;12;70;95;27;29;0;0
2020-09-19 16:15:00;87;12;37;79;36;13;0;0
2020-09-19 16:30:00;77;16;51;88;36;20;0;3
2020-09-19 16:45:00;81;12;40;65;44;17;0;0
2020-09-19 17:00:00;74;15;39;70;35;18;0;1
2020-09-19 17:15:00;63;10;36;71;36;21;0;0
2020-09-19 17:30:00;88;14;44;72;38;18;0;0
2020-09-19 17:45:00;105;16;55;76;51;15;0;0
2020-09-19 18:00:00;83;13;41;80;30;31;0;0
2020-09-19 18:15:00;83;11;37;74;37;26;0;0
2020-09-19 18:30:00;71;15;27;79;37;10;0;0
2020-09-19 18:45:00;70;9;30;66;30;11;0;14
2020-09-19 19:00:00;73;16;31;61;37;17;0;2
2020-09-19 19:15:00;64;12;28;58;38;29;0;1
2020-09-19 19:30:00;71;8;17;63;24;10;0;0
2020-09-19 19:45:00;62;6;14;66;22;5;0;1
2020-09-19 20:00:00;36;8;18;54;15;4;0;0
2020-09-19 20:15:00;40;6;11;53;13;22;0;0
2020-09-19 20:30:00;28;6;6;42;13;8;0;0
2020-09-19 20:45:00;25;6;5;50;7;5;0;0
2020-09-19 21:00:00;27;3;6;48;15;0;0;0
2020-09-19 21:15:00;23;8;12;43;7;0;0;0
2020-09-19 21:30:00;29;5;4;33;8;0;0;0
2020-09-19 21:45:00;20;3;6;24;4;0;0;0
2020-09-19 22:00:00;23;3;3;34;8;1;0;0
2020-09-19 22:15:00;17;1;9;33;4;0;0;0
2020-09-19 22:30:00;15;1;7;23;5;0;0;0
2020-09-19 22:45:00;17;1;4;22;5;0;0;0
2020-09-19 23:00:00;22;7;2;24;3;0;0;0
2020-09-19 23:15:00;11;2;2;29;2;0;0;0
2020-09-19 23:30:00;13;3;3;32;6;0;0;0
2020-09-19 23:45:00;13;1;6;25;3;0;0;0
